draft_entry_id,season,team_id,team_name,mtg_assortment_id,mtg_assortment,nominate_id,converted_nominate_id,nomination_count,nomination_situation_id,player_id,draft_player_id,player_name_jap,previous_school,school_division,converted_school_division,position_id,has_player_page_link,person_info_id,has_draft_page_link,player_kind,playing_division,current_team_id,current_team_name_jap,kyodo_id
117,2017,1,巨人,3,種別なし,1,1,1,3,1700025,,清宮　幸太郎,早実高,1,1,3,True,1700025,False,1,1,8,日本ハム,
134,2017,1,巨人,3,種別なし,1,1,2,3,1700084,,村上　宗隆,九州学院高,1,1,2,False,,False,0,2,,,
118,2017,1,巨人,3,種別なし,1,1,3,1,1700042,,鍬原　拓也,中央大,2,2,1,False,,False,0,2,,,
119,2017,1,巨人,3,種別なし,2,2,0,1,1700043,,岸田　行倫,大阪ガス,3,3,2,True,1700043,False,1,1,1,巨人,
120,2017,1,巨人,3,種別なし,3,3,0,1,1700044,,大城　卓三,NTT西日本,3,3,2,True,1700044,False,1,1,1,巨人,
121,2017,1,巨人,3,種別なし,4,4,0,1,1700045,,北村　拓己,亜細亜大,2,2,3,False,,False,0,2,,,
122,2017,1,巨人,3,種別なし,5,5,0,1,1700046,,田中　俊太,日立製作所,3,3,3,True,1700046,False,1,1,806,オイシックス,
123,2017,1,巨人,3,種別なし,6,6,0,1,1700047,,若林　晃弘,JX-ENEOS,3,3,3,True,1700047,False,0,2,1,巨人,
124,2017,1,巨人,3,種別なし,7,7,0,1,1700048,,村上　海斗,奈良学園大,2,2,4,False,,False,0,2,,,
125,2017,1,巨人,3,種別なし,8,8,0,1,1700049,,湯浅　大,高崎健康福祉大高崎高,1,1,3,True,1700049,False,1,1,1,巨人,
126,2017,1,巨人,3,種別なし,21,21,0,1,1700050,,比嘉　賢伸,盛岡大付高,1,1,3,False,,False,0,2,,,
127,2017,1,巨人,3,種別なし,22,22,0,1,1700051,,山上　信吾,群馬・常磐高,1,1,1,False,,False,0,2,,,
128,2017,1,巨人,3,種別なし,23,23,0,1,1700052,,笠井　駿,東北福祉大,2,2,4,False,,False,0,2,,,
129,2017,1,巨人,3,種別なし,24,24,0,1,1700053,,田中　優大,羽黒高,1,1,1,False,,False,0,2,,,
130,2017,1,巨人,3,種別なし,25,25,0,1,1700054,,広畑　塁,立正大,2,2,2,False,,False,0,2,,,
131,2017,1,巨人,3,種別なし,26,26,0,1,1700055,,小山　翔平,関西大,2,2,2,False,,False,0,2,,,
132,2017,1,巨人,3,種別なし,27,27,0,1,1700056,,折下　光輝,新野高,1,1,3,False,,False,0,2,,,
133,2017,1,巨人,3,種別なし,28,28,0,1,1700057,,荒井　颯太,関根学園高,1,1,4,False,,False,0,2,,,
135,2017,2,ヤクルト,3,種別なし,1,1,1,3,1700025,,清宮　幸太郎,早実高,1,1,3,True,1700025,False,1,1,8,日本ハム,
136,2017,2,ヤクルト,3,種別なし,1,1,2,0,1700084,,村上　宗隆,九州学院高,1,1,3,False,,False,0,2,,,
137,2017,2,ヤクルト,3,種別なし,2,2,0,1,1700085,,大下　佑馬,三菱重工広島,3,3,1,False,,False,0,2,,,
138,2017,2,ヤクルト,3,種別なし,3,3,0,1,1700086,,蔵本　治孝,岡山商科大,2,2,1,False,,False,0,2,,,
139,2017,2,ヤクルト,3,種別なし,4,4,0,1,1700087,,塩見　泰隆,JX-ENEOS,3,3,4,True,1700087,False,1,1,2,ヤクルト,
140,2017,2,ヤクルト,3,種別なし,5,5,0,1,1700088,,金久保　優斗,東海大市原望洋高,1,1,1,False,,False,0,2,,,
141,2017,2,ヤクルト,3,種別なし,6,6,0,1,1700089,,宮本　丈,奈良学園大,2,2,3,True,1700089,False,1,1,2,ヤクルト,
142,2017,2,ヤクルト,3,種別なし,7,7,0,1,1700090,,松本　直樹,西濃運輸,3,3,2,True,1700090,False,1,1,2,ヤクルト,
143,2017,2,ヤクルト,3,種別なし,8,8,0,1,1700091,,沼田　拓巳,BCリーグ・石川,3,3,1,False,,False,0,2,,,
144,2017,3,ＤｅＮＡ,3,種別なし,1,1,1,1,1700058,,東　克樹,立命館大,2,2,1,True,1700058,False,1,1,3,DeNA,
145,2017,3,ＤｅＮＡ,3,種別なし,2,2,0,1,1700059,,神里　和毅,日本生命,3,3,4,True,1700059,False,1,1,3,DeNA,
146,2017,3,ＤｅＮＡ,3,種別なし,3,3,0,1,1700060,,阪口　皓亮,北海高,1,1,1,True,1700060,False,1,1,2,ヤクルト,
147,2017,3,ＤｅＮＡ,3,種別なし,4,4,0,1,1700061,,齋藤　俊介,JX-ENEOS,3,3,1,False,,False,0,2,,,
148,2017,3,ＤｅＮＡ,3,種別なし,5,5,0,1,1700062,,櫻井　周斗,日大三高,1,1,1,False,,False,0,2,,,
149,2017,3,ＤｅＮＡ,3,種別なし,6,6,0,1,1700063,,寺田　光輝,BCリーグ・石川,3,3,1,False,,False,0,2,,,
150,2017,3,ＤｅＮＡ,3,種別なし,7,7,0,1,1700064,,宮本　秀明,パナソニック,3,3,3,False,,False,0,2,,,
151,2017,3,ＤｅＮＡ,3,種別なし,8,8,0,1,1700065,,楠本　泰史,東北福祉大,2,2,4,False,,False,0,2,,,
152,2017,3,ＤｅＮＡ,3,種別なし,9,9,0,1,1700066,,山本　祐大,BCリーグ・滋賀,3,3,2,True,1700066,False,1,1,12,ソフトバンク,
153,2017,3,ＤｅＮＡ,3,種別なし,21,21,0,1,1700067,,中川　虎大,箕島高,1,1,1,True,1700067,False,1,1,3,DeNA,
154,2017,4,中日,3,種別なし,1,1,1,3,1700068,,中村　奨成,広陵高,1,1,2,True,1700068,False,1,1,6,広島,
155,2017,4,中日,3,種別なし,1,1,2,1,1700101,,鈴木　博志,ヤマハ,3,3,1,True,1700101,False,1,1,11,オリックス,
156,2017,4,中日,3,種別なし,2,2,0,1,1700102,,石川　翔,青藍泰斗高,1,1,1,True,1700102,False,1,1,23879,ハヤテ,
157,2017,4,中日,3,種別なし,3,3,0,1,1700103,,髙松　渡,滝川二高,1,1,3,True,1700103,False,1,1,7,西武,
158,2017,4,中日,3,種別なし,4,4,0,1,1700104,,清水　達也,花咲徳栄高,1,1,1,True,1700104,False,1,1,4,中日,
159,2017,4,中日,3,種別なし,5,5,0,1,1700105,,伊藤　康祐,中京大中京高,1,1,4,False,,False,0,2,,,
160,2017,4,中日,3,種別なし,6,6,0,1,1700106,,山本　拓実,市立西宮高,1,1,1,True,1700106,False,1,1,8,日本ハム,
161,2017,4,中日,3,種別なし,21,21,0,1,1700107,,大藏　彰人,四国IL・徳島,3,3,1,False,,False,0,2,,,
162,2017,4,中日,3,種別なし,22,22,0,1,1700108,,石田　健人マルク,龍谷大,2,2,1,False,,False,0,2,,,
163,2017,5,阪神,3,種別なし,1,1,1,3,1700025,,清宮　幸太郎,早実高,1,1,3,True,1700025,False,1,1,8,日本ハム,
171,2017,5,阪神,3,種別なし,1,1,2,3,1700092,,安田　尚憲,履正社高,1,1,3,True,1700092,False,1,1,9,ロッテ,
164,2017,5,阪神,3,種別なし,1,1,3,0,1700077,,馬場　皐輔,仙台大,2,2,1,True,1700077,False,1,1,3,DeNA,
165,2017,5,阪神,3,種別なし,2,2,0,1,1700078,,髙橋　遥人,亜細亜大,2,2,1,True,1700078,False,1,1,5,阪神,
166,2017,5,阪神,3,種別なし,3,3,0,1,1700079,,熊谷　敬宥,立教大,2,2,3,True,1700079,False,1,1,5,阪神,
167,2017,5,阪神,3,種別なし,4,4,0,1,1700080,,島田　海吏,上武大,2,2,4,True,1700080,False,1,1,5,阪神,
168,2017,5,阪神,3,種別なし,5,5,0,1,1700081,,谷川　昌希,九州三菱自動車,3,3,1,False,,False,0,2,,,
169,2017,5,阪神,3,種別なし,6,6,0,1,1700082,,牧　丈一郎,啓新高,1,1,1,False,,False,0,2,,,
170,2017,5,阪神,3,種別なし,21,21,0,1,1700083,,石井　将希,上武大,2,2,1,False,,False,0,2,,,
172,2017,6,広島,3,種別なし,1,1,1,0,1700068,,中村　奨成,広陵高,1,1,2,True,1700068,False,1,1,6,広島,
173,2017,6,広島,3,種別なし,2,2,0,1,1700069,,山口　翔,熊本工,1,1,1,False,,False,0,2,,,
174,2017,6,広島,3,種別なし,3,3,0,1,1700070,,ケムナ　誠,日本文理大,2,2,1,True,1700070,False,1,1,6,広島,
175,2017,6,広島,3,種別なし,4,4,0,1,1700071,,永井　敦士,二松学舎大付高,1,1,4,False,,False,0,2,,,
176,2017,6,広島,3,種別なし,5,5,0,1,1700072,,遠藤　淳志,霞ヶ浦高,1,1,1,True,1700072,False,1,1,6,広島,
177,2017,6,広島,3,種別なし,6,6,0,1,1700073,,平岡　敬人,中部学院大,2,2,1,False,,False,0,2,,,
178,2017,6,広島,3,種別なし,21,21,0,1,1700074,,岡林　飛翔,菰野高,1,1,1,False,,False,0,2,,,
179,2017,6,広島,3,種別なし,22,22,0,1,1700075,,藤井　黎來,大曲工,1,1,1,False,,False,0,2,,,
180,2017,6,広島,3,種別なし,23,23,0,1,1700076,,佐々木　健,小笠高,1,1,1,False,,False,0,2,,,
181,2017,7,西武,3,種別なし,1,1,1,3,1700109,,田嶋　大樹,ＪＲ東日本,3,3,1,True,1700109,False,1,1,11,オリックス,
182,2017,7,西武,3,種別なし,1,1,2,1,1700121,,齊藤　大将,明治大,2,2,1,False,,False,0,2,,,
183,2017,7,西武,3,種別なし,2,2,0,1,1700122,,西川　愛也,花咲徳栄高,1,1,3,True,1700122,False,1,1,7,西武,
184,2017,7,西武,3,種別なし,3,3,0,1,1700123,,伊藤　翔,四国IL・徳島,3,3,1,False,,False,0,2,,,
185,2017,7,西武,3,種別なし,4,4,0,1,1700124,,平良　海馬,八重山商工,1,1,1,True,1700124,False,1,1,7,西武,
186,2017,7,西武,3,種別なし,5,5,0,1,1700125,,與座　海人,岐阜経済大,2,2,1,True,1700125,False,1,1,7,西武,
187,2017,7,西武,3,種別なし,6,6,0,1,1700126,,綱島　龍生,糸魚川白嶺高,1,1,3,False,,False,0,2,,,
188,2017,7,西武,3,種別なし,21,21,0,1,1700127,,高木　渉,真颯館高,1,1,4,False,,False,0,2,,,
189,2017,7,西武,3,種別なし,22,22,0,1,1700128,,齊藤　誠人,北海道教育大岩見沢校,2,2,2,False,,False,0,2,,,
190,2017,8,日本ハム,3,種別なし,1,1,1,0,1700025,,清宮　幸太郎,早稲田実,1,1,3,True,1700025,False,1,1,8,日本ハム,
191,2017,8,日本ハム,3,種別なし,2,2,0,1,1700026,,西村　天裕,NTT東日本,3,3,1,False,,False,0,2,,,
192,2017,8,日本ハム,3,種別なし,3,3,0,1,1700027,,田中　瑛斗,柳ヶ浦高,1,1,1,True,1700027,False,1,1,1,巨人,
193,2017,8,日本ハム,3,種別なし,4,4,0,1,1700028,,難波　侑平,創志学園高,1,1,3,False,,False,0,2,,,
194,2017,8,日本ハム,3,種別なし,5,5,0,1,1700029,,北浦　竜次,白鴎大足利高,1,1,1,True,1700029,False,1,1,1,巨人,
195,2017,8,日本ハム,3,種別なし,6,6,0,1,1700030,,鈴木　遼太郎,東北学院大,2,2,1,False,,False,0,2,,,
196,2017,8,日本ハム,3,種別なし,7,7,0,1,1700031,,宮台　康平,東京大,2,2,1,False,,False,0,2,,,
197,2017,9,ロッテ,3,種別なし,1,1,1,3,1700025,,清宮　幸太郎,早実高,1,1,3,True,1700025,False,1,1,8,日本ハム,
198,2017,9,ロッテ,3,種別なし,1,1,2,0,1700092,,安田　尚憲,履正社高,1,1,3,True,1700092,False,1,1,9,ロッテ,
