draft_entry_id,season,team_id,team_name,mtg_assortment_id,mtg_assortment,nominate_id,converted_nominate_id,nomination_count,nomination_situation_id,player_id,draft_player_id,player_name_jap,previous_school,school_division,converted_school_division,position_id,has_player_page_link,person_info_id,has_draft_page_link,player_kind,playing_division,current_team_id,current_team_name_jap,kyodo_id
799,2011,1,巨人,3,種別なし,1,1,1,3,1200041,,菅野　智之,東海大,2,2,1,False,,False,0,2,,,
786,2011,1,巨人,3,種別なし,1,1,2,0,1100037,,松本　竜也,英明高,1,1,1,False,,False,0,2,,,
787,2011,1,巨人,3,種別なし,2,2,0,1,1100038,,今村　信貴,太成学院大高,1,1,1,False,,False,0,2,,,
788,2011,1,巨人,3,種別なし,3,3,0,1,1100039,,一岡　竜司,沖データコンピュータ教育学院,3,3,1,False,,False,0,2,,,
789,2011,1,巨人,3,種別なし,4,4,0,1,1100040,,高木　京介,国学院大,2,2,1,False,,False,0,2,,,
790,2011,1,巨人,3,種別なし,5,5,0,1,1100041,,高橋　洸,日本文理高,1,1,3,False,,False,0,2,,,
791,2011,1,巨人,3,種別なし,6,6,0,1,1100042,,江柄子　裕樹,東芝,3,3,1,False,,False,0,2,,,
792,2011,1,巨人,3,種別なし,7,7,0,1,1100043,,田原　誠次,三菱自動車倉敷オーシャンズ,3,3,1,False,,False,0,2,,,
793,2011,1,巨人,3,種別なし,21,21,0,1,1100044,,森　和樹,市立柏高,1,1,1,False,,False,0,2,,,
794,2011,1,巨人,3,種別なし,22,22,0,1,1100045,,土田　瑞起,四国ＩＬ・愛媛,3,3,1,False,,False,0,2,,,
795,2011,1,巨人,3,種別なし,23,23,0,1,1100046,,柴田　章吾,明治大,2,2,1,False,,False,0,2,,,
796,2011,1,巨人,3,種別なし,24,24,0,1,1100047,,芳川　庸,洛北高,1,1,2,False,,False,0,2,,,
797,2011,1,巨人,3,種別なし,25,25,0,1,1100048,,雨宮　敬,ＢＣリーグ・新潟,3,3,1,False,,False,0,2,,,
798,2011,1,巨人,3,種別なし,26,26,0,1,1100049,,渡辺　貴洋,ＢＣリーグ・新潟,3,3,1,False,,False,0,2,,,
808,2011,2,ヤクルト,3,種別なし,1,1,1,3,1100069,,高橋　周平,東海大甲府高,1,1,3,True,1100069,False,1,1,4,中日,
800,2011,2,ヤクルト,3,種別なし,1,1,2,1,1100050,,川上　竜平,光星学院高,1,1,4,False,,False,0,2,,,
801,2011,2,ヤクルト,3,種別なし,2,2,0,1,1100051,,木谷　良平,日本文理大,2,2,1,False,,False,0,2,,,
802,2011,2,ヤクルト,3,種別なし,3,3,0,1,1100052,,比屋根　渉,日本製紙石巻,3,3,4,False,,False,0,2,,,
803,2011,2,ヤクルト,3,種別なし,4,4,0,1,1100053,,太田　裕哉,日本製紙石巻,3,3,1,False,,False,0,2,,,
804,2011,2,ヤクルト,3,種別なし,5,5,0,1,1100054,,中根　佑二,東北福祉大,2,2,1,False,,False,0,2,,,
