season,game_id,game_date,play_id,page,game_round,game_type_id,game_type_name,inning,game_state_name,inning_ab_num,umpire_home,umpire_first,umpire_second,umpire_third,umpire_left,umpire_right,H_HV,home_team_id,home_team_name,home_team_abv,home_total_runs,away_team_id,away_team_name,away_team_abv,away_total_runs,result_id,end_time,win_pitcher,loss_pitcher,save_pitcher,description_jap,description,PlayInfo_SeqNo,PlayInfo_AB,PlayInfo_PlayerID,PlayInfo_PlayerName,atBatBallCount,fiveDigitSerialNumber,pitch_number,release_speed_kmh,release_speed_mph,pitch_id,plate_x,plate_y,presult,bresult,pitcher,batter,hc_x,hc_y,fielder,fielder_name,hit_location,ballCatcherNum,addedRuns,pitcher_hand,batter_hand,strikes,balls,outs_when_up,on_1b,on_1b_name,on_2b,on_2b_name,on_3b,on_3b_name,fielder_1,fielder_1_name,fielder_2,fielder_2_name,fielder_3,fielder_3_name,fielder_4,fielder_4_name,fielder_5,fielder_5_name,fielder_6,fielder_6_name,fielder_7,fielder_7_name,fielder_8,fielder_8_name,fielder_9,fielder_9_name,UpdatedAt,CreatedAt,is_double_header_finale,game_attendance,stadium_id,stadium_name,last_updated
2022,2021005330,2022-02-27 13:00:00+09:00,378949780,,1,5,オープン戦,,試合前情報,1,郡司,嶋田,青木,牧田,,,1,8,日本ハム,F,,6,広島,C,,,,,,,先発ピッチャーは日本ハムが堀、広島が九里,"Senpatsu Pitcher wa Nippon Ham ga Hori, Hiroshima ga Kyuu Ri",,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-27 06:54:05+00:00,2022-02-27 06:54:05+00:00,0,2455,87,名護,2026-07-18T03:45:37.944575
2022,2021005330,2022-02-27 13:00:00+09:00,378949781,,1,5,オープン戦,,試合前情報,1,郡司,嶋田,青木,牧田,,,1,8,日本ハム,F,,6,広島,C,,,,,,,先攻:広島のスターティングラインナップは1番:菊池涼(二)、2番:宇草(中)、3番:會澤(指)、4番:末包(右)、5番:小園(遊)、6番:二俣(三)、7番:堂林(一)、8番:中村健(左)、9番:持丸(捕),"Senkou: Hiroshima no Starting Lineup wa 1 Ban: Kikuchi Ryou (Ni), 2 Ban: Usou (Chuu), 3 Ban: Aizawa (Yubi), 4 Ban: Suekane (Migi), 5 Ban: Kozono (Yuu), 6 Ban: Futamata (San), 7 Ban: Dou Rin (Ichi), 8 Ban: Nakamura Ken (Hidari), 9 Ban: Mochimaru (Ho)",,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-27 06:54:05+00:00,2022-02-27 06:54:05+00:00,0,2455,87,名護,2026-07-18T03:45:37.944575
2022,2021005330,2022-02-27 13:00:00+09:00,378949782,,1,5,オープン戦,,試合前情報,1,郡司,嶋田,青木,牧田,,,1,8,日本ハム,F,,6,広島,C,,,,,,,後攻:日本ハムのスターティングラインナップは1番:清宮(一)、2番:難波(三)、3番:水野(遊)、4番:田宮(捕)、5番:今川(左)、6番:王(指)、7番:淺間(中)、8番:近藤(右)、9番:杉谷(二),"Koukou: Nippon Ham no Starting Lineup wa 1 Ban: Suganomiya (Ichi), 2 Ban: Nanba (San), 3 Ban: Mizuno (Yuu), 4 Ban: Tamiya (Ho), 5 Ban: Imagawa (Hidari), 6 Ban: Ou (Yubi), 7 Ban: Asakan (Chuu), 8 Ban: Kondou (Migi), 9 Ban: Sugitani (Ni)",,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-27 06:54:05+00:00,2022-02-27 06:54:05+00:00,0,2455,87,名護,2026-07-18T03:45:37.944575
2022,2021005330,2022-02-27 13:00:00+09:00,378949783,0110100,1,5,オープン戦,1,1回表,1,郡司,嶋田,青木,牧田,,,1,8,日本ハム,F,,6,広島,C,,,,,,,試合開始 1回表 日0-0広　広島は-1番菊池涼からの攻撃,Shiai Kaishi 1 Kai Hyou Nichi 0-0 KouHiroshima wa -1 Ban Kikuchi Ryou kara no Kougeki,,,,,0,01101,0,,,,,,0,0,1600133,1100082,,,,,,,0,left,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-27 06:54:05+00:00,2022-02-27 06:54:05+00:00,0,2455,87,名護,2026-07-18T03:45:37.944575
2022,2021005330,2022-02-27 13:00:00+09:00,378949784,0110100,1,5,オープン戦,1,1回表,1,郡司,嶋田,青木,牧田,,,1,8,日本ハム,F,,6,広島,C,,,,,,,＜1番：菊池涼＞無死走者なし,<1 Ban: Kikuchi Ryou> Mushi Sousha Nashi,,,,,0,01101,0,,,,,,0,0,1600133,1100082,,,,,,,0,left,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-27 06:54:05+00:00,2022-02-27 06:54:05+00:00,0,2455,87,名護,2026-07-18T03:45:37.944575
2022,2021005330,2022-02-27 13:00:00+09:00,378949785,0110101,1,5,オープン戦,1,1回表,1,郡司,嶋田,青木,牧田,,,1,8,日本ハム,F,,6,広島,C,,,,,,,1球目:外角低めのストレートを見送ってボール 1-0,1 Tamame: Gaikaku Hikume no Straight wo Miokutte Ball 1-0,,,,,1,01101,1,143,88.87507768800498,31,130,208,118,0,1600133,1100082,,,,,,,0,left,right,0,0,0,,,,,,,1600133,堀瑞輝,1800095,田宮裕涼,1700025,清宮幸太郎,,杉谷拳士,,難波侑平,1851204,水野達稀,2000084,今川優馬,1400119,淺間大基,1100097,近藤健介,2022-02-27 06:54:05+00:00,2022-02-27 06:54:05+00:00,0,2455,87,名護,2026-07-18T03:45:37.944575
2022,2021005330,2022-02-27 13:00:00+09:00,378949786,0110102,1,5,オープン戦,1,1回表,1,郡司,嶋田,青木,牧田,,,1,8,日本ハム,F,,6,広島,C,,,,,,,2球目:外角低めのストレートを見逃してストライク 1-1,2 Tamame: Gaikaku Hikume no Straight wo Minogashite Strike 1-1,,,,,2,01101,2,142,88.25357364822871,31,131,171,117,0,1600133,1100082,,,,,,,0,left,right,0,1,0,,,,,,,1600133,堀瑞輝,1800095,田宮裕涼,1700025,清宮幸太郎,,杉谷拳士,,難波侑平,1851204,水野達稀,2000084,今川優馬,1400119,淺間大基,1100097,近藤健介,2022-02-27 06:54:05+00:00,2022-02-27 06:54:05+00:00,0,2455,87,名護,2026-07-18T03:45:37.944575
2022,2021005330,2022-02-27 13:00:00+09:00,378949787,0110103,1,5,オープン戦,1,1回表,1,郡司,嶋田,青木,牧田,,,1,8,日本ハム,F,,6,広島,C,,,,,,,3球目:低めのスライダーを空振りストライク 1-2,3 Tamame: Hikume no Slider wo Karaburi Strike 1-2,,,,,3,01101,3,118,73.3374766935985,32,112,200,116,0,1600133,1100082,,,,,,,0,left,right,1,1,0,,,,,,,1600133,堀瑞輝,1800095,田宮裕涼,1700025,清宮幸太郎,,杉谷拳士,,難波侑平,1851204,水野達稀,2000084,今川優馬,1400119,淺間大基,1100097,近藤健介,2022-02-27 06:54:05+00:00,2022-02-27 06:54:05+00:00,0,2455,87,名護,2026-07-18T03:45:37.944575
2022,2021005330,2022-02-27 13:00:00+09:00,378949788,0110104,1,5,オープン戦,1,1回表,1,郡司,嶋田,青木,牧田,,,1,8,日本ハム,F,,6,広島,C,,,,,,,4球目:高めのストレートを見送ってボール 2-2,4 Tamame: Takame no Straight wo Miokutte Ball 2-2,,,,,4,01101,4,141,87.63206960845245,31,88,30,118,0,1600133,1100082,,,,,,,0,left,right,2,1,0,,,,,,,1600133,堀瑞輝,1800095,田宮裕涼,1700025,清宮幸太郎,,杉谷拳士,,難波侑平,1851204,水野達稀,2000084,今川優馬,1400119,淺間大基,1100097,近藤健介,2022-02-27 06:54:05+00:00,2022-02-27 06:54:05+00:00,0,2455,87,名護,2026-07-18T03:45:37.944575
2022,2021005330,2022-02-27 13:00:00+09:00,378949789,0110105,1,5,オープン戦,1,1回表,1,郡司,嶋田,青木,牧田,,,1,8,日本ハム,F,,6,広島,C,,,,,,,5球目:低めのストレートを打つもセンターフライ 1アウト,5 Tamame: Hikume no Straight wo Utsu mo Center Fly 1 Out,,,,,5,01101,5,141,87.63206960845245,31,101,152,109,56,1600133,1100082,215,92,1400119,淺間,8,26,0,left,right,2,2,0,,,,,,,1600133,堀瑞輝,1800095,田宮裕涼,1700025,清宮幸太郎,,杉谷拳士,,難波侑平,1851204,水野達稀,2000084,今川優馬,1400119,淺間大基,1100097,近藤健介,2022-02-27 06:54:05+00:00,2022-02-27 06:54:05+00:00,0,2455,87,名護,2026-07-18T03:45:37.944575
