season,game_id,game_date,play_id,page,game_round,game_type_id,game_type_name,inning,game_state_name,inning_ab_num,umpire_home,umpire_first,umpire_second,umpire_third,umpire_left,umpire_right,H_HV,home_team_id,home_team_name,home_team_abv,home_total_runs,away_team_id,away_team_name,away_team_abv,away_total_runs,result_id,end_time,win_pitcher,loss_pitcher,save_pitcher,description_jap,description,PlayInfo_SeqNo,PlayInfo_AB,PlayInfo_PlayerID,PlayInfo_PlayerName,atBatBallCount,fiveDigitSerialNumber,pitch_number,release_speed_kmh,release_speed_mph,pitch_id,plate_x,plate_y,presult,bresult,pitcher,batter,hc_x,hc_y,fielder,fielder_name,hit_location,ballCatcherNum,addedRuns,pitcher_hand,batter_hand,strikes,balls,outs_when_up,on_1b,on_1b_name,on_2b,on_2b_name,on_3b,on_3b_name,fielder_1,fielder_1_name,fielder_2,fielder_2_name,fielder_3,fielder_3_name,fielder_4,fielder_4_name,fielder_5,fielder_5_name,fielder_6,fielder_6_name,fielder_7,fielder_7_name,fielder_8,fielder_8_name,fielder_9,fielder_9_name,UpdatedAt,CreatedAt,is_double_header_finale,game_attendance,stadium_id,stadium_name,last_updated
2023,2021014377,2023-11-01 18:01:00+09:00,674007617,,4,3,日本シリーズ,,試合前情報,1,津川,嶋田,川口,福家,市川,深谷,1,5,阪神,T,,11,オリックス,B,,,,,,,先発ピッチャーは阪神が才木、オリックスが山崎福,"Senpatsu Pitcher wa Hanshin ga Sai Ki, Orix ga Yamazaki Fuku",,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-01 13:29:43+00:00,2023-11-01 13:29:43+00:00,0,41050,5,甲子園,2026-07-18T06:16:33.701419
2023,2021014377,2023-11-01 18:01:00+09:00,674007618,,4,3,日本シリーズ,,試合前情報,1,津川,嶋田,川口,福家,市川,深谷,1,5,阪神,T,,11,オリックス,B,,,,,,,先攻:オリックスのスターティングラインナップは1番:中川圭(中)、2番:宗(三)、3番:森(捕)、4番:頓宮(一)、5番:ゴンザレス(二)、6番:紅林(遊)、7番:野口(右)、8番:廣岡(左)、9番:山崎福(投),"Senkou: Orix no Starting Lineup wa 1 Ban: Nakagawa Kei (Chuu), 2 Ban: Sou (San), 3 Ban: Mori (Ho), 4 Ban: Tonguu (Ichi), 5 Ban: Gonzaresu (Ni), 6 Ban: Kurebayashi (Yuu), 7 Ban: Noguchi (Migi), 8 Ban: Hirooka (Hidari), 9 Ban: Yamazaki Fuku (Nage)",,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-01 13:29:43+00:00,2023-11-01 13:29:43+00:00,0,41050,5,甲子園,2026-07-18T06:16:33.701419
2023,2021014377,2023-11-01 18:01:00+09:00,674007619,,4,3,日本シリーズ,,試合前情報,1,津川,嶋田,川口,福家,市川,深谷,1,5,阪神,T,,11,オリックス,B,,,,,,,後攻:阪神のスターティングラインナップは1番:近本(中)、2番:中野(二)、3番:森下(右)、4番:大山(一)、5番:ノイジー(左)、6番:佐藤輝(三)、7番:坂本(捕)、8番:木浪(遊)、9番:才木(投),"Koukou: Hanshin no Starting Lineup wa 1 Ban: Kinhon (Chuu), 2 Ban: Nakano (Ni), 3 Ban: Morishita (Migi), 4 Ban: Daisen (Ichi), 5 Ban: Noisy (Hidari), 6 Ban: Satou Akira (San), 7 Ban: Sakamoto (Ho), 8 Ban: Mokurou (Yuu), 9 Ban: Sai Ki (Nage)",,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-01 13:29:43+00:00,2023-11-01 13:29:43+00:00,0,41050,5,甲子園,2026-07-18T06:16:33.701419
2023,2021014377,2023-11-01 18:01:00+09:00,674007620,0110100,4,3,日本シリーズ,1,1回表,1,津川,嶋田,川口,福家,市川,深谷,1,5,阪神,T,,11,オリックス,B,,,,,,,試合開始 1回表 神0-0オ　オリックスは1番中川圭からの攻撃,Shiai Kaishi 1 Kai Hyou Kami 0-0 O Orix wa 1 Ban Nakagawa Kei kara no Kougeki,1,1,1800104,中川　圭太,0,01101,0,,,,,,0,0,1600115,1800104,,,,,,,0,right,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-01 13:29:43+00:00,2023-11-01 13:29:43+00:00,0,41050,5,甲子園,2026-07-18T06:16:33.701419
2023,2021014377,2023-11-01 18:01:00+09:00,674007621,0110100,4,3,日本シリーズ,1,1回表,1,津川,嶋田,川口,福家,市川,深谷,1,5,阪神,T,,11,オリックス,B,,,,,,,＜1番：中川圭＞無死走者なし,<1 Ban: Nakagawa Kei> Mushi Sousha Nashi,1,1,1800104,中川　圭太,0,01101,0,,,,,,0,0,1600115,1800104,,,,,,,0,right,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-01 13:29:43+00:00,2023-11-01 13:29:43+00:00,0,41050,5,甲子園,2026-07-18T06:16:33.701419
2023,2021014377,2023-11-01 18:01:00+09:00,674007622,0110101,4,3,日本シリーズ,1,1回表,1,津川,嶋田,川口,福家,市川,深谷,1,5,阪神,T,,11,オリックス,B,,,,,,,1球目:内角高めのストレートを見送ってボール 1-0,1 Tamame: Naikaku Takame no Straight wo Miokutte Ball 1-0,1,1,1800104,中川　圭太,1,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,1600115,才木浩人,1500087,坂本誠志郎,1600113,大山悠輔,2000056,中野拓夢,2000051,佐藤輝明,1800067,木浪聖也,,ノイジー,1800065,近本光司,1850183,森下翔太,2023-11-01 13:29:43+00:00,2023-11-01 13:29:43+00:00,0,41050,5,甲子園,2026-07-18T06:16:33.701419
2023,2021014377,2023-11-01 18:01:00+09:00,674007623,0110102,4,3,日本シリーズ,1,1回表,1,津川,嶋田,川口,福家,市川,深谷,1,5,阪神,T,,11,オリックス,B,,,,,,,2球目:外角高めのストレートを見送ってボール 2-0,2 Tamame: Gaikaku Takame no Straight wo Miokutte Ball 2-0,1,1,1800104,中川　圭太,2,01101,2,151,93.84711000621505,31,139,33,118,0,1600115,1800104,,,,,,,0,right,right,0,1,0,,,,,,,1600115,才木浩人,1500087,坂本誠志郎,1600113,大山悠輔,2000056,中野拓夢,2000051,佐藤輝明,1800067,木浪聖也,,ノイジー,1800065,近本光司,1850183,森下翔太,2023-11-01 13:29:43+00:00,2023-11-01 13:29:43+00:00,0,41050,5,甲子園,2026-07-18T06:16:33.701419
2023,2021014377,2023-11-01 18:01:00+09:00,674007624,0110103,4,3,日本シリーズ,1,1回表,1,津川,嶋田,川口,福家,市川,深谷,1,5,阪神,T,,11,オリックス,B,,,,,,,3球目:際どいコースのストレートを見逃してストライク 2-1,3 Tamame: Kiwadoi Course no Straight wo Minogashite Strike 2-1,1,1,1800104,中川　圭太,3,01101,3,151,93.84711000621505,31,118,57,117,0,1600115,1800104,,,,,,,0,right,right,0,2,0,,,,,,,1600115,才木浩人,1500087,坂本誠志郎,1600113,大山悠輔,2000056,中野拓夢,2000051,佐藤輝明,1800067,木浪聖也,,ノイジー,1800065,近本光司,1850183,森下翔太,2023-11-01 13:29:43+00:00,2023-11-01 13:29:43+00:00,0,41050,5,甲子園,2026-07-18T06:16:33.701419
2023,2021014377,2023-11-01 18:01:00+09:00,674007625,0110104,4,3,日本シリーズ,1,1回表,1,津川,嶋田,川口,福家,市川,深谷,1,5,阪神,T,,11,オリックス,B,,,,,,,4球目:ど真ん中の球を空振りストライク 2-2,4 Tamame: Domannaka no Tama wo Karaburi Strike 2-2,1,1,1800104,中川　圭太,4,01101,4,150,93.22560596643878,31,113,139,116,0,1600115,1800104,,,,,,,0,right,right,1,2,0,,,,,,,1600115,才木浩人,1500087,坂本誠志郎,1600113,大山悠輔,2000056,中野拓夢,2000051,佐藤輝明,1800067,木浪聖也,,ノイジー,1800065,近本光司,1850183,森下翔太,2023-11-01 13:29:43+00:00,2023-11-01 13:29:43+00:00,0,41050,5,甲子園,2026-07-18T06:16:33.701419
2023,2021014377,2023-11-01 18:01:00+09:00,674007626,0110105,4,3,日本シリーズ,1,1回表,1,津川,嶋田,川口,福家,市川,深谷,1,5,阪神,T,,11,オリックス,B,,,,,,,5球目:外角高めのストレートを見送ってボール 3-2,5 Tamame: Gaikaku Takame no Straight wo Miokutte Ball 3-2,1,1,1800104,中川　圭太,5,01101,5,153,95.09011808576756,31,130,28,118,0,1600115,1800104,,,,,,,0,right,right,2,2,0,,,,,,,1600115,才木浩人,1500087,坂本誠志郎,1600113,大山悠輔,2000056,中野拓夢,2000051,佐藤輝明,1800067,木浪聖也,,ノイジー,1800065,近本光司,1850183,森下翔太,2023-11-01 13:29:43+00:00,2023-11-01 13:29:43+00:00,0,41050,5,甲子園,2026-07-18T06:16:33.701419
