player_jersey_number,player_name_jap,player_salary,pitching_ERA,total_games,pitching_W,pitching_L,pitching_IP,pitching_W%,pitching_CG,pitching_SHO,pitching_SV,pitching_H,pitching_SO,pitching_SO%,pitching_R,pitching_ER,pitching_H,pitching_HR,pitching_BB,pitching_HBP,pitching_BB%,Team,player_id
11,九里亜蓮,140000000.0,3.21,23.0,7.0,10.0,,0.412,1.0,1.0,0.0,0.0,95.0,6.49,49.0,47.0,115.0,12.0,29.0,4.0,1.98,広島,1300058
12,大道温貴,30000000.0,10.38,4.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,4.15,5.0,5.0,9.0,3.0,0.0,0.0,0.0,広島,2000062
13,森浦大輔,35000000.0,2.51,53.0,2.0,0.0,,1.0,0.0,0.0,0.0,17.0,43.0,8.29,13.0,13.0,40.0,1.0,27.0,1.0,5.21,広島,2000061
14,大瀬良大地,180000000.0,1.86,25.0,6.0,6.0,155.0,0.5,2.0,1.0,0.0,0.0,98.0,5.69,37.0,32.0,118.0,5.0,49.0,3.0,2.85,広島,1300057
16,森翔平,18000000.0,2.7,5.0,1.0,3.0,,0.25,1.0,0.0,0.0,0.0,17.0,5.74,10.0,8.0,25.0,1.0,4.0,1.0,1.35,広島,2103788
17,常廣羽也斗,16000000.0,2.45,2.0,1.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,7.0,5.73,3.0,3.0,15.0,0.0,4.0,1.0,3.27,広島,2110267
18,森下暢仁,130000000.0,2.55,23.0,10.0,10.0,,0.5,2.0,1.0,0.0,0.0,98.0,5.82,46.0,43.0,137.0,6.0,29.0,7.0,1.72,広島,1900052
19,野村祐輔,44500000.0,2.45,3.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,8.0,6.55,4.0,3.0,11.0,1.0,2.0,0.0,1.64,広島,1100081
20,栗林良吏,115000000.0,1.96,60.0,0.0,6.0,55.0,0.0,0.0,0.0,38.0,12.0,65.0,10.64,14.0,12.0,33.0,3.0,16.0,2.0,2.62,広島,2000060
21,中崎翔太,55000000.0,1.96,24.0,1.0,1.0,23.0,0.5,0.0,0.0,0.0,3.0,16.0,6.26,5.0,5.0,24.0,1.0,2.0,1.0,0.78,広島,1000116
22,高太一,12000000.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,4.5,広島,1950429
24,黒原拓未,14000000.0,2.11,53.0,4.0,3.0,,0.571,0.0,0.0,0.0,3.0,67.0,10.11,15.0,14.0,40.0,2.0,20.0,3.0,3.02,広島,1750941
26,益田武尚,12000000.0,6.48,10.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,9.0,9.72,6.0,6.0,12.0,2.0,6.0,2.0,6.48,広島,2105565
28,床田寛樹,100000000.0,2.48,26.0,11.0,9.0,167.0,0.55,0.0,0.0,0.0,0.0,95.0,5.12,52.0,46.0,170.0,9.0,48.0,4.0,2.59,広島,1600123
29,ケムナ誠,27000000.0,1.8,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,1.0,1.0,6.0,0.0,5.0,0.0,9.0,広島,1700070
30,滝田一希,10000000.0,2.25,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0,11.25,1.0,1.0,2.0,0.0,4.0,0.0,9.0,広島,2110107
34,高橋昂也,8000000.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,広島,1600122
35,赤塚健利,7000000.0,,,,,,,,,,,,,,,,,,,,広島,
36,塹江敦哉,21000000.0,1.57,53.0,2.0,0.0,40.0,1.0,0.0,0.0,0.0,16.0,38.0,8.55,13.0,7.0,39.0,0.0,16.0,4.0,3.6,広島,1400175
