player_jersey_number,player_name_jap,player_salary,bating_AVG,total_games,batting_PA,batting_AB,batting_H,batting_2B,batting_3B,batting_HR,batting_TB,batting_R,batting_RBI,batting_SO,batting_BB,batting_HBP,batting_SB,batting_OBP,batting_SLG,batting_OPS,batting_SO%,Team,player_id
0,上本崇司,8000000,0.091,59.0,13.0,11.0,1.0,0.0,0.0,0.0,1.0,8.0,0.0,4.0,1.0,0.0,6.0,0.167,0.091,0.258,0.308,広島,
2,田中広輔,140000000,0.262,143.0,675.0,572.0,150.0,19.0,10.0,10.0,219.0,92.0,60.0,118.0,75.0,17.0,32.0,0.362,0.383,0.745,0.175,広島,
4,小窪哲也,33000000,0.308,17.0,28.0,26.0,8.0,3.0,1.0,0.0,13.0,2.0,3.0,7.0,1.0,1.0,0.0,0.357,0.5,0.857,0.25,広島,800040
6,安部友裕,46000000,0.236,72.0,252.0,220.0,52.0,11.0,4.0,4.0,83.0,32.0,24.0,60.0,21.0,2.0,7.0,0.306,0.377,0.683,0.238,広島,
7,堂林翔太,15000000,0.216,63.0,60.0,51.0,11.0,3.0,1.0,0.0,16.0,11.0,5.0,14.0,2.0,0.0,0.0,0.245,0.314,0.559,0.233,広島,900430
9,丸佳浩,210000000,0.306,125.0,566.0,432.0,132.0,22.0,0.0,39.0,271.0,109.0,97.0,130.0,130.0,3.0,10.0,0.468,0.627,1.096,0.23,広島,800043
10,岩本貴裕,16000000,0.143,10.0,8.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.25,0.143,0.393,0.25,広島,
22,中村奨成,8000000,,,,,,,,,,,,,,,,,,,,広島,1700068
25,新井貴浩,110000000,0.219,63.0,132.0,114.0,25.0,3.0,1.0,4.0,42.0,7.0,24.0,26.0,14.0,0.0,0.0,0.295,0.368,0.664,0.197,広島,11802
27,會澤翼,50000000,0.305,106.0,377.0,315.0,96.0,18.0,1.0,13.0,155.0,42.0,42.0,56.0,39.0,14.0,0.0,0.401,0.492,0.893,0.149,広島,700050
31,石原慶幸,90000000,0.177,58.0,107.0,96.0,17.0,1.0,0.0,1.0,21.0,6.0,7.0,27.0,5.0,1.0,0.0,0.223,0.219,0.442,0.252,広島,12186
32,白濱裕太,6500000,,,,,,,,,,,,,,,,,,,,広島,
33,菊池涼介,190000000,0.233,139.0,642.0,557.0,130.0,27.0,1.0,13.0,198.0,85.0,60.0,111.0,51.0,3.0,10.0,0.301,0.355,0.656,0.173,広島,1100082
35,下水流昂,10000000,0.263,67.0,89.0,80.0,21.0,1.0,0.0,4.0,34.0,8.0,12.0,25.0,7.0,0.0,0.0,0.322,0.425,0.747,0.281,広島,
37,野間峻祥,16000000,0.286,126.0,447.0,405.0,116.0,14.0,7.0,5.0,159.0,64.0,46.0,69.0,30.0,6.0,17.0,0.343,0.393,0.736,0.154,広島,1400173
38,赤松真人,27000000,,,,,,,,,,,,,,,,,,,,広島,500068
40,磯村嘉孝,8500000,0.215,37.0,91.0,79.0,17.0,2.0,0.0,1.0,22.0,6.0,4.0,12.0,6.0,1.0,0.0,0.279,0.278,0.558,0.132,広島,
43,土生翔平,5500000,,,,,,,,,,,,,,,,,,,,広島,
44,松山竜平,65000000,0.302,124.0,446.0,397.0,120.0,25.0,2.0,12.0,185.0,46.0,74.0,46.0,42.0,2.0,2.0,0.368,0.466,0.834,0.103,広島,800041
45,桑原樹,5000000,,,,,,,,,,,,,,,,,,,,広島,
49,天谷宗一郎,22000000,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,広島,
50,高橋大樹,5500000,0.333,6.0,16.0,15.0,5.0,1.0,0.0,0.0,6.0,1.0,0.0,4.0,1.0,0.0,0.0,0.375,0.4,0.775,0.25,広島,
51,鈴木誠也,90000000,0.32,124.0,520.0,422.0,135.0,32.0,2.0,30.0,261.0,86.0,94.0,116.0,88.0,5.0,4.0,0.438,0.618,1.057,0.223,広島,
