player_jersey_number,player_name_jap,player_salary,bating_AVG,total_games,batting_PA,batting_AB,batting_H,batting_2B,batting_3B,batting_HR,batting_TB,batting_R,batting_RBI,batting_SO,batting_BB,batting_HBP,batting_SB,batting_OBP,batting_SLG,batting_OPS,batting_SO%,Team,player_id
00,曽根海成,10000000,0.0,66.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,1.0,0.0,9.0,0.167,0.0,0.167,0.5,広島,
0,上本崇司,12000000,0.273,63.0,68.0,55.0,15.0,2.0,0.0,0.0,17.0,20.0,2.0,10.0,5.0,6.0,2.0,0.382,0.309,0.691,0.147,広島,
1,鈴木誠也,310000000,0.317,132.0,533.0,435.0,138.0,26.0,0.0,38.0,278.0,77.0,88.0,88.0,87.0,6.0,9.0,0.433,0.639,1.072,0.165,広島,
2,田中広輔,150000000,0.206,81.0,160.0,136.0,28.0,4.0,0.0,2.0,38.0,12.0,8.0,23.0,18.0,2.0,1.0,0.308,0.279,0.587,0.144,広島,
5,長野久義,165000000,0.216,71.0,140.0,125.0,27.0,3.0,0.0,2.0,36.0,6.0,13.0,30.0,14.0,1.0,1.0,0.3,0.288,0.588,0.214,広島,900397
6,安部友裕,32500000,0.252,85.0,170.0,151.0,38.0,5.0,0.0,1.0,46.0,8.0,12.0,47.0,15.0,1.0,2.0,0.32,0.305,0.624,0.276,広島,
7,堂林翔太,36000000,0.19,70.0,143.0,137.0,26.0,6.0,0.0,0.0,32.0,12.0,5.0,34.0,3.0,1.0,2.0,0.213,0.234,0.446,0.238,広島,900430
10,ケビン・クロン,83000000,0.231,42.0,137.0,130.0,30.0,8.0,0.0,6.0,56.0,10.0,16.0,47.0,6.0,1.0,0.0,0.27,0.431,0.701,0.343,広島,
22,中村奨成,7000000,0.283,39.0,61.0,53.0,15.0,3.0,0.0,2.0,24.0,15.0,5.0,15.0,8.0,0.0,3.0,0.377,0.453,0.83,0.246,広島,1700068
27,會澤翼,180000000,0.256,70.0,204.0,180.0,46.0,10.0,0.0,3.0,65.0,18.0,22.0,33.0,16.0,4.0,0.0,0.325,0.361,0.686,0.162,広島,700050
31,坂倉将吾,18000000,0.315,132.0,484.0,422.0,133.0,24.0,2.0,12.0,197.0,58.0,68.0,60.0,51.0,4.0,4.0,0.39,0.467,0.857,0.124,広島,1600124
32,白濱裕太,6500000,,,,,,,,,,,,,,,,,,,,広島,
33,菊池涼介,300000000,0.277,132.0,542.0,494.0,137.0,23.0,2.0,16.0,212.0,64.0,60.0,86.0,42.0,1.0,1.0,0.333,0.429,0.762,0.159,広島,1100082
35,三好匠,13000000,0.0,64.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.308,広島,1100129
37,野間峻祥,30000000,0.272,74.0,270.0,250.0,68.0,7.0,2.0,2.0,85.0,27.0,12.0,29.0,17.0,2.0,9.0,0.323,0.34,0.663,0.107,広島,1400173
38,宇草孔基,11000000,0.291,43.0,158.0,148.0,43.0,7.0,1.0,4.0,64.0,18.0,14.0,42.0,6.0,3.0,6.0,0.331,0.432,0.764,0.266,広島,
40,磯村嘉孝,16000000,0.171,21.0,39.0,35.0,6.0,2.0,0.0,0.0,8.0,0.0,3.0,9.0,2.0,1.0,0.0,0.231,0.229,0.459,0.231,広島,
44,林晃汰,6000000,0.266,102.0,376.0,357.0,95.0,15.0,0.0,10.0,140.0,26.0,40.0,93.0,16.0,2.0,0.0,0.301,0.392,0.693,0.247,広島,1800074
45,桑原樹,5500000,,,,,,,,,,,,,,,,,,,,広島,
49,正隨優弥,6500000,0.115,14.0,27.0,26.0,3.0,0.0,0.0,1.0,6.0,1.0,4.0,10.0,1.0,0.0,0.0,0.148,0.231,0.379,0.37,広島,
50,高橋大樹,7000000,,,,,,,,,,,,,,,,,,,,広島,
51,小園海斗,8000000,0.298,113.0,481.0,449.0,134.0,18.0,6.0,5.0,179.0,65.0,35.0,57.0,13.0,3.0,4.0,0.32,0.399,0.718,0.119,広島,1800072
54,韮澤雄也,5000000,,,,,,,,,,,,,,,,,,,,広島,
55,松山竜平,90000000,0.263,85.0,194.0,175.0,46.0,10.0,0.0,2.0,62.0,9.0,29.0,22.0,17.0,0.0,0.0,0.325,0.354,0.679,0.113,広島,800041
56,中神拓都,5000000,,,,,,,,,,,,,,,,,,,,広島,
59,大盛穂,10000000,0.27,56.0,41.0,37.0,10.0,1.0,1.0,0.0,13.0,9.0,3.0,19.0,1.0,1.0,5.0,0.308,0.351,0.659,0.463,広島,1800079
60,永井敦士,4500000,,,,,,,,,,,,,,,,,,,,広島,
61,矢野雅哉,6000000,0.0,13.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,広島,2000065
62,石原貴規,7000000,0.239,60.0,125.0,113.0,27.0,1.0,0.0,4.0,40.0,8.0,12.0,24.0,9.0,0.0,1.0,0.293,0.354,0.647,0.192,広島,1900056
63,西川龍馬,63000000,0.286,137.0,551.0,504.0,144.0,19.0,1.0,12.0,201.0,57.0,60.0,70.0,37.0,2.0,3.0,0.335,0.399,0.733,0.127,広島,1500096
69,羽月隆太郎,8000000,0.255,39.0,117.0,102.0,26.0,3.0,2.0,1.0,36.0,16.0,11.0,26.0,8.0,0.0,6.0,0.309,0.353,0.662,0.222,広島,1800078
96,アレハンドロ・メヒア,13200000,0.216,18.0,40.0,37.0,8.0,0.0,0.0,0.0,8.0,2.0,0.0,11.0,2.0,1.0,0.0,0.275,0.216,0.491,0.275,広島,
121,二俣翔一,2500000,,,,,,,,,,,,,,,,,,,,広島,2000066
123,持丸泰輝,2700000,,,,,,,,,,,,,,,,,,,,広島,1900058
124,木下元秀,2700000,,,,,,,,,,,,,,,,,,,,広島,
00,湯浅大,6000000,0.385,33.0,13.0,13.0,5.0,1.0,0.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,1.0,0.385,0.462,0.846,0.077,巨人,1700049
0,増田大輝,22000000,0.136,56.0,25.0,22.0,3.0,1.0,0.0,1.0,7.0,13.0,2.0,6.0,2.0,0.0,8.0,0.208,0.318,0.527,0.24,巨人,1500054
001,加藤廉,4000000,,,,,,,,,,,,,,,,,,,,巨人,
002,平間隼人,3600000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,巨人,
2,陽岱鋼,300000000,0.143,7.0,7.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.143,0.143,0.286,0.286,巨人,600037
5,中島宏之,50000000,0.271,81.0,195.0,181.0,49.0,10.0,0.0,6.0,77.0,11.0,26.0,35.0,9.0,3.0,0.0,0.314,0.425,0.74,0.179,巨人,
006,坂本勇人,3600000,,,,,,,,,,,,,,,,,,,,巨人,700003
6,坂本勇人,500000000,0.271,117.0,487.0,424.0,115.0,26.0,0.0,19.0,198.0,53.0,46.0,90.0,58.0,1.0,2.0,0.359,0.467,0.826,0.185,巨人,700003
8,丸佳浩,450000000,0.265,118.0,457.0,392.0,104.0,21.0,0.0,23.0,194.0,58.0,55.0,120.0,63.0,0.0,5.0,0.365,0.495,0.86,0.263,巨人,800043
008,加藤壮太,2400000,,,,,,,,,,,,,,,,,,,,巨人,
9,亀井善行,100000000,0.215,92.0,206.0,186.0,40.0,12.0,1.0,3.0,63.0,15.0,17.0,47.0,13.0,2.0,1.0,0.27,0.339,0.608,0.228,巨人,500037
10,J.スモーク,310000000,0.272,34.0,125.0,114.0,31.0,3.0,0.0,7.0,55.0,11.0,14.0,37.0,10.0,1.0,0.0,0.336,0.482,0.818,0.296,巨人,
13,梶谷隆幸,74000000,0.282,61.0,246.0,227.0,64.0,10.0,1.0,4.0,88.0,31.0,23.0,40.0,15.0,3.0,11.0,0.333,0.388,0.721,0.163,巨人,
021,黒田響生,2600000,,,,,,,,,,,,,,,,,,,,巨人,
22,小林誠司,100000000,0.093,64.0,79.0,75.0,7.0,2.0,0.0,1.0,12.0,2.0,3.0,24.0,1.0,1.0,1.0,0.117,0.16,0.277,0.304,巨人,1300027
24,大城卓三,45000000,0.231,125.0,386.0,347.0,80.0,12.0,0.0,11.0,125.0,36.0,37.0,80.0,33.0,2.0,0.0,0.3,0.36,0.66,0.207,巨人,1700044
024,前田研輝,4000000,,,,,,,,,,,,,,,,,,,,巨人,
25,岡本和真,210000000,0.265,143.0,592.0,521.0,138.0,19.0,1.0,39.0,276.0,71.0,113.0,108.0,57.0,7.0,1.0,0.341,0.53,0.871,0.182,巨人,
025,岡本大翔,3600000,,,,,,,,,,,,,,,,,,,,巨人,
27,炭谷銀仁朗,150000000,0.188,44.0,54.0,48.0,9.0,0.0,0.0,1.0,12.0,4.0,7.0,17.0,4.0,0.0,0.0,0.245,0.25,0.495,0.315,巨人,600026
027,喜多隆介,4000000,,,,,,,,,,,,,,,,,,,,巨人,2000013
29,吉川尚輝,33000000,0.272,108.0,329.0,305.0,83.0,13.0,1.0,5.0,113.0,35.0,25.0,48.0,17.0,2.0,7.0,0.313,0.37,0.683,0.146,巨人,1600059
31,松原聖弥,22000000,0.274,135.0,477.0,431.0,118.0,20.0,4.0,12.0,182.0,69.0,37.0,100.0,38.0,2.0,15.0,0.333,0.422,0.756,0.21,巨人,
32,廣岡大志,16000000,0.189,78.0,117.0,106.0,20.0,2.0,2.0,5.0,41.0,11.0,15.0,25.0,7.0,3.0,2.0,0.256,0.387,0.643,0.214,巨人,1500041
36,石川慎吾,20000000,0.189,26.0,41.0,37.0,7.0,2.0,0.0,0.0,9.0,3.0,0.0,8.0,4.0,0.0,0.0,0.268,0.243,0.512,0.195,巨人,1100096
37,若林晃弘,22000000,0.239,96.0,242.0,213.0,51.0,11.0,0.0,5.0,77.0,25.0,16.0,46.0,22.0,2.0,1.0,0.314,0.362,0.675,0.19,巨人,1700047
38,岸田行倫,15000000,0.182,27.0,24.0,22.0,4.0,0.0,1.0,0.0,6.0,1.0,2.0,8.0,2.0,0.0,0.0,0.25,0.273,0.523,0.333,巨人,1700043
39,立岡宗一郎,17000000,0.205,47.0,47.0,44.0,9.0,0.0,0.0,0.0,9.0,2.0,1.0,7.0,3.0,0.0,0.0,0.255,0.205,0.46,0.149,巨人,900093
40,中山礼都,6000000,,,,,,,,,,,,,,,,,,,,巨人,2000007
43,重信慎之介,28000000,0.218,73.0,86.0,78.0,17.0,2.0,0.0,2.0,25.0,11.0,6.0,26.0,7.0,0.0,6.0,0.282,0.321,0.603,0.302,巨人,
44,テームズ,125000000,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,巨人,
48,ウィーラー,50000000,0.289,121.0,427.0,384.0,111.0,28.0,0.0,15.0,184.0,44.0,56.0,78.0,34.0,8.0,3.0,0.358,0.479,0.837,0.183,巨人,
51,八百板卓丸,5000000,0.167,16.0,12.0,12.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,0.167,0.167,0.333,0.333,巨人,
52,北村拓己,15000000,0.25,53.0,103.0,92.0,23.0,3.0,0.0,4.0,38.0,13.0,11.0,28.0,8.0,1.0,1.0,0.317,0.413,0.73,0.272,巨人,
055,保科広一,4000000,,,,,,,,,,,,,,,,,,,,巨人,
60,菊田拡和,6000000,,,,,,,,,,,,,,,,,,,,巨人,
61,増田陸,6500000,,,,,,,,,,,,,,,,,,,,巨人,1800024
65,松井義弥,4700000,,,,,,,,,,,,,,,,,,,,巨人,
66,香月一也,7000000,0.203,39.0,67.0,59.0,12.0,3.0,0.0,3.0,24.0,9.0,6.0,12.0,4.0,2.0,0.0,0.277,0.407,0.684,0.179,巨人,1400192
67,山瀬慎之助,5600000,,,,,,,,,,,,,,,,,,,,巨人,1900020
68,秋広優人,5400000,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,巨人,2000009
69,萩原哲,7400000,,,,,,,,,,,,,,,,,,,,巨人,
97,伊藤海斗,5400000,,,,,,,,,,,,,,,,,,,,巨人,
98,ウレーニャ,10000000,0.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,巨人,
099,山下航汰,5100000,,,,,,,,,,,,,,,,,,,,巨人,
0,中井大介,25200000,0.133,13.0,15.0,15.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.133,0.133,0.267,0.4,DeNA,800002
00,宮本秀明,7050000,0.2,35.0,11.0,10.0,2.0,0.0,0.0,0.0,2.0,5.0,0.0,6.0,1.0,0.0,2.0,0.273,0.2,0.473,0.545,DeNA,
1,桑原将志,49000000,0.31,135.0,571.0,519.0,161.0,39.0,2.0,14.0,246.0,84.0,43.0,75.0,44.0,4.0,12.0,0.369,0.474,0.843,0.131,DeNA,1100061
2,牧秀悟,13000000,0.314,137.0,523.0,487.0,153.0,35.0,3.0,22.0,260.0,73.0,71.0,85.0,27.0,6.0,2.0,0.356,0.534,0.89,0.163,DeNA,2000035
4,伊藤裕季也,12000000,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,DeNA,1800044
5,倉本寿彦,51100000,0.208,46.0,74.0,72.0,15.0,0.0,0.0,0.0,15.0,5.0,6.0,17.0,2.0,0.0,0.0,0.23,0.208,0.438,0.23,DeNA,1400111
6,森敬斗,10000000,0.194,44.0,113.0,103.0,20.0,4.0,2.0,0.0,28.0,15.0,5.0,30.0,7.0,0.0,4.0,0.241,0.272,0.513,0.265,DeNA,1900030
7,佐野恵太,70000000,0.303,143.0,615.0,545.0,165.0,34.0,2.0,17.0,254.0,73.0,72.0,73.0,61.0,5.0,0.0,0.376,0.466,0.842,0.119,DeNA,1600089
8,神里和毅,52000000,0.191,88.0,118.0,110.0,21.0,3.0,0.0,4.0,36.0,13.0,15.0,49.0,6.0,0.0,4.0,0.231,0.327,0.558,0.415,DeNA,1700059
9,大和,100000000,0.252,106.0,294.0,270.0,68.0,13.0,0.0,2.0,87.0,18.0,26.0,44.0,19.0,0.0,1.0,0.3,0.322,0.622,0.15,DeNA,
10,戸柱恭孝,41600000,0.22,56.0,135.0,127.0,28.0,5.0,1.0,3.0,44.0,10.0,14.0,18.0,4.0,1.0,0.0,0.25,0.346,0.596,0.133,DeNA,1500064
23,タイラー・オースティン,110000000,0.303,107.0,439.0,373.0,113.0,25.0,1.0,28.0,224.0,60.0,74.0,111.0,60.0,5.0,1.0,0.405,0.601,1.006,0.253,DeNA,
29,伊藤光,110000000,0.212,53.0,192.0,160.0,34.0,6.0,0.0,2.0,46.0,14.0,13.0,43.0,17.0,2.0,1.0,0.294,0.287,0.582,0.224,DeNA,800075
31,柴田竜拓,55000000,0.234,85.0,266.0,222.0,52.0,15.0,0.0,2.0,73.0,21.0,15.0,39.0,26.0,1.0,1.0,0.313,0.329,0.642,0.147,DeNA,1500063
32,益子京右,5400000,0.2,3.0,5.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,0.4,0.2,DeNA,1800047
33,乙坂智,33000000,0.211,17.0,20.0,19.0,4.0,1.0,0.0,0.0,5.0,5.0,0.0,6.0,1.0,0.0,0.0,0.25,0.263,0.513,0.3,DeNA,
36,高城俊人,12500000,0.25,7.0,7.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.25,0.75,0.0,DeNA,
37,楠本泰史,13800000,0.254,76.0,127.0,114.0,29.0,7.0,0.0,2.0,42.0,9.0,18.0,23.0,10.0,2.0,1.0,0.323,0.368,0.691,0.181,DeNA,
38,田中俊太,17000000,0.146,58.0,60.0,48.0,7.0,0.0,0.0,0.0,7.0,10.0,8.0,16.0,7.0,0.0,0.0,0.246,0.146,0.391,0.267,DeNA,1700046
39,嶺井博希,30000000,0.189,36.0,80.0,74.0,14.0,4.0,0.0,0.0,18.0,1.0,7.0,24.0,4.0,2.0,0.0,0.25,0.243,0.493,0.3,DeNA,1300093
44,小深田大地,5600000,,,,,,,,,,,,,,,,,,,,DeNA,
50,山本祐大,6050000,0.131,51.0,111.0,99.0,13.0,2.0,0.0,1.0,18.0,4.0,4.0,27.0,4.0,1.0,0.0,0.173,0.182,0.355,0.243,DeNA,1700066
51,宮崎敏郎,170000000,0.301,141.0,569.0,519.0,156.0,32.0,0.0,16.0,236.0,61.0,73.0,53.0,41.0,4.0,0.0,0.353,0.455,0.808,0.093,DeNA,1200053
52,細川成也,8800000,0.154,37.0,44.0,39.0,6.0,1.0,0.0,0.0,7.0,3.0,1.0,13.0,3.0,2.0,0.0,0.25,0.179,0.429,0.295,DeNA,1600085
55,田部隼人,5400000,,,,,,,,,,,,,,,,,,,,DeNA,
57,東妻純平,6000000,,,,,,,,,,,,,,,,,,,,DeNA,1900033
60,知野直人,6200000,0.176,36.0,40.0,34.0,6.0,1.0,1.0,1.0,12.0,4.0,3.0,12.0,3.0,1.0,0.0,0.263,0.353,0.616,0.3,DeNA,1800048
61,蝦名達夫,8250000,0.167,31.0,21.0,18.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,7.0,3.0,0.0,0.0,0.286,0.167,0.452,0.333,DeNA,1900035
63,関根大気,10000000,0.226,103.0,139.0,124.0,28.0,6.0,0.0,1.0,37.0,17.0,4.0,27.0,9.0,1.0,2.0,0.284,0.298,0.582,0.194,DeNA,1300038
66,山下幸輝,10500000,0.2,46.0,52.0,50.0,10.0,1.0,0.0,0.0,11.0,3.0,4.0,7.0,2.0,0.0,0.0,0.231,0.22,0.451,0.135,DeNA,
99,ネフタリ・ソト,250000000,0.234,123.0,451.0,410.0,96.0,18.0,1.0,21.0,179.0,42.0,62.0,116.0,35.0,5.0,0.0,0.302,0.437,0.738,0.257,DeNA,
108,フランディー・デラロサ,2400000,,,,,,,,,,,,,,,,,,,,DeNA,
00,山本泰寛,18000000,0.186,69.0,51.0,43.0,8.0,3.0,0.0,0.0,11.0,8.0,3.0,10.0,6.0,1.0,2.0,0.294,0.256,0.55,0.196,阪神,1500050
0,木浪聖也,30000000,0.227,92.0,132.0,119.0,27.0,8.0,0.0,1.0,38.0,9.0,15.0,20.0,7.0,1.0,0.0,0.269,0.319,0.589,0.152,阪神,1800067
2,梅野隆太郎,110000000,0.225,130.0,458.0,404.0,91.0,15.0,3.0,3.0,121.0,33.0,33.0,107.0,41.0,5.0,8.0,0.303,0.3,0.603,0.234,阪神,1300073
3,大山悠輔,100000000,0.26,129.0,512.0,466.0,121.0,23.0,2.0,21.0,211.0,55.0,71.0,89.0,37.0,2.0,2.0,0.312,0.453,0.765,0.174,阪神,1600113
4,熊谷敬宥,10000000,0.0,73.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.167,阪神,1700079
5,近本光司,75000000,0.313,140.0,612.0,569.0,178.0,33.0,5.0,10.0,251.0,91.0,50.0,58.0,33.0,4.0,24.0,0.354,0.441,0.795,0.095,阪神,1800065
7,糸井嘉男,185000000,0.208,77.0,119.0,106.0,22.0,5.0,0.0,3.0,36.0,8.0,18.0,37.0,9.0,1.0,1.0,0.269,0.34,0.609,0.311,阪神,
8,佐藤輝明,16000000,0.238,126.0,455.0,425.0,101.0,25.0,0.0,24.0,198.0,56.0,64.0,173.0,25.0,3.0,6.0,0.284,0.466,0.749,0.38,阪神,2000051
9,高山俊,30000000,,,,,,,,,,,,,,,,,,,,阪神,1500086
12,坂本誠志郎,15000000,0.185,45.0,73.0,65.0,12.0,2.0,1.0,1.0,19.0,4.0,6.0,21.0,5.0,0.0,0.0,0.239,0.292,0.532,0.288,阪神,1500087
24,メル・ロハス・ジュニア,257500000,0.217,60.0,206.0,189.0,41.0,7.0,0.0,8.0,72.0,18.0,21.0,58.0,15.0,2.0,1.0,0.282,0.381,0.663,0.282,阪神,
25,江越大賀,13000000,0.0,31.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.333,阪神,
26,北條史也,22000000,0.2,33.0,57.0,50.0,10.0,2.0,0.0,1.0,15.0,6.0,6.0,11.0,4.0,1.0,0.0,0.273,0.3,0.573,0.193,阪神,
31,ジェフリー・マルテ,67000000,0.258,128.0,526.0,446.0,115.0,18.0,1.0,22.0,201.0,55.0,71.0,72.0,74.0,4.0,0.0,0.367,0.451,0.818,0.137,阪神,
32,井上広大,7200000,,,,,,,,,,,,,,,,,,,,阪神,1900045
33,糸原健斗,55000000,0.286,125.0,488.0,441.0,126.0,17.0,3.0,2.0,155.0,34.0,30.0,61.0,41.0,2.0,6.0,0.347,0.351,0.698,0.125,阪神,1600117
38,小幡竜平,11000000,0.261,43.0,25.0,23.0,6.0,1.0,1.0,0.0,9.0,5.0,0.0,7.0,2.0,0.0,3.0,0.32,0.391,0.711,0.28,阪神,1800066
39,榮枝裕貴,8000000,,,,,,,,,,,,,,,,,,,,阪神,2000054
45,遠藤成,5000000,,,,,,,,,,,,,,,,,,,,阪神,1900047
51,中野拓夢,8000000,0.273,135.0,525.0,466.0,127.0,15.0,4.0,1.0,153.0,45.0,36.0,81.0,29.0,6.0,30.0,0.321,0.328,0.649,0.154,阪神,2000056
52,ジェリー・サンズ,155000000,0.248,120.0,461.0,408.0,101.0,21.0,1.0,20.0,184.0,47.0,65.0,89.0,49.0,1.0,1.0,0.328,0.451,0.779,0.193,阪神,
53,島田海吏,9000000,0.243,57.0,78.0,70.0,17.0,3.0,0.0,0.0,20.0,7.0,9.0,13.0,5.0,0.0,8.0,0.293,0.286,0.579,0.167,阪神,1700080
55,陽川尚将,24000000,0.174,41.0,52.0,46.0,8.0,1.0,0.0,2.0,15.0,2.0,6.0,19.0,3.0,2.0,0.0,0.255,0.326,0.581,0.365,阪神,
57,長坂拳弥,7500000,,,,,,,,,,,,,,,,,,,,阪神,1600119
58,荒木郁也,8000000,,,,,,,,,,,,,,,,,,,,阪神,
59,藤田健斗,5000000,,,,,,,,,,,,,,,,,,,,阪神,1900048
60,中谷将大,25000000,,,,,,,,,,,,,,,,,,,,阪神,1000145
62,植田海,16500000,0.333,64.0,7.0,6.0,2.0,0.0,0.0,0.0,2.0,15.0,0.0,2.0,1.0,0.0,10.0,0.429,0.333,0.762,0.286,阪神,1400172
