player_jersey_number,player_name_jap,player_salary,pitching_ERA,total_games,pitching_W,pitching_L,pitching_IP,pitching_W%,pitching_CG,pitching_SHO,pitching_SV,pitching_H,pitching_SO,pitching_SO%,pitching_R,pitching_ER,pitching_H,pitching_HR,pitching_BB,pitching_HBP,pitching_BB%,Team,player_id
11,福井優也,31000000,8.4,3.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,13.0,7.8,14.0,14.0,18.0,5.0,5.0,0.0,3.0,広島,
12,九里亜蓮,38000000,4.26,24.0,8.0,4.0,,0.667,1.0,0.0,0.0,0.0,86.0,6.43,60.0,57.0,129.0,13.0,41.0,4.0,3.07,広島,1300058
13,加藤拓也,14500000,,,,,,,,,,,,,,,,,,,,広島,
14,大瀬良大地,63000000,2.62,27.0,15.0,7.0,182.0,0.682,2.0,0.0,0.0,0.0,159.0,7.86,65.0,53.0,143.0,22.0,41.0,4.0,2.03,広島,1300057
16,今村猛,95000000,5.17,43.0,3.0,2.0,,0.6,0.0,0.0,1.0,13.0,35.0,8.22,26.0,22.0,37.0,5.0,21.0,1.0,4.93,広島,
17,岡田明丈,42000000,5.09,26.0,8.0,7.0,138.0,0.533,0.0,0.0,0.0,1.0,114.0,7.43,84.0,78.0,137.0,13.0,62.0,4.0,4.04,広島,
19,野村祐輔,120000000,4.22,20.0,7.0,6.0,,0.538,0.0,0.0,0.0,0.0,60.0,4.53,62.0,56.0,136.0,10.0,30.0,2.0,2.26,広島,1100081
20,永川勝浩,20000000,4.82,22.0,2.0,0.0,,1.0,0.0,0.0,0.0,5.0,13.0,6.27,11.0,10.0,19.0,2.0,5.0,1.0,2.41,広島,20167
21,中崎翔太,115000000,2.71,68.0,4.0,2.0,,0.667,0.0,0.0,32.0,6.0,56.0,7.6,23.0,20.0,66.0,7.0,29.0,1.0,3.93,広島,1000116
23,薮田和樹,48000000,5.74,9.0,2.0,1.0,,0.667,0.0,0.0,0.0,0.0,18.0,6.08,22.0,17.0,28.0,4.0,32.0,1.0,10.8,広島,
24,横山弘樹,9500000,,,,,,,,,,,,,,,,,,,,広島,
