player_jersey_number,player_name_jap,player_salary,pitching_ERA,total_games,pitching_W,pitching_L,pitching_IP,pitching_W%,pitching_CG,pitching_SHO,pitching_SV,pitching_H,pitching_SO,pitching_SO%,pitching_R,pitching_ER,pitching_H,pitching_HR,pitching_BB,pitching_HBP,pitching_BB%,Team,player_id
11,九里亜蓮,140000000.0,3.33,26.0,6.0,9.0,,0.4,0.0,0.0,0.0,0.0,121.0,7.76,55.0,52.0,147.0,13.0,53.0,8.0,3.4,広島,1300058
12,大道温貴,15000000.0,6.75,3.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,9.0,9.0,16.0,5.0,3.0,1.0,2.25,広島,2000062
13,森浦大輔,22000000.0,3.3,51.0,3.0,6.0,,0.333,0.0,0.0,0.0,24.0,48.0,9.32,17.0,17.0,47.0,4.0,16.0,3.0,3.11,広島,2000061
14,大瀬良大地,180000000.0,4.72,23.0,8.0,9.0,,0.471,3.0,2.0,0.0,0.0,97.0,6.45,73.0,71.0,156.0,18.0,27.0,2.0,1.8,広島,1300057
16,森翔平,12000000.0,1.89,8.0,1.0,0.0,19.0,1.0,0.0,0.0,0.0,1.0,10.0,4.74,5.0,4.0,22.0,1.0,8.0,1.0,3.79,広島,2103788
17,岡田明丈,23000000.0,,,,,,,,,,,,,,,,,,,,広島,
18,森下暢仁,75000000.0,3.17,27.0,10.0,8.0,,0.556,3.0,2.0,0.0,0.0,133.0,6.7,67.0,63.0,195.0,13.0,44.0,8.0,2.22,広島,1900052
19,野村祐輔,72000000.0,5.23,9.0,2.0,3.0,,0.4,0.0,0.0,0.0,0.0,18.0,3.92,27.0,24.0,55.0,4.0,14.0,0.0,3.05,広島,1100081
20,栗林良吏,53000000.0,1.49,48.0,0.0,2.0,,0.0,0.0,0.0,31.0,6.0,59.0,10.99,8.0,8.0,22.0,0.0,15.0,2.0,2.79,広島,2000060
21,中崎翔太,66000000.0,6.46,28.0,2.0,5.0,,0.286,0.0,0.0,0.0,7.0,18.0,6.85,19.0,17.0,27.0,6.0,10.0,1.0,3.8,広島,1000116
23,薮田和樹,19000000.0,4.12,18.0,1.0,0.0,24.0,1.0,0.0,0.0,0.0,1.0,16.0,6.0,11.0,11.0,19.0,2.0,14.0,1.0,5.25,広島,
24,黒原拓未,15000000.0,6.52,12.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,11.0,10.24,7.0,7.0,11.0,0.0,4.0,1.0,3.72,広島,1750941
26,中田廉,18000000.0,,,,,,,,,,,,,,,,,,,,広島,
28,床田寛樹,33000000.0,2.84,17.0,8.0,6.0,114.0,0.571,1.0,1.0,0.0,0.0,74.0,5.84,36.0,36.0,87.0,10.0,28.0,4.0,2.21,広島,1600123
29,ケムナ誠,19000000.0,3.2,43.0,4.0,0.0,,1.0,0.0,0.0,0.0,14.0,37.0,8.47,21.0,14.0,37.0,1.0,18.0,3.0,4.12,広島,1700070
30,一岡竜司,42000000.0,2.08,10.0,1.0,0.0,,1.0,0.0,0.0,0.0,1.0,7.0,7.27,2.0,2.0,15.0,0.0,1.0,0.0,1.04,広島,
34,高橋昂也,12000000.0,,,,,,,,,,,,,,,,,,,,広島,1600122
36,塹江敦哉,21000000.0,3.12,26.0,3.0,2.0,,0.6,0.0,0.0,0.0,6.0,8.0,4.15,6.0,6.0,13.0,1.0,8.0,1.0,4.15,広島,1400175
39,菊池保則,29000000.0,5.62,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,6.0,6.75,5.0,5.0,10.0,2.0,4.0,1.0,4.5,広島,
41,矢崎拓也,8000000.0,1.82,47.0,2.0,0.0,,1.0,0.0,0.0,1.0,17.0,51.0,9.3,12.0,10.0,35.0,2.0,25.0,0.0,4.56,広島,
42,ドリュー・アンダーソン,77000000.0,3.6,13.0,3.0,4.0,70.0,0.429,0.0,0.0,0.0,0.0,59.0,7.59,32.0,28.0,61.0,9.0,23.0,3.0,2.96,広島,
43,島内颯太郎,24000000.0,3.79,22.0,0.0,3.0,19.0,0.0,0.0,0.0,0.0,7.0,20.0,9.47,13.0,8.0,21.0,2.0,11.0,1.0,5.21,広島,1800073
45,松本竜也,7700000.0,3.56,50.0,4.0,2.0,,0.667,0.0,0.0,0.0,4.0,54.0,8.73,23.0,22.0,58.0,5.0,15.0,3.0,2.43,広島,1651377
46,高橋樹也,12500000.0,,,,,,,,,,,,,,,,,,,,広島,
47,山口翔,6500000.0,,,,,,,,,,,,,,,,,,,,広島,
48,アドゥワ誠,12500000.0,,,,,,,,,,,,,,,,,,,,広島,1600125
53,小林樹斗,5000000.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,9.0,広島,2000063
57,田中法彦,5000000.0,,,,,,,,,,,,,,,,,,,,広島,
58,藤井黎來,5000000.0,3.86,12.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,15.0,9.64,6.0,6.0,10.0,1.0,9.0,1.0,5.79,広島,
65,玉村昇悟,12000000.0,3.92,9.0,2.0,2.0,,0.5,0.0,0.0,0.0,0.0,21.0,4.33,19.0,19.0,46.0,2.0,13.0,1.0,2.68,広島,1900057
66,遠藤淳志,20000000.0,3.59,20.0,4.0,7.0,,0.364,0.0,0.0,0.0,0.0,78.0,6.66,47.0,42.0,104.0,17.0,18.0,3.0,1.54,広島,1700072
67,中村祐太,13000000.0,,,,,,,,,,,,,,,,,,,,広島,1300061
68,ニック・ターリー,73000000.0,3.11,45.0,2.0,4.0,,0.333,0.0,0.0,0.0,14.0,32.0,7.65,14.0,13.0,26.0,7.0,16.0,2.0,3.82,広島,
97,ヘロニモ・フランスア,39800000.0,8.1,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,4.0,10.8,3.0,3.0,2.0,0.0,5.0,1.0,13.5,広島,
98,ロベルト・コルニエル,8700000.0,3.52,12.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,19.0,11.15,6.0,6.0,15.0,2.0,4.0,1.0,2.35,広島,
120,行木俊,4000000.0,,,,,,,,,,,,,,,,,,,,広島,
122,坂田怜,3000000.0,,,,,,,,,,,,,,,,,,,,広島,
125,戸田隆矢,4500000.0,,,,,,,,,,,,,,,,,,,,広島,
126,新家颯,2500000.0,,,,,,,,,,,,,,,,,,,,広島,
128,中村来生,2500000.0,,,,,,,,,,,,,,,,,,,,広島,
002,ダニエル・ミサキ,4400000.0,,,,,,,,,,,,,,,,,,,,巨人,
11,平内龍太,14500000.0,4.32,53.0,4.0,4.0,50.0,0.5,0.0,0.0,0.0,13.0,39.0,7.02,26.0,24.0,53.0,4.0,13.0,3.0,2.34,巨人,2000005
011,笠島尚樹,3700000.0,,,,,,,,,,,,,,,,,,,,巨人,2000014
12,ルビー・デラロサ,181500000.0,2.3,30.0,0.0,0.0,,0.0,0.0,0.0,1.0,11.0,24.0,7.9,9.0,7.0,18.0,2.0,10.0,2.0,3.29,巨人,
014,京本眞,3600000.0,,,,,,,,,,,,,,,,,,,,巨人,2100478
15,大勢,16000000.0,2.05,57.0,1.0,3.0,57.0,0.25,0.0,0.0,37.0,8.0,60.0,9.47,17.0,13.0,38.0,7.0,13.0,3.0,2.05,巨人,
015,川嵜陽仁,3600000.0,,,,,,,,,,,,,,,,,,,,巨人,
016,高田竜星,4000000.0,,,,,,,,,,,,,,,,,,,,巨人,
17,山口俊,60000000.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,巨人,
017,奈良木陸,3600000.0,,,,,,,,,,,,,,,,,,,,巨人,
18,菅野智之,600000000.0,3.12,23.0,10.0,7.0,147.0,0.588,0.0,0.0,0.0,0.0,104.0,6.37,52.0,51.0,138.0,15.0,26.0,6.0,1.59,巨人,
018,木下幹也,3700000.0,,,,,,,,,,,,,,,,,,,,巨人,2000015
19,山崎伊織,12000000.0,3.14,20.0,5.0,5.0,,0.5,0.0,0.0,0.0,1.0,55.0,5.09,37.0,34.0,95.0,6.0,20.0,9.0,1.85,巨人,2000006
20,戸郷翔征,40000000.0,2.62,25.0,12.0,8.0,,0.6,3.0,1.0,0.0,0.0,154.0,8.07,52.0,50.0,146.0,11.0,51.0,8.0,2.67,巨人,1800028
21,井納翔一,100000000.0,1.8,7.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,4.0,7.2,1.0,1.0,5.0,0.0,2.0,0.0,3.6,巨人,
26,今村信貴,30000000.0,3.57,55.0,2.0,4.0,53.0,0.333,0.0,0.0,0.0,21.0,34.0,5.77,24.0,21.0,45.0,3.0,22.0,4.0,3.74,巨人,
28,山田龍聖,12000000.0,,,,,,,,,,,,,,,,,,,,巨人,1750087
028,富田龍,4000000.0,,,,,,,,,,,,,,,,,,,,巨人,2103725
29,マット・アンドリース,227000000.0,4.82,5.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,18.0,8.68,11.0,10.0,28.0,3.0,4.0,1.0,1.93,巨人,
30,鍵谷陽平,75000000.0,3.71,21.0,2.0,0.0,17.0,1.0,0.0,0.0,0.0,3.0,9.0,4.76,8.0,7.0,21.0,4.0,5.0,0.0,2.65,巨人,
030,山崎友輔,4100000.0,,,,,,,,,,,,,,,,,,,,巨人,
31,赤星優志,10000000.0,4.04,31.0,5.0,5.0,78.0,0.5,0.0,0.0,0.0,5.0,52.0,6.0,50.0,35.0,81.0,8.0,32.0,4.0,3.69,巨人,2103689
33,太田龍,8800000.0,,,,,,,,,,,,,,,,,,,,巨人,
35,桜井俊貴,21600000.0,14.04,8.0,2.0,0.0,,1.0,0.0,0.0,0.0,0.0,9.0,9.72,13.0,13.0,13.0,3.0,6.0,2.0,6.48,巨人,
040,谷岡竜平,8350000.0,,,,,,,,,,,,,,,,,,,,巨人,
41,中川皓太,90000000.0,,,,,,,,,,,,,,,,,,,,巨人,1500052
42,C.C.メルセデス,49500000.0,3.18,20.0,5.0,7.0,,0.417,0.0,0.0,0.0,0.0,74.0,6.04,44.0,39.0,107.0,7.0,31.0,3.0,2.53,巨人,
45,畠世周,36300000.0,3.14,27.0,3.0,0.0,,1.0,0.0,0.0,1.0,5.0,22.0,6.91,11.0,10.0,22.0,3.0,14.0,0.0,4.4,巨人,1600060
46,鍬原拓也,10600000.0,5.16,49.0,3.0,2.0,,0.6,0.0,0.0,0.0,13.0,30.0,5.96,26.0,26.0,50.0,3.0,12.0,1.0,2.38,巨人,
046,與那原大剛,4100000.0,,,,,,,,,,,,,,,,,,,,巨人,
47,高橋優貴,36000000.0,5.4,10.0,1.0,5.0,,0.167,0.0,0.0,0.0,0.0,21.0,7.09,20.0,16.0,34.0,1.0,18.0,0.0,6.08,巨人,
047,鴨打瑛二,3600000.0,,,,,,,,,,,,,,,,,,,,巨人,
49,チアゴ・ビエイラ,143000000.0,9.82,9.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,8.0,9.82,9.0,8.0,9.0,3.0,8.0,1.0,9.82,巨人,
50,戸根千明,21000000.0,5.02,9.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,5.65,8.0,8.0,16.0,4.0,3.0,1.0,1.88,巨人,
051,阿部剣友,3700000.0,,,,,,,,,,,,,,,,,,,,巨人,
53,高梨雄平,78000000.0,2.14,59.0,2.0,0.0,,1.0,0.0,0.0,0.0,25.0,44.0,8.55,13.0,11.0,32.0,1.0,19.0,4.0,3.69,巨人,1600100
54,直江大輔,7600000.0,3.38,9.0,1.0,1.0,,0.5,0.0,0.0,0.0,0.0,16.0,7.71,9.0,7.0,12.0,2.0,8.0,3.0,3.86,巨人,
56,石田隼都,6000000.0,,,,,,,,,,,,,,,,,,,,巨人,1950832
056,伊藤優輔,9000000.0,,,,,,,,,,,,,,,,,,,,巨人,2000008
57,高木京介,20000000.0,2.79,17.0,0.0,1.0,,0.0,0.0,0.0,0.0,2.0,13.0,6.05,9.0,6.0,19.0,1.0,8.0,0.0,3.72,巨人,
58,山本一輝,6900000.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,4.5,巨人,
059,田中豊樹,19000000.0,,,,,,,,,,,,,,,,,,,,巨人,
62,横川凱,6500000.0,15.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,7.0,0.0,1.0,0.0,3.0,巨人,1800026
63,花田侑樹,5000000.0,,,,,,,,,,,,,,,,,,,,巨人,2050382
64,大江竜聖,28000000.0,1.69,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,5.0,8.44,2.0,1.0,5.0,1.0,3.0,1.0,5.06,巨人,1600064
65,イアン・クロール,35000000.0,3.86,21.0,1.0,1.0,21.0,0.5,0.0,0.0,1.0,5.0,15.0,6.43,10.0,9.0,17.0,1.0,10.0,1.0,4.29,巨人,
68,代木大和,5400000.0,,,,,,,,,,,,,,,,,,,,巨人,2050423
068,鈴木優,5000000.0,,,,,,,,,,,,,,,,,,,,巨人,
90,戸田懐生,5200000.0,6.55,14.0,1.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,15.0,6.14,17.0,16.0,33.0,6.0,6.0,1.0,2.45,巨人,
91,堀田賢慎,5800000.0,6.29,8.0,2.0,3.0,,0.4,0.0,0.0,0.0,0.0,24.0,6.29,24.0,24.0,38.0,5.0,16.0,1.0,4.19,巨人,1900016
092,沼田翔平,5200000.0,,,,,,,,,,,,,,,,,,,,巨人,1800031
095,堀岡隼人,6700000.0,,,,,,,,,,,,,,,,,,,,巨人,1600072
96,菊地大稀,4000000.0,5.6,16.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,21.0,10.7,13.0,11.0,16.0,2.0,13.0,1.0,6.62,巨人,2103705
