player_jersey_number,player_name_jap,player_salary,pitching_ERA,total_games,pitching_W,pitching_L,pitching_IP,pitching_W%,pitching_CG,pitching_SHO,pitching_SV,pitching_H,pitching_SO,pitching_SO%,pitching_R,pitching_ER,pitching_H,pitching_HR,pitching_BB,pitching_HBP,pitching_BB%,Team,player_id
12,九里亜蓮,72000000.0,2.96,20.0,8.0,6.0,,0.571,2.0,1.0,0.0,0.0,106.0,7.3,46.0,43.0,116.0,11.0,44.0,0.0,3.03,広島,1300058
13,矢崎拓也,10000000.0,9.39,6.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.0,11.74,9.0,8.0,11.0,3.0,5.0,1.0,5.87,広島,
14,大瀬良大地,175000000.0,4.41,11.0,5.0,4.0,,0.556,2.0,0.0,0.0,0.0,38.0,5.4,33.0,31.0,70.0,6.0,14.0,1.0,1.99,広島,1300057
16,今村猛,80000000.0,12.46,6.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,2.08,6.0,6.0,10.0,0.0,2.0,0.0,4.15,広島,
17,岡田明丈,44000000.0,,,,,,,,,,,,,,,,,,,,広島,
18,森下暢仁,16000000.0,1.91,18.0,10.0,3.0,,0.769,2.0,1.0,0.0,0.0,124.0,9.1,30.0,26.0,102.0,6.0,32.0,4.0,2.35,広島,1900052
19,野村祐輔,120000000.0,4.58,13.0,6.0,3.0,,0.667,0.0,0.0,0.0,0.0,35.0,4.46,36.0,36.0,81.0,9.0,22.0,3.0,2.8,広島,1100081
21,中崎翔太,145000000.0,9.0,6.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,5.4,5.0,5.0,8.0,3.0,3.0,0.0,5.4,広島,1000116
23,薮田和樹,28000000.0,4.6,28.0,1.0,2.0,47.0,0.333,0.0,0.0,0.0,2.0,33.0,6.32,25.0,24.0,44.0,5.0,31.0,0.0,5.94,広島,
26,中田廉,23000000.0,4.28,32.0,0.0,1.0,,0.0,0.0,0.0,0.0,4.0,22.0,7.24,13.0,13.0,28.0,6.0,8.0,0.0,2.63,広島,
28,床田寛樹,27000000.0,4.93,15.0,5.0,8.0,,0.385,0.0,0.0,0.0,0.0,56.0,6.57,51.0,42.0,101.0,10.0,23.0,0.0,2.7,広島,1600123
29,ケムナ誠,7500000.0,3.88,41.0,1.0,1.0,51.0,0.5,0.0,0.0,0.0,11.0,55.0,9.71,22.0,22.0,37.0,3.0,23.0,1.0,4.06,広島,1700070
30,一岡竜司,73000000.0,6.23,19.0,0.0,1.0,,0.0,0.0,0.0,1.0,2.0,14.0,7.27,12.0,12.0,25.0,2.0,5.0,1.0,2.6,広島,
34,高橋昂也,7500000.0,,,,,,,,,,,,,,,,,,,,広島,1600122
36,塹江敦哉,8500000.0,4.17,52.0,3.0,4.0,,0.429,0.0,0.0,0.0,19.0,41.0,7.43,26.0,23.0,50.0,7.0,31.0,1.0,5.62,広島,1400175
39,菊池保則,29000000.0,4.5,44.0,1.0,0.0,42.0,1.0,0.0,0.0,1.0,4.0,53.0,11.36,24.0,21.0,41.0,6.0,19.0,3.0,4.07,広島,
41,藤井皓哉,6500000.0,,,,,,,,,,,,,,,,,,,,広島,1400176
42,K.ジョンソン,270200000.0,6.1,10.0,0.0,7.0,,0.0,0.0,0.0,0.0,0.0,35.0,6.1,38.0,35.0,60.0,3.0,25.0,1.0,4.35,広島,
43,島内颯太郎,12000000.0,4.54,38.0,1.0,0.0,,1.0,0.0,0.0,0.0,4.0,48.0,11.47,23.0,19.0,29.0,1.0,28.0,1.0,6.69,広島,1800073
46,高橋樹也,7500000.0,8.2,18.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,15.0,7.23,18.0,17.0,31.0,3.0,8.0,1.0,3.86,広島,
47,山口翔,7500000.0,,,,,,,,,,,,,,,,,,,,広島,
48,アドゥワ誠,22000000.0,,,,,,,,,,,,,,,,,,,,広島,1600125
52,鈴木寛人,6000000.0,,,,,,,,,,,,,,,,,,,,広島,
