player_jersey_number,player_name_jap,player_salary,pitching_ERA,total_games,pitching_W,pitching_L,pitching_IP,pitching_W%,pitching_CG,pitching_SHO,pitching_SV,pitching_H,pitching_SO,pitching_SO%,pitching_R,pitching_ER,pitching_H,pitching_HR,pitching_BB,pitching_HBP,pitching_BB%,Team,player_id
11,九里亜蓮,87000000.0,3.81,25.0,13.0,9.0,149.0,0.591,2.0,0.0,0.0,0.0,102.0,6.16,73.0,63.0,150.0,18.0,51.0,8.0,3.08,広島,1300058
12,大道温貴,10000000.0,4.75,24.0,4.0,4.0,53.0,0.5,0.0,0.0,0.0,3.0,35.0,5.94,30.0,28.0,50.0,4.0,25.0,2.0,4.25,広島,2000062
13,森浦大輔,11000000.0,3.17,54.0,3.0,3.0,,0.5,0.0,0.0,0.0,17.0,41.0,7.63,18.0,17.0,39.0,3.0,21.0,4.0,3.91,広島,2000061
14,大瀬良大地,150000000.0,3.07,23.0,10.0,5.0,,0.667,1.0,1.0,0.0,0.0,102.0,6.26,57.0,50.0,136.0,12.0,31.0,5.0,1.9,広島,1300057
16,今村猛,60000000.0,,,,,,,,,,,,,,,,,,,,広島,
17,岡田明丈,33000000.0,,,,,,,,,,,,,,,,,,,,広島,
18,森下暢仁,43000000.0,2.98,24.0,8.0,7.0,,0.533,1.0,1.0,0.0,0.0,132.0,7.27,55.0,54.0,144.0,16.0,52.0,3.0,2.87,広島,1900052
19,野村祐輔,120000000.0,6.31,8.0,0.0,4.0,,0.0,0.0,0.0,0.0,0.0,29.0,7.32,25.0,25.0,48.0,6.0,17.0,2.0,4.29,広島,1100081
20,栗林良吏,16000000.0,0.86,53.0,0.0,1.0,,0.0,0.0,0.0,37.0,0.0,81.0,13.93,5.0,5.0,23.0,1.0,28.0,1.0,4.82,広島,2000060
21,中崎翔太,87000000.0,13.5,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.25,8.0,6.0,9.0,0.0,2.0,0.0,4.5,広島,1000116
23,薮田和樹,25000000.0,3.86,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,3.86,2.0,2.0,3.0,0.0,5.0,0.0,9.64,広島,
26,中田廉,23000000.0,4.74,23.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,6.0,16.0,7.58,14.0,10.0,20.0,3.0,12.0,1.0,5.68,広島,
