player_jersey_number,player_name_jap,player_salary,pitching_ERA,total_games,pitching_W,pitching_L,pitching_IP,pitching_W%,pitching_CG,pitching_SHO,pitching_SV,pitching_H,pitching_SO,pitching_SO%,pitching_R,pitching_ER,pitching_H,pitching_HR,pitching_BB,pitching_HBP,pitching_BB%,Team,player_id
11,九里亜蓮,140000000.0,2.53,26.0,8.0,8.0,,0.5,3.0,3.0,0.0,0.0,129.0,6.66,58.0,49.0,142.0,8.0,49.0,10.0,2.53,広島,1300058
12,大道温貴,13000000.0,2.72,48.0,3.0,1.0,,0.75,0.0,0.0,0.0,10.0,49.0,8.88,15.0,15.0,44.0,2.0,23.0,3.0,4.17,広島,2000062
13,森浦大輔,40000000.0,6.17,13.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,8.0,6.17,8.0,8.0,11.0,1.0,12.0,0.0,9.26,広島,2000061
14,大瀬良大地,180000000.0,3.61,23.0,6.0,11.0,,0.353,0.0,0.0,0.0,0.0,103.0,7.15,53.0,52.0,117.0,15.0,33.0,4.0,2.29,広島,1300057
16,森翔平,14000000.0,4.53,12.0,4.0,2.0,,0.667,0.0,0.0,0.0,0.0,38.0,6.62,29.0,26.0,58.0,7.0,10.0,1.0,1.74,広島,2103788
17,岡田明丈,17500000.0,,,,,,,,,,,,,,,,,,,,広島,
18,森下暢仁,110000000.0,3.01,20.0,9.0,6.0,,0.6,3.0,1.0,0.0,0.0,94.0,6.43,49.0,44.0,127.0,10.0,36.0,2.0,2.46,広島,1900052
19,野村祐輔,55000000.0,1.16,6.0,1.0,1.0,31.0,0.5,0.0,0.0,0.0,0.0,14.0,4.06,9.0,4.0,30.0,1.0,4.0,1.0,1.16,広島,1100081
20,栗林良吏,95000000.0,2.92,55.0,3.0,7.0,,0.3,0.0,0.0,18.0,15.0,51.0,8.77,18.0,17.0,42.0,4.0,19.0,1.0,3.27,広島,2000060
21,中崎翔太,53000000.0,2.73,35.0,1.0,0.0,33.0,1.0,0.0,0.0,0.0,7.0,24.0,6.55,13.0,10.0,25.0,1.0,6.0,2.0,1.64,広島,1000116
23,薮田和樹,16000000.0,9.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,4.5,4.0,4.0,5.0,1.0,3.0,2.0,6.75,広島,
24,黒原拓未,14000000.0,10.66,5.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,13.0,9.24,15.0,15.0,21.0,1.0,10.0,0.0,7.11,広島,1750941
26,益田武尚,11000000.0,1.64,8.0,1.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,12.0,9.82,2.0,2.0,8.0,1.0,3.0,0.0,2.45,広島,2105565
28,床田寛樹,50000000.0,2.19,24.0,11.0,7.0,156.0,0.611,2.0,2.0,0.0,0.0,86.0,4.96,46.0,38.0,144.0,13.0,28.0,5.0,1.62,広島,1600123
