player_jersey_number,player_name_jap,player_salary,bating_AVG,total_games,batting_PA,batting_AB,batting_H,batting_2B,batting_3B,batting_HR,batting_TB,batting_R,batting_RBI,batting_SO,batting_BB,batting_HBP,batting_SB,batting_OBP,batting_SLG,batting_OPS,batting_SO%,Team,player_id
00,曽根海成,8000000,0.25,33.0,17.0,16.0,4.0,1.0,0.0,0.0,5.0,13.0,1.0,5.0,1.0,0.0,5.0,0.294,0.312,0.607,0.294,広島,
0,上本崇司,9000000,0.212,56.0,62.0,52.0,11.0,2.0,0.0,0.0,13.0,8.0,4.0,4.0,5.0,2.0,2.0,0.305,0.25,0.555,0.065,広島,
1,鈴木誠也,280000000,0.3,118.0,514.0,430.0,129.0,26.0,2.0,25.0,234.0,85.0,75.0,73.0,72.0,9.0,6.0,0.409,0.544,0.953,0.142,広島,
2,田中広輔,150000000,0.251,112.0,454.0,378.0,95.0,11.0,5.0,8.0,140.0,51.0,39.0,86.0,55.0,5.0,8.0,0.351,0.37,0.721,0.189,広島,
4,小窪哲也,29000000,0.333,3.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.667,0.0,広島,800040
5,長野久義,170000000,0.285,95.0,299.0,267.0,76.0,17.0,1.0,10.0,125.0,30.0,42.0,61.0,29.0,1.0,1.0,0.355,0.468,0.823,0.204,広島,900397
6,安部友裕,43000000,0.184,26.0,44.0,38.0,7.0,3.0,0.0,0.0,10.0,6.0,2.0,17.0,4.0,0.0,0.0,0.262,0.263,0.525,0.386,広島,
7,堂林翔太,16000000,0.279,111.0,451.0,401.0,112.0,21.0,0.0,14.0,175.0,55.0,58.0,91.0,41.0,4.0,17.0,0.35,0.436,0.787,0.202,広島,900430
10,ピレラ,64900000,0.266,99.0,337.0,316.0,84.0,9.0,2.0,11.0,130.0,47.0,34.0,53.0,19.0,2.0,2.0,0.312,0.411,0.723,0.157,広島,
22,中村奨成,7000000,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,広島,1700068
27,會澤翼,180000000,0.266,79.0,263.0,229.0,61.0,13.0,0.0,7.0,95.0,25.0,36.0,51.0,22.0,11.0,2.0,0.359,0.415,0.774,0.194,広島,700050
31,石原慶幸,55000000,0.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,広島,12186
32,白濱裕太,6500000,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,広島,
33,菊池涼介,300000000,0.271,106.0,429.0,376.0,102.0,19.0,4.0,10.0,159.0,43.0,41.0,68.0,35.0,1.0,3.0,0.334,0.423,0.757,0.159,広島,1100082
35,三好匠,12000000,0.125,62.0,29.0,24.0,3.0,0.0,0.0,0.0,3.0,3.0,2.0,5.0,2.0,0.0,0.0,0.185,0.125,0.31,0.172,広島,1100129
37,野間峻祥,34000000,0.24,70.0,56.0,50.0,12.0,0.0,0.0,0.0,12.0,10.0,1.0,17.0,4.0,0.0,2.0,0.296,0.24,0.536,0.304,広島,1400173
38,宇草孔基,12000000,0.256,13.0,47.0,43.0,11.0,1.0,1.0,0.0,14.0,5.0,3.0,7.0,3.0,1.0,3.0,0.319,0.326,0.645,0.149,広島,
40,磯村嘉孝,18000000,0.208,31.0,55.0,48.0,10.0,3.0,0.0,1.0,16.0,4.0,1.0,8.0,4.0,0.0,0.0,0.269,0.333,0.603,0.145,広島,
44,林晃汰,6000000,0.125,4.0,8.0,8.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,0.125,0.25,0.375,0.625,広島,1800074
45,桑原樹,5500000,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,広島,
49,正隨優弥,7000000,0.143,7.0,8.0,7.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.25,0.571,0.821,0.125,広島,
50,高橋大樹,7500000,0.2,14.0,16.0,15.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,5.0,1.0,0.0,0.0,0.25,0.2,0.45,0.312,広島,
51,小園海斗,10000000,0.0,3.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,広島,1800072
54,韮澤雄也,5000000,,,,,,,,,,,,,,,,,,,,広島,
55,松山竜平,85000000,0.277,108.0,425.0,404.0,112.0,27.0,1.0,9.0,168.0,38.0,67.0,72.0,17.0,1.0,0.0,0.306,0.416,0.722,0.169,広島,800041
56,中神拓都,5000000,,,,,,,,,,,,,,,,,,,,広島,
59,大盛穂,5000000,0.259,73.0,148.0,135.0,35.0,5.0,3.0,2.0,52.0,21.0,16.0,50.0,11.0,1.0,5.0,0.318,0.385,0.703,0.338,広島,1800079
60,永井敦士,5000000,,,,,,,,,,,,,,,,,,,,広島,
61,坂倉将吾,8000000,0.287,81.0,228.0,209.0,60.0,15.0,1.0,3.0,86.0,24.0,26.0,36.0,17.0,2.0,1.0,0.346,0.411,0.758,0.158,広島,1600124
62,石原貴規,7000000,,,,,,,,,,,,,,,,,,,,広島,1900056
63,西川龍馬,68000000,0.304,76.0,328.0,296.0,90.0,18.0,0.0,6.0,126.0,36.0,32.0,52.0,28.0,2.0,6.0,0.368,0.426,0.794,0.159,広島,1500096
69,羽月隆太郎,5000000,0.182,17.0,40.0,33.0,6.0,1.0,1.0,0.0,9.0,3.0,4.0,7.0,2.0,0.0,0.0,0.229,0.273,0.501,0.175,広島,1800078
96,A.メヒア,13200000,0.188,37.0,85.0,80.0,15.0,2.0,0.0,2.0,23.0,4.0,4.0,21.0,5.0,0.0,1.0,0.235,0.287,0.523,0.247,広島,
123,持丸泰輝,2400000,,,,,,,,,,,,,,,,,,,,広島,1900058
124,木下元秀,2400000,,,,,,,,,,,,,,,,,,,,広島,
00,吉川大幾,16000000,0.1,30.0,12.0,10.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,0.182,0.1,0.282,0.167,巨人,1000139
0,増田大輝,15000000,0.297,74.0,48.0,37.0,11.0,2.0,0.0,0.0,13.0,30.0,2.0,12.0,11.0,0.0,23.0,0.458,0.351,0.81,0.25,巨人,1500054
001,比嘉賢伸,2700000,,,,,,,,,,,,,,,,,,,,巨人,
002,平間隼人,2400000,,,,,,,,,,,,,,,,,,,,巨人,
2,陽岱鋼,300000000,0.238,38.0,77.0,63.0,15.0,1.0,0.0,1.0,19.0,12.0,6.0,21.0,9.0,3.0,1.0,0.351,0.302,0.652,0.273,巨人,600037
004,笠井駿,3000000,,,,,,,,,,,,,,,,,,,,巨人,
005,広畑塁,2800000,,,,,,,,,,,,,,,,,,,,巨人,
