player_jersey_number,player_name_jap,player_salary,bating_AVG,total_games,batting_PA,batting_AB,batting_H,batting_2B,batting_3B,batting_HR,batting_TB,batting_R,batting_RBI,batting_SO,batting_BB,batting_HBP,batting_SB,batting_OBP,batting_SLG,batting_OPS,batting_SO%,Team,player_id
0,上本崇司,14000000.0,0.307,94.0,300.0,261.0,80.0,9.0,1.0,2.0,97.0,36.0,18.0,31.0,21.0,8.0,2.0,0.376,0.372,0.748,0.103,広島,
00,曽根海成,11500000.0,0.0,44.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.429,広島,
2,田中広輔,150000000.0,0.2,41.0,45.0,40.0,8.0,1.0,1.0,0.0,11.0,2.0,1.0,14.0,3.0,1.0,0.0,0.267,0.275,0.542,0.311,広島,
5,長野久義,120000000.0,0.211,58.0,134.0,123.0,26.0,5.0,0.0,3.0,40.0,11.0,15.0,34.0,10.0,0.0,2.0,0.269,0.325,0.594,0.254,広島,900397
6,安部友裕,27500000.0,,,,,,,,,,,,,,,,,,,,広島,
7,堂林翔太,36000000.0,0.243,101.0,274.0,255.0,62.0,16.0,0.0,8.0,102.0,25.0,28.0,82.0,11.0,2.0,1.0,0.279,0.4,0.679,0.299,広島,900430
9,秋山翔吾,150000000.0,0.265,44.0,174.0,155.0,41.0,6.0,1.0,5.0,64.0,19.0,26.0,34.0,11.0,6.0,0.0,0.333,0.413,0.746,0.195,広島,1000150
10,ライアン・マクブルーム,77000000.0,0.272,128.0,508.0,448.0,122.0,25.0,0.0,17.0,198.0,57.0,74.0,105.0,52.0,5.0,0.0,0.352,0.442,0.794,0.207,広島,
22,中村奨成,9000000.0,0.193,27.0,58.0,57.0,11.0,2.0,0.0,0.0,13.0,1.0,5.0,8.0,1.0,0.0,0.0,0.207,0.228,0.435,0.138,広島,1700068
27,會澤翼,10000000.0,0.207,98.0,325.0,290.0,60.0,10.0,0.0,3.0,79.0,18.0,33.0,49.0,23.0,6.0,0.0,0.276,0.272,0.548,0.151,広島,700050
31,坂倉将吾,50000000.0,0.288,143.0,599.0,539.0,155.0,18.0,3.0,16.0,227.0,73.0,68.0,81.0,46.0,10.0,2.0,0.352,0.421,0.773,0.135,広島,1600124
32,白濱裕太,27500000.0,0.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,広島,
33,菊池涼介,300000000.0,0.262,123.0,522.0,462.0,121.0,25.0,1.0,6.0,166.0,51.0,45.0,70.0,24.0,2.0,2.0,0.3,0.359,0.659,0.134,広島,1100082
35,三好匠,13500000.0,0.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,広島,1100129
37,野間峻祥,31000000.0,0.312,85.0,338.0,317.0,99.0,21.0,3.0,0.0,126.0,42.0,16.0,53.0,16.0,1.0,7.0,0.347,0.397,0.745,0.157,広島,1400173
38,宇草孔基,12000000.0,0.205,45.0,98.0,88.0,18.0,2.0,0.0,1.0,23.0,6.0,6.0,23.0,4.0,5.0,0.0,0.278,0.261,0.54,0.235,広島,
40,磯村嘉孝,14000000.0,0.237,43.0,126.0,114.0,27.0,5.0,0.0,3.0,41.0,18.0,15.0,20.0,7.0,2.0,0.0,0.293,0.36,0.652,0.159,広島,
44,林晃汰,15000000.0,,,,,,,,,,,,,,,,,,,,広島,1800074
49,正隨優弥,7500000.0,,,,,,,,,,,,,,,,,,,,広島,
50,中村健人,11000000.0,0.24,63.0,137.0,121.0,29.0,3.0,0.0,3.0,41.0,12.0,10.0,31.0,8.0,0.0,0.0,0.285,0.339,0.623,0.226,広島,
51,小園海斗,21000000.0,0.266,127.0,511.0,473.0,126.0,12.0,6.0,7.0,171.0,57.0,38.0,76.0,24.0,1.0,2.0,0.3,0.362,0.662,0.149,広島,1800072
52,末包昇大,10000000.0,0.299,31.0,80.0,77.0,23.0,3.0,1.0,2.0,34.0,9.0,14.0,20.0,1.0,0.0,0.0,0.3,0.442,0.742,0.25,広島,2103768
54,韮澤雄也,5000000.0,0.1,7.0,12.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.182,0.1,0.282,0.083,広島,
55,松山竜平,75000000.0,0.217,88.0,166.0,152.0,33.0,7.0,0.0,2.0,46.0,9.0,23.0,22.0,11.0,0.0,0.0,0.265,0.303,0.568,0.133,広島,800041
56,中神拓都,4500000.0,,,,,,,,,,,,,,,,,,,,広島,
59,大盛穂,11000000.0,0.203,52.0,76.0,69.0,14.0,2.0,2.0,1.0,23.0,8.0,3.0,17.0,6.0,1.0,0.0,0.276,0.333,0.61,0.224,広島,1800079
60,田村俊介,5000000.0,,,,,,,,,,,,,,,,,,,,広島,2103358
61,矢野雅哉,6000000.0,0.194,55.0,78.0,67.0,13.0,0.0,0.0,2.0,19.0,11.0,5.0,21.0,7.0,1.0,0.0,0.28,0.284,0.564,0.269,広島,2000065
62,石原貴規,12000000.0,0.154,9.0,16.0,13.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.214,0.154,0.368,0.188,広島,1900056
63,西川龍馬,76000000.0,0.315,97.0,424.0,390.0,123.0,19.0,3.0,10.0,178.0,60.0,53.0,74.0,30.0,2.0,2.0,0.366,0.456,0.822,0.175,広島,1500096
64,高木翔斗,4500000.0,,,,,,,,,,,,,,,,,,,,広島,2103076
69,羽月隆太郎,10000000.0,0.245,44.0,99.0,94.0,23.0,5.0,2.0,0.0,32.0,10.0,10.0,17.0,4.0,0.0,2.0,0.276,0.34,0.616,0.172,広島,1800078
95,持丸泰輝,3500000.0,0.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,広島,1900058
121,二俣翔一,3000000.0,,,,,,,,,,,,,,,,,,,,広島,2000066
124,木下元秀,3500000.0,,,,,,,,,,,,,,,,,,,,広島,
127,前川誠太,2500000.0,,,,,,,,,,,,,,,,,,,,広島,1950955
00,湯浅大,8000000.0,0.1,63.0,36.0,30.0,3.0,1.0,0.0,1.0,7.0,11.0,3.0,10.0,4.0,0.0,3.0,0.206,0.233,0.439,0.278,巨人,1700049
0,増田大輝,21000000.0,0.15,58.0,22.0,20.0,3.0,1.0,0.0,0.0,4.0,14.0,0.0,5.0,1.0,0.0,11.0,0.19,0.2,0.39,0.227,巨人,1500054
001,加藤廉,4100000.0,,,,,,,,,,,,,,,,,,,,巨人,
2,吉川尚輝,37000000.0,0.277,132.0,567.0,516.0,143.0,20.0,6.0,7.0,196.0,64.0,31.0,53.0,32.0,8.0,16.0,0.329,0.38,0.708,0.093,巨人,1600059
003,鈴木大和,4000000.0,,,,,,,,,,,,,,,,,,,,巨人,1650818
5,中島宏之,52000000.0,0.242,62.0,111.0,99.0,24.0,6.0,0.0,1.0,33.0,5.0,20.0,24.0,10.0,1.0,0.0,0.315,0.333,0.649,0.216,巨人,
006,坂本勇人,3700000.0,,,,,,,,,,,,,,,,,,,,巨人,700003
6,坂本勇人,600000000.0,0.286,83.0,352.0,304.0,87.0,14.0,0.0,5.0,116.0,35.0,33.0,65.0,45.0,1.0,2.0,0.378,0.382,0.759,0.185,巨人,700003
007,ホセ・デラクルーズ,2200000.0,,,,,,,,,,,,,,,,,,,,巨人,
8,丸佳浩,450000000.0,0.272,143.0,607.0,525.0,143.0,31.0,1.0,27.0,257.0,81.0,65.0,88.0,80.0,1.0,6.0,0.37,0.49,0.859,0.145,巨人,800043
9,松原聖弥,40000000.0,0.113,50.0,76.0,71.0,8.0,1.0,1.0,0.0,11.0,7.0,4.0,21.0,4.0,0.0,2.0,0.16,0.155,0.315,0.276,巨人,
009,笹原操希,3600000.0,,,,,,,,,,,,,,,,,,,,巨人,2100225
010,大津綾也,3600000.0,,,,,,,,,,,,,,,,,,,,巨人,
10,中田翔,150000000.0,0.269,109.0,375.0,338.0,91.0,8.0,0.0,24.0,171.0,39.0,68.0,72.0,27.0,4.0,0.0,0.327,0.506,0.833,0.192,巨人,
13,梶谷隆幸,200000000.0,,,,,,,,,,,,,,,,,,,,巨人,
013,フリアン・ティマ,2200000.0,,,,,,,,,,,,,,,,,,,,巨人,
021,黒田響生,2750000.0,,,,,,,,,,,,,,,,,,,,巨人,
22,小林誠司,100000000.0,0.148,60.0,91.0,88.0,13.0,5.0,0.0,0.0,18.0,4.0,5.0,20.0,1.0,0.0,0.0,0.157,0.205,0.362,0.22,巨人,1300027
022,亀田啓太,4000000.0,,,,,,,,,,,,,,,,,,,,巨人,1550940
23,グレゴリー・ポランコ,250000000.0,0.24,138.0,484.0,438.0,105.0,21.0,1.0,24.0,200.0,55.0,58.0,109.0,42.0,1.0,2.0,0.306,0.457,0.762,0.225,巨人,
24,大城卓三,55000000.0,0.266,115.0,393.0,346.0,92.0,11.0,1.0,13.0,144.0,24.0,43.0,77.0,36.0,2.0,1.0,0.339,0.416,0.755,0.196,巨人,1700044
024,前田研輝,4100000.0,,,,,,,,,,,,,,,,,,,,巨人,
25,岡本和真,300000000.0,0.252,140.0,589.0,520.0,131.0,21.0,1.0,30.0,244.0,63.0,82.0,94.0,58.0,9.0,1.0,0.336,0.469,0.805,0.16,巨人,
025,岡本大翔,3700000.0,,,,,,,,,,,,,,,,,,,,巨人,
27,岸田行倫,16000000.0,0.257,25.0,38.0,35.0,9.0,0.0,0.0,0.0,9.0,1.0,1.0,6.0,2.0,1.0,0.0,0.316,0.257,0.573,0.158,巨人,1700043
32,廣岡大志,19000000.0,0.18,28.0,60.0,50.0,9.0,3.0,1.0,0.0,14.0,5.0,4.0,16.0,7.0,1.0,0.0,0.293,0.28,0.573,0.267,巨人,1500041
36,石川慎吾,19000000.0,0.276,22.0,32.0,29.0,8.0,3.0,0.0,0.0,11.0,3.0,2.0,9.0,3.0,0.0,0.0,0.344,0.379,0.723,0.281,巨人,1100096
37,若林晃弘,28000000.0,0.2,43.0,91.0,80.0,16.0,3.0,0.0,0.0,19.0,3.0,8.0,24.0,7.0,0.0,0.0,0.261,0.237,0.499,0.264,巨人,1700047
38,岡田悠希,8000000.0,0.095,33.0,22.0,21.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,7.0,1.0,0.0,0.0,0.136,0.095,0.232,0.318,巨人,1651302
