player_jersey_number,player_name_jap,player_salary,pitching_ERA,total_games,pitching_W,pitching_L,pitching_IP,pitching_W%,pitching_CG,pitching_SHO,pitching_SV,pitching_H,pitching_SO,pitching_SO%,pitching_R,pitching_ER,pitching_H,pitching_HR,pitching_BB,pitching_HBP,pitching_BB%,Team,player_id
12,大道温貴,24000000.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,広島,2000062
13,森浦大輔,63000000.0,1.63,60.0,2.0,3.0,,0.4,0.0,0.0,12.0,25.0,60.0,9.76,10.0,10.0,44.0,3.0,15.0,4.0,2.44,広島,2000061
14,大瀬良大地,200000000.0,3.48,23.0,7.0,9.0,,0.438,0.0,0.0,0.0,0.0,88.0,5.88,57.0,52.0,131.0,11.0,38.0,2.0,2.54,広島,1300057
16,森翔平,20000000.0,3.55,23.0,7.0,8.0,132.0,0.467,1.0,1.0,0.0,0.0,101.0,6.89,54.0,52.0,129.0,14.0,32.0,4.0,2.18,広島,2103788
17,常廣羽也斗,16000000.0,7.96,7.0,2.0,4.0,26.0,0.333,0.0,0.0,0.0,0.0,21.0,7.27,28.0,23.0,37.0,2.0,4.0,4.0,1.38,広島,2110267
18,森下暢仁,165000000.0,2.48,22.0,6.0,14.0,,0.3,3.0,0.0,0.0,0.0,92.0,5.44,53.0,42.0,140.0,6.0,37.0,5.0,2.19,広島,1900052
19,床田寛樹,150000000.0,3.15,26.0,9.0,12.0,,0.429,6.0,3.0,0.0,0.0,102.0,5.36,64.0,60.0,158.0,13.0,42.0,1.0,2.21,広島,1600123
20,栗林良吏,160000000.0,2.24,55.0,1.0,1.0,,0.5,0.0,0.0,10.0,23.0,54.0,9.29,14.0,13.0,35.0,3.0,18.0,1.0,3.1,広島,2000060
21,中崎翔太,52000000.0,2.36,51.0,3.0,2.0,42.0,0.6,0.0,0.0,0.0,14.0,29.0,6.21,12.0,11.0,36.0,2.0,9.0,4.0,1.93,広島,1000116
22,高太一,12000000.0,2.58,8.0,3.0,2.0,,0.6,1.0,0.0,0.0,0.0,32.0,6.35,13.0,13.0,34.0,3.0,13.0,1.0,2.58,広島,1950429
24,黒原拓未,34000000.0,,,,,,,,,,,,,,,,,,,,広島,1750941
26,益田武尚,12000000.0,9.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,5.0,5.0,6.0,1.0,3.0,1.0,5.4,広島,2105565
28,佐藤柳之介,12000000.0,3.6,6.0,1.0,2.0,25.0,0.333,0.0,0.0,0.0,0.0,17.0,6.12,11.0,10.0,22.0,1.0,13.0,0.0,4.68,広島,2110136
29,ケムナ誠,21000000.0,,,,,,,,,,,,,,,,,,,,広島,1700070
30,滝田一希,10000000.0,2.16,7.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,7.0,7.56,2.0,2.0,3.0,0.0,5.0,0.0,5.4,広島,2110107
34,高橋昂也,7000000.0,2.57,24.0,2.0,1.0,35.0,0.667,0.0,0.0,0.0,1.0,26.0,6.69,13.0,10.0,31.0,2.0,9.0,2.0,2.31,広島,1600122
35,赤塚健利,7000000.0,,,,,,,,,,,,,,,,,,,,広島,
36,塹江敦哉,40000000.0,5.4,28.0,0.0,1.0,,0.0,0.0,0.0,1.0,8.0,28.0,11.63,13.0,13.0,26.0,2.0,8.0,3.0,3.32,広島,1400175
39,長谷部銀次,10000000.0,15.19,5.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,7.0,11.81,9.0,9.0,9.0,0.0,4.0,1.0,6.75,広島,1550974
41,鈴木健矢,27000000.0,1.89,24.0,2.0,0.0,,1.0,0.0,0.0,0.0,0.0,19.0,5.13,8.0,7.0,27.0,1.0,8.0,3.0,2.16,広島,1900073
42,ジョハン・ドミンゲス,77000000.0,3.71,6.0,1.0,1.0,,0.5,0.0,0.0,0.0,0.0,20.0,6.75,11.0,11.0,18.0,2.0,17.0,1.0,5.74,広島,
43,島内颯太郎,88000000.0,1.4,60.0,4.0,2.0,,0.667,0.0,0.0,1.0,29.0,57.0,8.9,11.0,9.0,30.0,1.0,21.0,1.0,3.28,広島,1800073
45,松本竜也,14000000.0,4.91,4.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,4.0,9.82,4.0,2.0,4.0,1.0,1.0,0.0,2.45,広島,1651377
46,河野佳,11000000.0,,,,,,,,,,,,,,,,,,,,広島,1851151
47,斉藤優汰,7000000.0,7.94,2.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,7.0,11.12,5.0,5.0,7.0,1.0,2.0,0.0,3.18,広島,2107847
48,アドゥワ誠,34000000.0,5.21,4.0,0.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,11.0,5.21,14.0,11.0,26.0,2.0,5.0,1.0,2.37,広島,1600125
53,岡本駿,10000000.0,2.88,41.0,1.0,1.0,,0.5,0.0,0.0,0.0,1.0,37.0,8.19,13.0,13.0,44.0,1.0,6.0,1.0,1.33,広島,2114807
65,玉村昇悟,26000000.0,3.87,17.0,6.0,8.0,,0.429,0.0,0.0,0.0,0.0,71.0,7.23,40.0,38.0,92.0,3.0,13.0,3.0,1.32,広島,1900057
66,遠藤淳志,19000000.0,5.79,7.0,1.0,2.0,14.0,0.333,0.0,0.0,0.0,0.0,15.0,9.64,10.0,9.0,19.0,2.0,6.0,0.0,3.86,広島,1700072
67,菊地ハルン,5000000.0,2.25,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.25,1.0,1.0,2.0,0.0,1.0,0.0,2.25,広島,2117693
68,テイラー・ハーン,113250000.0,3.35,55.0,1.0,2.0,51.0,0.333,0.0,0.0,8.0,21.0,54.0,9.53,20.0,19.0,54.0,3.0,17.0,3.0,3.0,広島,
70,日高暖己,4500000.0,,,,,,,,,,,,,,,,,,,,広島,2106726
98,辻大雅,3500000.0,1.12,16.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,21.0,11.81,2.0,2.0,12.0,2.0,3.0,0.0,1.69,広島,2106037
120,杉田健,3500000.0,,,,,,,,,,,,,,,,,,,,広島,2112142
123,小船翼,2500000.0,,,,,,,,,,,,,,,,,,,,広島,2114253
126,竹下海斗,2500000.0,,,,,,,,,,,,,,,,,,,,広島,2106569
128,杉原望来,3000000.0,,,,,,,,,,,,,,,,,,,,広島,2104180
129,小林樹斗,4500000.0,,,,,,,,,,,,,,,,,,,,広島,2000063
11,田中将大,160000000.0,5.0,10.0,3.0,4.0,45.0,0.429,0.0,0.0,0.0,0.0,29.0,5.8,30.0,25.0,53.0,4.0,21.0,1.0,4.2,巨人,700069
012,三浦克也,3900000.0,,,,,,,,,,,,,,,,,,,,巨人,
014,堀江正太郎,3600000.0,,,,,,,,,,,,,,,,,,,,巨人,2111182
15,大勢,90000000.0,2.11,62.0,8.0,4.0,,0.667,0.0,0.0,1.0,46.0,60.0,9.05,14.0,14.0,47.0,4.0,14.0,4.0,2.11,巨人,
015,鈴木圭晋,3600000.0,,,,,,,,,,,,,,,,,,,,巨人,2117727
016,千葉隆広,3800000.0,,,,,,,,,,,,,,,,,,,,巨人,2112123
17,西舘勇陽,28000000.0,4.22,15.0,2.0,3.0,,0.4,0.0,0.0,0.0,1.0,45.0,7.59,26.0,25.0,58.0,6.0,11.0,2.0,1.86,巨人,1850035
