player_jersey_number,player_name_jap,player_salary,bating_AVG,total_games,batting_PA,batting_AB,batting_H,batting_2B,batting_3B,batting_HR,batting_TB,batting_R,batting_RBI,batting_SO,batting_BB,batting_HBP,batting_SB,batting_OBP,batting_SLG,batting_OPS,batting_SO%,Team,player_id
00,曽根海成,13000000.0,0.143,39.0,15.0,14.0,2.0,1.0,0.0,0.0,3.0,6.0,0.0,3.0,1.0,0.0,1.0,0.2,0.214,0.414,0.2,広島,
0,上本崇司,29000000.0,0.259,84.0,276.0,247.0,64.0,7.0,1.0,1.0,76.0,20.0,17.0,46.0,12.0,9.0,8.0,0.317,0.308,0.625,0.167,広島,
2,田中広輔,30000000.0,0.228,111.0,253.0,224.0,51.0,10.0,0.0,6.0,79.0,28.0,28.0,48.0,25.0,1.0,2.0,0.308,0.353,0.661,0.19,広島,
5,西川龍馬,120000000.0,0.305,109.0,443.0,416.0,127.0,20.0,1.0,9.0,176.0,48.0,56.0,52.0,21.0,1.0,7.0,0.337,0.423,0.76,0.117,広島,1500096
7,堂林翔太,50000000.0,0.273,100.0,284.0,260.0,71.0,13.0,0.0,12.0,120.0,29.0,35.0,72.0,19.0,0.0,1.0,0.323,0.462,0.784,0.254,広島,900430
9,秋山翔吾,150000000.0,0.274,115.0,483.0,434.0,119.0,20.0,6.0,4.0,163.0,48.0,38.0,81.0,35.0,4.0,8.0,0.333,0.376,0.709,0.168,広島,1000150
10,ライアン・マクブルーム,190000000.0,0.221,70.0,259.0,226.0,50.0,12.0,0.0,6.0,80.0,21.0,31.0,56.0,28.0,1.0,1.0,0.305,0.354,0.659,0.216,広島,
22,中村奨成,8000000.0,0.15,18.0,20.0,20.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,7.0,0.0,0.0,0.0,0.15,0.15,0.3,0.35,広島,1700068
27,會澤翼,140000000.0,0.172,54.0,133.0,116.0,20.0,4.0,0.0,1.0,27.0,6.0,10.0,26.0,10.0,4.0,0.0,0.26,0.233,0.492,0.195,広島,700050
31,坂倉将吾,95000000.0,0.266,120.0,448.0,395.0,105.0,19.0,1.0,12.0,162.0,48.0,44.0,67.0,47.0,3.0,3.0,0.347,0.41,0.757,0.15,広島,1600124
32,石原貴規,10000000.0,,,,,,,,,,,,,,,,,,,,広島,1900056
33,菊池涼介,300000000.0,0.258,120.0,485.0,442.0,114.0,17.0,0.0,5.0,146.0,51.0,27.0,68.0,32.0,2.0,7.0,0.31,0.33,0.641,0.14,広島,1100082
35,三好匠,12000000.0,,,,,,,,,,,,,,,,,,,,広島,1100129
37,野間峻祥,50000000.0,0.286,108.0,418.0,371.0,106.0,11.0,1.0,0.0,119.0,37.0,26.0,51.0,33.0,5.0,5.0,0.351,0.321,0.672,0.122,広島,1400173
38,宇草孔基,12000000.0,,,,,,,,,,,,,,,,,,,,広島,
40,磯村嘉孝,21000000.0,0.207,25.0,32.0,29.0,6.0,1.0,0.0,1.0,10.0,2.0,4.0,10.0,1.0,1.0,0.0,0.258,0.345,0.603,0.312,広島,
44,林晃汰,12000000.0,0.207,20.0,62.0,58.0,12.0,4.0,0.0,1.0,19.0,5.0,5.0,20.0,3.0,1.0,0.0,0.258,0.328,0.586,0.323,広島,1800074
50,中村健人,16000000.0,,,,,,,,,,,,,,,,,,,,広島,
51,小園海斗,40000000.0,0.286,80.0,306.0,290.0,83.0,11.0,7.0,6.0,126.0,25.0,31.0,38.0,10.0,2.0,8.0,0.315,0.434,0.749,0.124,広島,1800072
52,末包昇大,13000000.0,0.273,65.0,146.0,139.0,38.0,6.0,0.0,11.0,77.0,16.0,27.0,40.0,6.0,1.0,0.0,0.308,0.554,0.862,0.274,広島,2103768
54,韮澤雄也,6000000.0,0.14,45.0,55.0,50.0,7.0,2.0,0.0,0.0,9.0,5.0,3.0,13.0,5.0,0.0,0.0,0.218,0.18,0.398,0.236,広島,
55,松山竜平,65000000.0,0.252,79.0,156.0,143.0,36.0,9.0,0.0,0.0,45.0,5.0,27.0,27.0,10.0,1.0,0.0,0.301,0.315,0.616,0.173,広島,800041
56,久保修,6000000.0,,,,,,,,,,,,,,,,,,,,広島,2107875
57,持丸泰輝,5500000.0,,,,,,,,,,,,,,,,,,,,広島,1900058
59,大盛穂,13000000.0,0.152,59.0,71.0,66.0,10.0,2.0,0.0,1.0,15.0,10.0,5.0,22.0,2.0,2.0,4.0,0.2,0.227,0.427,0.31,広島,1800079
60,田村俊介,5000000.0,0.364,10.0,22.0,22.0,8.0,2.0,0.0,0.0,10.0,3.0,0.0,6.0,0.0,0.0,0.0,0.364,0.455,0.818,0.273,広島,2103358
61,矢野雅哉,11000000.0,0.185,93.0,146.0,119.0,22.0,2.0,0.0,0.0,24.0,22.0,3.0,35.0,14.0,0.0,7.0,0.269,0.202,0.47,0.24,広島,2000065
62,清水叶人,5000000.0,,,,,,,,,,,,,,,,,,,,広島,2100102
63,内田湘大,6000000.0,,,,,,,,,,,,,,,,,,,,広島,2107865
64,高木翔斗,5000000.0,,,,,,,,,,,,,,,,,,,,広島,2103076
69,羽月隆太郎,14000000.0,0.149,50.0,53.0,47.0,7.0,1.0,0.0,0.0,8.0,10.0,4.0,12.0,4.0,0.0,14.0,0.216,0.17,0.386,0.226,広島,1800078
95,マット・デビッドソン,77000000.0,0.21,112.0,381.0,348.0,73.0,16.0,1.0,19.0,148.0,34.0,44.0,120.0,22.0,9.0,0.0,0.273,0.425,0.698,0.315,広島,
97,中村貴浩,3000000.0,0.176,15.0,37.0,34.0,6.0,1.0,0.0,0.0,7.0,3.0,3.0,10.0,1.0,1.0,1.0,0.216,0.206,0.422,0.27,広島,1650187
99,二俣翔一,5000000.0,,,,,,,,,,,,,,,,,,,,広島,2000066
121,名原典彦,3000000.0,,,,,,,,,,,,,,,,,,,,広島,1850405
124,木下元秀,3000000.0,,,,,,,,,,,,,,,,,,,,広島,
127,前川誠太,3000000.0,,,,,,,,,,,,,,,,,,,,広島,1950955
00,湯浅大,15000000.0,,,,,,,,,,,,,,,,,,,,巨人,1700049
0,増田大輝,23000000.0,0.3,33.0,13.0,10.0,3.0,1.0,0.0,0.0,4.0,4.0,1.0,3.0,1.0,0.0,4.0,0.364,0.4,0.764,0.231,巨人,1500054
001,加藤廉,4100000.0,,,,,,,,,,,,,,,,,,,,巨人,
2,吉川尚輝,70000000.0,0.256,132.0,478.0,430.0,110.0,19.0,4.0,7.0,158.0,47.0,36.0,66.0,26.0,8.0,4.0,0.308,0.367,0.676,0.138,巨人,1600059
002,中田歩夢,3600000.0,,,,,,,,,,,,,,,,,,,,巨人,2107864
003,鈴木大和,4100000.0,,,,,,,,,,,,,,,,,,,,巨人,1650818
5,中島宏之,50000000.0,0.278,8.0,19.0,18.0,5.0,0.0,0.0,0.0,5.0,1.0,0.0,5.0,1.0,0.0,0.0,0.316,0.278,0.594,0.263,巨人,
006,坂本勇人,3700000.0,,,,,,,,,,,,,,,,,,,,巨人,700003
6,坂本勇人,600000000.0,0.288,116.0,455.0,403.0,116.0,29.0,0.0,22.0,211.0,46.0,60.0,84.0,45.0,2.0,2.0,0.361,0.524,0.884,0.185,巨人,700003
007,J.デラクルーズ,2400000.0,,,,,,,,,,,,,,,,,,,,巨人,
7,長野久義,20000000.0,0.259,75.0,176.0,158.0,41.0,7.0,1.0,6.0,68.0,15.0,19.0,40.0,17.0,0.0,1.0,0.33,0.43,0.76,0.227,巨人,900397
008,相澤白虎,3600000.0,,,,,,,,,,,,,,,,,,,,巨人,2107881
8,丸佳浩,450000000.0,0.244,121.0,431.0,385.0,94.0,11.0,0.0,18.0,159.0,43.0,47.0,62.0,42.0,0.0,4.0,0.316,0.413,0.729,0.144,巨人,800043
009,笹原操希,3700000.0,,,,,,,,,,,,,,,,,,,,巨人,2100225
010,大津綾也,3700000.0,,,,,,,,,,,,,,,,,,,,巨人,
