player_jersey_number,player_name_jap,player_salary,pitching_ERA,total_games,pitching_W,pitching_L,pitching_IP,pitching_W%,pitching_CG,pitching_SHO,pitching_SV,pitching_H,pitching_SO,pitching_SO%,pitching_R,pitching_ER,pitching_H,pitching_HR,pitching_BB,pitching_HBP,pitching_BB%,Team,player_id
12,九里亜蓮,62000000,3.51,27.0,8.0,8.0,118.0,0.5,1.0,1.0,0.0,3.0,96.0,7.32,50.0,46.0,107.0,11.0,41.0,4.0,3.13,広島,1300058
13,矢崎拓也,12000000,5.62,5.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,11.0,12.38,5.0,5.0,10.0,2.0,6.0,0.0,6.75,広島,
14,大瀬良大地,145000000,3.53,26.0,11.0,9.0,,0.55,6.0,2.0,0.0,0.0,136.0,7.06,72.0,68.0,176.0,22.0,35.0,4.0,1.82,広島,1300057
16,今村猛,87000000,3.55,27.0,3.0,1.0,,0.75,0.0,0.0,1.0,4.0,17.0,6.04,10.0,10.0,18.0,2.0,9.0,1.0,3.2,広島,
17,岡田明丈,55000000,14.14,3.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,5.14,12.0,11.0,9.0,2.0,11.0,0.0,14.14,広島,
19,野村祐輔,120000000,4.06,18.0,6.0,5.0,,0.545,0.0,0.0,0.0,0.0,65.0,6.14,52.0,43.0,96.0,6.0,34.0,2.0,3.21,広島,1100081
20,永川勝浩,20000000,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,広島,20167
21,中崎翔太,160000000,4.08,36.0,3.0,3.0,,0.5,0.0,0.0,9.0,5.0,23.0,5.86,24.0,16.0,44.0,3.0,17.0,2.0,4.33,広島,1000116
23,薮田和樹,37000000,9.24,4.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,6.0,4.26,13.0,13.0,17.0,4.0,10.0,0.0,7.11,広島,
24,横山弘樹,8000000,,,,,,,,,,,,,,,,,,,,広島,
26,中田廉,27000000,9.53,8.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,4.0,6.35,11.0,6.0,8.0,1.0,6.0,1.0,9.53,広島,
28,床田寛樹,6500000,2.96,25.0,7.0,6.0,,0.538,1.0,0.0,0.0,0.0,101.0,6.51,54.0,46.0,131.0,17.0,48.0,5.0,3.09,広島,1600123
29,ケムナ誠,7000000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,9.0,広島,1700070
30,一岡竜司,77000000,2.9,33.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,16.0,18.0,5.23,11.0,10.0,29.0,1.0,10.0,2.0,2.9,広島,
34,高橋昂也,8000000,,,,,,,,,,,,,,,,,,,,広島,1600122
36,塹江敦哉,6500000,6.1,11.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,23.0,10.02,14.0,14.0,20.0,4.0,14.0,1.0,6.1,広島,1400175
39,飯田哲矢,9000000,,,,,,,,,,,,,,,,,,,,広島,
41,藤井皓哉,7500000,14.21,4.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,8.0,11.37,10.0,10.0,13.0,0.0,9.0,0.0,12.79,広島,1400176
42,K.ジョンソン,330000000,2.59,27.0,11.0,8.0,,0.579,1.0,1.0,0.0,0.0,132.0,7.58,50.0,45.0,132.0,12.0,58.0,4.0,3.33,広島,
43,島内颯太郎,10000000,4.4,25.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,33.0,10.36,15.0,14.0,19.0,1.0,19.0,2.0,5.97,広島,1800073
46,高橋樹也,9000000,,,,,,,,,,,,,,,,,,,,広島,
47,山口翔,6000000,4.85,9.0,1.0,3.0,26.0,0.25,0.0,0.0,0.0,0.0,21.0,7.27,14.0,14.0,25.0,3.0,13.0,3.0,4.5,広島,
48,アドゥワ誠,22000000,4.32,19.0,3.0,5.0,,0.375,1.0,0.0,0.0,0.0,52.0,5.11,52.0,44.0,101.0,14.0,27.0,4.0,2.65,広島,1600125
53,戸田隆矢,16000000,,,,,,,,,,,,,,,,,,,,広島,
57,田中法彦,4500000,,,,,,,,,,,,,,,,,,,,広島,
58,レグナルト,44000000,3.34,52.0,6.0,3.0,,0.667,0.0,0.0,0.0,15.0,67.0,10.16,25.0,22.0,53.0,7.0,34.0,3.0,5.16,広島,
59,菊池保則,11000000,2.8,58.0,1.0,3.0,61.0,0.25,0.0,0.0,0.0,15.0,43.0,6.34,21.0,19.0,39.0,4.0,23.0,0.0,3.39,広島,
62,ヘルウェグ,99000000,0.0,5.0,1.0,0.0,,1.0,0.0,0.0,0.0,1.0,2.0,4.91,0.0,0.0,2.0,0.0,1.0,0.0,2.45,広島,
64,中村恭平,7500000,2.64,43.0,0.0,1.0,,0.0,0.0,0.0,0.0,12.0,58.0,11.77,16.0,13.0,31.0,5.0,17.0,2.0,3.45,広島,
65,長井良太,5200000,,,,,,,,,,,,,,,,,,,,広島,
66,遠藤淳志,4800000,3.16,34.0,1.0,1.0,,0.5,0.0,0.0,1.0,6.0,38.0,8.02,19.0,15.0,36.0,1.0,25.0,1.0,5.27,広島,1700072
67,中村祐太,12000000,12.71,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,4.0,6.35,8.0,8.0,11.0,3.0,5.0,0.0,7.94,広島,1300061
68,平岡敬人,5000000,,,,,,,,,,,,,,,,,,,,広島,
70,ローレンス,57200000,10.8,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,5.4,6.0,6.0,4.0,1.0,4.0,0.0,7.2,広島,
97,フランスア,39800000,2.76,67.0,8.0,6.0,,0.571,0.0,0.0,12.0,18.0,94.0,11.8,29.0,22.0,55.0,8.0,32.0,7.0,4.02,広島,
98,モンティージャ,8600000,14.54,2.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,8.0,16.62,8.0,7.0,11.0,1.0,4.0,0.0,8.31,広島,
120,岡林飛翔,3000000,,,,,,,,,,,,,,,,,,,,広島,
121,藤井黎來,3000000,,,,,,,,,,,,,,,,,,,,広島,
122,佐々木健,3000000,,,,,,,,,,,,,,,,,,,,広島,2000068
003,山川和大,2800000,,,,,,,,,,,,,,,,,,,,巨人,
11,山口俊,230000000,2.91,26.0,15.0,4.0,170.0,0.789,0.0,0.0,0.0,0.0,188.0,9.95,60.0,55.0,137.0,8.0,60.0,13.0,3.18,巨人,
011,高井俊,2700000,,,,,,,,,,,,,,,,,,,,巨人,
12,高橋優貴,15000000,3.19,18.0,5.0,7.0,93.0,0.417,0.0,0.0,0.0,0.0,89.0,8.61,34.0,33.0,70.0,14.0,48.0,5.0,4.65,巨人,
012,平井快青,2400000,,,,,,,,,,,,,,,,,,,,巨人,
13,森福允彦,84000000,6.23,7.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,5.0,10.38,3.0,3.0,5.0,2.0,0.0,0.0,0.0,巨人,
013,堀岡隼人,2500000,6.23,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,4.15,3.0,3.0,5.0,1.0,3.0,0.0,6.23,巨人,1600072
15,澤村拓一,121500000,2.61,43.0,2.0,2.0,,0.5,0.0,0.0,1.0,13.0,55.0,10.24,14.0,14.0,40.0,3.0,17.0,3.0,3.17,巨人,
015,巽大介,5000000,,,,,,,,,,,,,,,,,,,,巨人,
016,沼田翔平,2400000,,,,,,,,,,,,,,,,,,,,巨人,1800031
17,大竹寛,26250000,2.77,32.0,4.0,0.0,26.0,1.0,0.0,0.0,0.0,8.0,24.0,8.31,9.0,8.0,26.0,2.0,8.0,0.0,2.77,巨人,12179
017,山上信吾,2600000,,,,,,,,,,,,,,,,,,,,巨人,
18,菅野智之,650000000,3.89,22.0,11.0,6.0,,0.647,3.0,1.0,0.0,0.0,120.0,7.92,65.0,59.0,138.0,20.0,32.0,3.0,2.11,巨人,
19,上原浩治,50000000,,,,,,,,,,,,,,,,,,,,巨人,
019,田中優大,3100000,,,,,,,,,,,,,,,,,,,,巨人,
