ID,Year,GameAssortment,Season,HomeTeam,VisitorTeam,Matchday,GameCD,League,Ranking,TeamCD,ShortName_Team,Game,Win,Lose,Draw,WinningPercentage,GameBehind,GameBehindTop,Run,PointLost,Homerun,StolenBase,BattingAverage,EarnedRunAverage,RestGame,Winner_Magic,POLastRanking,RankShiftF,UpdatedAt,CreatedAt,league
57994,2025,1,,,,20250328,,,1,1,巨人,1,1,0,0,1.00000,-,-,6,5,1,0,.395,2.70,142,-1,,0,2025-03-28T12:49:14.000Z,2025-03-28T12:49:14.000Z,pacific
57995,2025,1,,,,20250328,,,1,5,阪神,1,1,0,0,1.00000,-,-,4,0,1,0,.235,0.00,142,-1,,0,2025-03-28T12:49:14.000Z,2025-03-28T12:49:14.000Z,pacific
57996,2025,1,,,,20250328,,,1,3,DeNA,1,1,0,0,1.00000,-,-,5,0,0,1,.321,0.00,142,-1,,0,2025-03-28T12:49:14.000Z,2025-03-28T12:49:14.000Z,pacific
57997,2025,1,,,,20250328,,,4,6,広島,1,0,1,0,0.00000,1,1,0,4,0,0,.133,4.00,142,-1,,0,2025-03-28T12:49:14.000Z,2025-03-28T12:49:14.000Z,pacific
57998,2025,1,,,,20250328,,,4,2,ヤクルト,1,0,1,0,0.00000,0,1,5,6,1,0,.216,5.59,142,-1,,0,2025-03-28T12:49:14.000Z,2025-03-28T12:49:14.000Z,pacific
57999,2025,1,,,,20250328,,,4,4,中日,1,0,1,0,0.00000,0,1,0,5,0,0,.129,5.63,142,-1,,0,2025-03-28T12:49:14.000Z,2025-03-28T12:49:14.000Z,pacific
58018,2025,1,,,,20250329,,,1,1,巨人,2,2,0,0,1.00000,-,-,18,5,3,1,.375,1.42,141,-1,,0,2025-03-29T08:28:03.000Z,2025-03-29T08:28:03.000Z,pacific
58019,2025,1,,,,20250329,,,1,5,阪神,2,2,0,0,1.00000,-,-,7,2,2,0,.254,1.00,141,-1,,0,2025-03-29T08:28:03.000Z,2025-03-29T08:28:03.000Z,pacific
58020,2025,1,,,,20250329,,,3,3,DeNA,2,1,1,0,0.50000,1,1,5,1,0,1,.193,0.50,141,-1,,2,2025-03-29T08:28:03.000Z,2025-03-29T08:28:03.000Z,pacific
58021,2025,1,,,,20250329,,,3,4,中日,2,1,1,0,0.50000,0,1,1,5,0,1,.209,2.65,141,-1,,1,2025-03-29T08:28:03.000Z,2025-03-29T08:28:03.000Z,pacific
58022,2025,1,,,,20250329,,,5,6,広島,2,0,2,0,0.00000,1,2,2,7,0,0,.206,3.50,141,-1,,2,2025-03-29T08:28:03.000Z,2025-03-29T08:28:03.000Z,pacific
58023,2025,1,,,,20250329,,,5,2,ヤクルト,2,0,2,0,0.00000,0,2,5,18,1,0,.167,7.64,141,-1,,2,2025-03-29T08:28:03.000Z,2025-03-29T08:28:03.000Z,pacific
58066,2025,1,,,,20250330,,,1,1,巨人,3,3,0,0,1.00000,-,-,21,5,3,1,.342,0.96,140,-1,,0,2025-03-30T08:45:04.000Z,2025-03-30T08:45:04.000Z,pacific
58067,2025,1,,,,20250330,,,2,5,阪神,3,2,1,0,0.66666,1,1,7,4,2,0,.202,1.38,140,-1,,2,2025-03-30T08:45:04.000Z,2025-03-30T08:45:04.000Z,pacific
58068,2025,1,,,,20250330,,,2,3,DeNA,3,2,1,0,0.66666,0,1,7,2,2,1,.186,0.67,140,-1,,1,2025-03-30T08:45:04.000Z,2025-03-30T08:45:04.000Z,pacific
58069,2025,1,,,,20250330,,,4,6,広島,3,1,2,0,0.33333,1,2,4,7,0,0,.258,2.33,140,-1,,1,2025-03-30T08:45:04.000Z,2025-03-30T08:45:04.000Z,pacific
58070,2025,1,,,,20250330,,,4,4,中日,3,1,2,0,0.33333,0,2,2,7,0,1,.200,2.52,140,-1,,2,2025-03-30T08:45:04.000Z,2025-03-30T08:45:04.000Z,pacific
58071,2025,1,,,,20250330,,,6,2,ヤクルト,3,0,3,0,0.00000,1,3,5,21,1,0,.182,6.31,140,-1,,2,2025-03-30T08:45:04.000Z,2025-03-30T08:45:04.000Z,pacific
58084,2025,1,,,,20250401,,,1,1,巨人,4,3,1,0,0.75000,-,-,23,8,4,1,.324,1.50,139,-1,,0,2025-04-01T12:29:31.000Z,2025-04-01T12:29:31.000Z,pacific
58085,2025,1,,,,20250401,,,1,3,DeNA,4,3,1,0,0.75000,-,-,14,3,3,3,.220,0.75,139,-1,,1,2025-04-01T12:29:31.000Z,2025-04-01T12:29:31.000Z,pacific
58086,2025,1,,,,20250401,,,3,5,阪神,4,2,2,0,0.50000,1,1,8,11,2,2,.190,2.83,139,-1,,2,2025-04-01T12:29:31.000Z,2025-04-01T12:29:31.000Z,pacific
58087,2025,1,,,,20250401,,,3,4,中日,4,2,2,0,0.50000,0,1,5,9,0,1,.206,2.38,139,-1,,1,2025-04-01T12:29:31.000Z,2025-04-01T12:29:31.000Z,pacific
58088,2025,1,,,,20250401,,,5,6,広島,3,1,2,0,0.33333,0.5,1.5,4,7,0,0,.258,2.33,140,-1,,2,2025-04-01T12:29:31.000Z,2025-04-01T12:29:31.000Z,pacific
58089,2025,1,,,,20250401,,,6,2,ヤクルト,3,0,3,0,0.00000,1,2.5,5,21,1,0,.182,6.31,140,-1,,0,2025-04-01T12:29:31.000Z,2025-04-01T12:29:31.000Z,pacific
58114,2025,1,,,,20250402,,,1,1,巨人,5,4,1,0,0.80000,-,-,25,8,4,3,.306,1.20,138,-1,,0,2025-04-02T13:32:53.000Z,2025-04-02T13:32:53.000Z,pacific
58115,2025,1,,,,20250402,,,2,3,DeNA,5,3,1,1,0.75000,0.5,0.5,20,9,3,4,.244,1.69,138,-1,,2,2025-04-02T13:32:53.000Z,2025-04-02T13:32:53.000Z,pacific
58116,2025,1,,,,20250402,,,3,5,阪神,5,2,2,1,0.50000,1,1.5,14,17,2,3,.206,3.26,138,-1,,0,2025-04-02T13:32:53.000Z,2025-04-02T13:32:53.000Z,pacific
58117,2025,1,,,,20250402,,,4,4,中日,5,2,3,0,0.40000,0.5,2,5,11,0,1,.197,2.30,138,-1,,2,2025-04-02T13:32:53.000Z,2025-04-02T13:32:53.000Z,pacific
58118,2025,1,,,,20250402,,,5,6,広島,4,1,3,0,0.25000,0.5,2.5,8,12,2,0,.242,2.97,139,-1,,0,2025-04-02T13:32:53.000Z,2025-04-02T13:32:53.000Z,pacific
58119,2025,1,,,,20250402,,,5,2,ヤクルト,4,1,3,0,0.25000,0,2.5,10,25,1,0,.206,5.55,139,-1,,1,2025-04-02T13:32:53.000Z,2025-04-02T13:32:53.000Z,pacific
58144,2025,1,,,,20250403,,,1,1,巨人,6,5,1,0,0.83333,-,-,30,11,4,4,.322,1.50,137,-1,,0,2025-04-03T12:48:25.000Z,2025-04-03T12:48:25.000Z,pacific
58145,2025,1,,,,20250403,,,2,3,DeNA,6,4,1,1,0.80000,0.5,0.5,25,11,3,4,.240,1.74,137,-1,,0,2025-04-03T12:48:25.000Z,2025-04-03T12:48:25.000Z,pacific
58146,2025,1,,,,20250403,,,3,5,阪神,6,2,3,1,0.40000,2,2.5,16,22,3,4,.205,3.54,137,-1,,0,2025-04-03T12:48:25.000Z,2025-04-03T12:48:25.000Z,pacific
58147,2025,1,,,,20250403,,,3,2,ヤクルト,5,2,3,0,0.40000,0,2.5,13,25,1,0,.211,4.43,138,-1,,1,2025-04-03T12:48:25.000Z,2025-04-03T12:48:25.000Z,pacific
58148,2025,1,,,,20250403,,,5,4,中日,6,2,4,0,0.33333,0.5,3,8,16,0,2,.215,2.42,137,-1,,2,2025-04-03T12:48:25.000Z,2025-04-03T12:48:25.000Z,pacific
58149,2025,1,,,,20250403,,,6,6,広島,5,1,4,0,0.20000,0.5,3.5,8,15,2,0,.210,3.05,138,-1,,2,2025-04-03T12:48:25.000Z,2025-04-03T12:48:25.000Z,pacific
58174,2025,1,,,,20250404,,,1,1,巨人,7,5,2,0,0.71428,-,-,32,18,4,4,.303,2.29,136,-1,,0,2025-04-04T13:30:07.000Z,2025-04-04T13:30:07.000Z,pacific
58175,2025,1,,,,20250404,,,2,3,DeNA,7,4,2,1,0.66666,0.5,0.5,27,19,4,4,.229,2.63,136,-1,,0,2025-04-04T13:30:07.000Z,2025-04-04T13:30:07.000Z,pacific
58176,2025,1,,,,20250404,,,3,5,阪神,7,3,3,1,0.50000,1,1.5,23,24,3,6,.228,3.32,136,-1,,0,2025-04-04T13:30:07.000Z,2025-04-04T13:30:07.000Z,pacific
58177,2025,1,,,,20250404,,,4,2,ヤクルト,6,2,3,1,0.40000,0.5,2,14,26,1,1,.190,3.65,137,-1,,2,2025-04-04T13:30:07.000Z,2025-04-04T13:30:07.000Z,pacific
58178,2025,1,,,,20250404,,,5,6,広島,6,2,4,0,0.33333,0.5,2.5,16,17,2,0,.234,2.53,137,-1,,1,2025-04-04T13:30:07.000Z,2025-04-04T13:30:07.000Z,pacific
58179,2025,1,,,,20250404,,,5,4,中日,7,2,4,1,0.33333,0,2.5,9,17,0,2,.207,1.97,136,-1,,0,2025-04-04T13:30:07.000Z,2025-04-04T13:30:07.000Z,pacific
58216,2025,1,,,,20250405,,,1,1,巨人,8,5,3,0,0.62500,-,-,35,22,5,4,.291,2.50,135,-1,,0,2025-04-05T09:03:21.000Z,2025-04-05T09:03:21.000Z,pacific
58217,2025,1,,,,20250405,,,2,5,阪神,8,4,3,1,0.57142,0.5,0.5,27,27,6,7,.226,3.28,135,-1,,1,2025-04-05T09:03:21.000Z,2025-04-05T09:03:21.000Z,pacific
58218,2025,1,,,,20250405,,,2,3,DeNA,8,4,3,1,0.57142,0,0.5,34,27,4,4,.234,2.76,135,-1,,0,2025-04-05T09:03:21.000Z,2025-04-05T09:03:21.000Z,pacific
