ID,Year,GameAssortment,Season,HomeTeam,VisitorTeam,Matchday,GameCD,League,Ranking,TeamCD,ShortName_Team,Game,Win,Lose,Draw,WinningPercentage,GameBehind,GameBehindTop,Run,PointLost,Homerun,StolenBase,BattingAverage,EarnedRunAverage,RestGame,Winner_Magic,POLastRanking,RankShiftF,UpdatedAt,CreatedAt,league
41589,2023,1,,,,20230330,,,,,,,,,,,,,,,,,,,,,,,2023-03-30T12:57:02.000Z,2023-03-30T12:57:02.000Z,pacific
41614,2023,1,,,,20230331,,,1,2,ヤクルト,1,1,0,0,1.00000,-,-,4,0,2,4,.258,0.00,142,-1,,0,2023-03-31T12:53:41.000Z,2023-03-31T12:53:41.000Z,pacific
41615,2023,1,,,,20230331,,,1,5,阪神,1,1,0,0,1.00000,-,-,6,3,0,2,.310,3.00,142,-1,,0,2023-03-31T12:53:41.000Z,2023-03-31T12:53:41.000Z,pacific
41616,2023,1,,,,20230331,,,1,4,中日,1,1,0,0,1.00000,-,-,6,3,0,1,.324,3.00,142,-1,,0,2023-03-31T12:53:41.000Z,2023-03-31T12:53:41.000Z,pacific
41617,2023,1,,,,20230331,,,4,3,DeNA,1,0,1,0,0.00000,1,1,3,6,0,0,.182,4.50,142,-1,,0,2023-03-31T12:53:41.000Z,2023-03-31T12:53:41.000Z,pacific
41618,2023,1,,,,20230331,,,4,1,巨人,1,0,1,0,0.00000,0,1,3,6,1,0,.161,4.00,142,-1,,0,2023-03-31T12:53:41.000Z,2023-03-31T12:53:41.000Z,pacific
41619,2023,1,,,,20230331,,,4,6,広島,1,0,1,0,0.00000,0,1,0,4,0,0,.111,4.50,142,-1,,0,2023-03-31T12:53:41.000Z,2023-03-31T12:53:41.000Z,pacific
41650,2023,1,,,,20230401,,,1,2,ヤクルト,2,2,0,0,1.00000,-,-,5,0,3,4,.220,0.00,141,-1,,0,2023-04-01T09:32:07.000Z,2023-04-01T09:32:07.000Z,pacific
41651,2023,1,,,,20230401,,,1,5,阪神,2,2,0,0,1.00000,-,-,12,8,0,4,.319,3.43,141,-1,,0,2023-04-01T09:32:07.000Z,2023-04-01T09:32:07.000Z,pacific
41652,2023,1,,,,20230401,,,3,1,巨人,2,1,1,0,0.50000,1,1,5,6,2,0,.169,2.00,141,-1,,1,2023-04-01T09:32:07.000Z,2023-04-01T09:32:07.000Z,pacific
41653,2023,1,,,,20230401,,,3,4,中日,2,1,1,0,0.50000,0,1,6,5,0,1,.250,2.65,141,-1,,2,2023-04-01T09:32:07.000Z,2023-04-01T09:32:07.000Z,pacific
41654,2023,1,,,,20230401,,,5,3,DeNA,2,0,2,0,0.00000,1,2,8,12,1,0,.218,4.58,141,-1,,2,2023-04-01T09:32:07.000Z,2023-04-01T09:32:07.000Z,pacific
41655,2023,1,,,,20230401,,,5,6,広島,2,0,2,0,0.00000,0,2,0,5,0,1,.123,2.81,141,-1,,2,2023-04-01T09:32:07.000Z,2023-04-01T09:32:07.000Z,pacific
41686,2023,1,,,,20230402,,,1,2,ヤクルト,3,3,0,0,1.00000,-,-,8,2,4,5,.202,0.67,140,-1,,0,2023-04-02T08:19:24.000Z,2023-04-02T08:19:24.000Z,pacific
41687,2023,1,,,,20230402,,,1,5,阪神,3,3,0,0,1.00000,-,-,18,10,1,5,.324,3.00,140,-1,,0,2023-04-02T08:19:24.000Z,2023-04-02T08:19:24.000Z,pacific
