ID,Year,GameAssortment,Season,HomeTeam,VisitorTeam,Matchday,GameCD,League,Ranking,TeamCD,ShortName_Team,Game,Win,Lose,Draw,WinningPercentage,GameBehind,GameBehindTop,Run,PointLost,Homerun,StolenBase,BattingAverage,EarnedRunAverage,RestGame,Winner_Magic,POLastRanking,RankShiftF,UpdatedAt,CreatedAt,league
175,2018,1,,,,20180330,,,1,6,広島,1,1,0,0,1.00000,-,-,6,3,1,0,.313,3.00,142,-1,,0,2018-09-20T02:52:15.000Z,2018-09-20T02:52:15.000Z,pacific
176,2018,1,,,,20180330,,,1,5,阪神,1,1,0,0,1.00000,-,-,5,1,2,0,.333,1.00,142,-1,,0,2018-09-20T02:52:15.000Z,2018-09-20T02:52:15.000Z,pacific
177,2018,1,,,,20180330,,,1,2,ヤクルト,1,1,0,0,1.00000,-,-,7,3,1,1,.278,3.00,142,-1,,0,2018-09-20T02:52:15.000Z,2018-09-20T02:52:15.000Z,pacific
178,2018,1,,,,20180330,,,4,3,ＤｅＮＡ,1,0,1,0,0.00000,1,1,3,7,2,0,.206,4.00,142,-1,,0,2018-09-20T02:52:15.000Z,2018-09-20T02:52:15.000Z,pacific
179,2018,1,,,,20180330,,,4,1,巨人,1,0,1,0,0.00000,0,1,1,5,0,0,.235,5.00,142,-1,,0,2018-09-20T02:52:15.000Z,2018-09-20T02:52:15.000Z,pacific
180,2018,1,,,,20180330,,,4,4,中日,1,0,1,0,0.00000,0,1,3,6,0,1,.194,6.75,142,-1,,0,2018-09-20T02:52:15.000Z,2018-09-20T02:52:15.000Z,pacific
283,2018,1,,,,20180331,,,1,6,広島,2,2,0,0,1.00000,-,-,12,5,2,0,.328,2.50,141,-1,,0,2018-09-20T02:52:17.000Z,2018-09-20T02:52:17.000Z,pacific
284,2018,1,,,,20180331,,,1,2,ヤクルト,2,2,0,0,1.00000,-,-,12,6,1,3,.261,3.00,141,-1,,0,2018-09-20T02:52:17.000Z,2018-09-20T02:52:17.000Z,pacific
285,2018,1,,,,20180331,,,3,5,阪神,2,1,1,0,0.50000,1,1,9,9,3,0,.338,4.76,141,-1,,2,2018-09-20T02:52:17.000Z,2018-09-20T02:52:17.000Z,pacific
286,2018,1,,,,20180331,,,3,1,巨人,2,1,1,0,0.50000,0,1,9,9,1,0,.284,4.50,141,-1,,1,2018-09-20T02:52:17.000Z,2018-09-20T02:52:17.000Z,pacific
287,2018,1,,,,20180331,,,5,3,ＤｅＮＡ,2,0,2,0,0.00000,1,2,6,12,3,0,.206,4.50,141,-1,,2,2018-09-20T02:52:17.000Z,2018-09-20T02:52:17.000Z,pacific
288,2018,1,,,,20180331,,,5,4,中日,2,0,2,0,0.00000,0,2,5,12,2,4,.212,6.19,141,-1,,2,2018-09-20T02:52:17.000Z,2018-09-20T02:52:17.000Z,pacific
355,2018,1,,,,20180401,,,1,6,広島,3,3,0,0,1.00000,-,-,20,8,5,0,.333,2.67,140,-1,,0,2018-09-20T02:52:19.000Z,2018-09-20T02:52:19.000Z,pacific
356,2018,1,,,,20180401,,,2,1,巨人,3,2,1,0,0.66666,1,1,12,11,2,0,.250,3.67,140,-1,,1,2018-09-20T02:52:19.000Z,2018-09-20T02:52:19.000Z,pacific
357,2018,1,,,,20180401,,,2,2,ヤクルト,3,2,1,0,0.66666,0,1,13,9,1,3,.248,3.12,140,-1,,2,2018-09-20T02:52:19.000Z,2018-09-20T02:52:19.000Z,pacific
358,2018,1,,,,20180401,,,4,5,阪神,3,1,2,0,0.33333,1,2,11,12,5,0,.286,4.32,140,-1,,2,2018-09-20T02:52:19.000Z,2018-09-20T02:52:19.000Z,pacific
359,2018,1,,,,20180401,,,4,3,ＤｅＮＡ,3,1,2,0,0.33333,0,2,9,13,3,2,.208,3.33,140,-1,,1,2018-09-20T02:52:19.000Z,2018-09-20T02:52:19.000Z,pacific
360,2018,1,,,,20180401,,,6,4,中日,3,0,3,0,0.00000,1,3,8,20,5,4,.204,7.13,140,-1,,2,2018-09-20T02:52:19.000Z,2018-09-20T02:52:19.000Z,pacific
391,2018,1,,,,20180403,,,1,6,広島,4,4,0,0,1.00000,-,-,26,11,5,3,.303,2.50,139,-1,,0,2018-09-20T02:52:20.000Z,2018-09-20T02:52:20.000Z,pacific
392,2018,1,,,,20180403,,,2,1,巨人,4,3,1,0,0.75000,1,1,22,14,2,0,.307,3.50,139,-1,,0,2018-09-20T02:52:20.000Z,2018-09-20T02:52:20.000Z,pacific
393,2018,1,,,,20180403,,,3,2,ヤクルト,4,2,2,0,0.50000,1,2,16,15,2,4,.218,2.83,139,-1,,2,2018-09-20T02:52:20.000Z,2018-09-20T02:52:20.000Z,pacific
394,2018,1,,,,20180403,,,4,5,阪神,3,1,2,0,0.33333,0.5,2.5,11,12,5,0,.286,4.32,140,-1,,0,2018-09-20T02:52:20.000Z,2018-09-20T02:52:20.000Z,pacific
395,2018,1,,,,20180403,,,4,3,ＤｅＮＡ,3,1,2,0,0.33333,0,2.5,9,13,3,2,.208,3.33,140,-1,,0,2018-09-20T02:52:20.000Z,2018-09-20T02:52:20.000Z,pacific
396,2018,1,,,,20180403,,,6,4,中日,4,0,4,0,0.00000,1.5,4,11,30,5,4,.206,7.91,139,-1,,0,2018-09-20T02:52:20.000Z,2018-09-20T02:52:20.000Z,pacific
463,2018,1,,,,20180404,,,1,6,広島,5,4,1,0,0.80000,-,-,31,19,8,3,.266,3.68,138,-1,,0,2018-09-20T02:52:21.000Z,2018-09-20T02:52:21.000Z,pacific
464,2018,1,,,,20180404,,,2,1,巨人,5,3,2,0,0.60000,1,1,23,18,2,1,.268,3.68,138,-1,,0,2018-09-20T02:52:21.000Z,2018-09-20T02:52:21.000Z,pacific
465,2018,1,,,,20180404,,,2,2,ヤクルト,5,3,2,0,0.60000,0,1,24,20,3,4,.251,3.27,138,-1,,1,2018-09-20T02:52:21.000Z,2018-09-20T02:52:21.000Z,pacific
466,2018,1,,,,20180404,,,4,5,阪神,4,2,2,0,0.50000,0.5,1.5,13,13,5,0,.275,3.44,139,-1,,0,2018-09-20T02:52:21.000Z,2018-09-20T02:52:21.000Z,pacific
467,2018,1,,,,20180404,,,5,3,ＤｅＮＡ,4,1,3,0,0.25000,1,2.5,10,15,3,5,.189,3.00,139,-1,,2,2018-09-20T02:52:21.000Z,2018-09-20T02:52:21.000Z,pacific
468,2018,1,,,,20180404,,,6,4,中日,5,1,4,0,0.20000,0.5,3,15,31,5,4,.226,6.43,138,-1,,0,2018-09-20T02:52:21.000Z,2018-09-20T02:52:21.000Z,pacific
535,2018,1,,,,20180405,,,1,6,広島,6,5,1,0,0.83333,-,-,36,23,10,4,.280,3.74,137,-1,,0,2018-09-20T02:52:23.000Z,2018-09-20T02:52:23.000Z,pacific
536,2018,1,,,,20180405,,,2,1,巨人,6,4,2,0,0.66666,1,1,26,20,2,5,.263,3.40,137,-1,,0,2018-09-20T02:52:23.000Z,2018-09-20T02:52:23.000Z,pacific
