ID,Year,GameAssortment,Season,HomeTeam,VisitorTeam,Matchday,GameCD,League,Ranking,TeamCD,ShortName_Team,Game,Win,Lose,Draw,WinningPercentage,GameBehind,GameBehindTop,Run,PointLost,Homerun,StolenBase,BattingAverage,EarnedRunAverage,RestGame,Winner_Magic,POLastRanking,RankShiftF,UpdatedAt,CreatedAt,league
33249,2022,1,,,,20220325,,,1,2,ヤクルト,1,1,0,0,1.00000,-,-,10,8,4,1,.366,5.00,142,-1,,0,2022-03-25T13:05:14.000Z,2022-03-25T13:05:14.000Z,pacific
33250,2022,1,,,,20220325,,,1,1,巨人,1,1,0,0,1.00000,-,-,4,2,1,1,.258,2.00,142,-1,,0,2022-03-25T13:05:14.000Z,2022-03-25T13:05:14.000Z,pacific
33251,2022,1,,,,20220325,,,1,6,広島,1,1,0,0,1.00000,-,-,11,3,0,0,.415,2.00,142,-1,,0,2022-03-25T13:05:14.000Z,2022-03-25T13:05:14.000Z,pacific
33252,2022,1,,,,20220325,,,4,5,阪神,1,0,1,0,0.00000,1,1,8,10,1,1,.366,10.00,142,-1,,0,2022-03-25T13:05:14.000Z,2022-03-25T13:05:14.000Z,pacific
33253,2022,1,,,,20220325,,,4,4,中日,1,0,1,0,0.00000,0,1,2,4,1,1,.270,3.38,142,-1,,0,2022-03-25T13:05:14.000Z,2022-03-25T13:05:14.000Z,pacific
33254,2022,1,,,,20220325,,,4,3,DeNA,1,0,1,0,0.00000,0,1,3,11,0,0,.182,9.00,142,-1,,0,2022-03-25T13:05:14.000Z,2022-03-25T13:05:14.000Z,pacific
33279,2022,1,,,,20220326,,,1,2,ヤクルト,2,2,0,0,1.00000,-,-,16,8,5,1,.307,2.50,141,-1,,0,2022-03-26T08:25:11.000Z,2022-03-26T08:25:11.000Z,pacific
33280,2022,1,,,,20220326,,,1,1,巨人,2,2,0,0,1.00000,-,-,11,7,1,1,.317,2.00,141,-1,,0,2022-03-26T08:25:11.000Z,2022-03-26T08:25:11.000Z,pacific
33281,2022,1,,,,20220326,,,1,6,広島,2,2,0,0,1.00000,-,-,21,8,1,0,.397,3.00,141,-1,,0,2022-03-26T08:25:11.000Z,2022-03-26T08:25:11.000Z,pacific
33282,2022,1,,,,20220326,,,4,5,阪神,2,0,2,0,0.00000,2,2,8,16,1,1,.243,8.00,141,-1,,0,2022-03-26T08:25:11.000Z,2022-03-26T08:25:11.000Z,pacific
33283,2022,1,,,,20220326,,,4,4,中日,2,0,2,0,0.00000,0,2,7,11,2,1,.224,5.63,141,-1,,0,2022-03-26T08:25:11.000Z,2022-03-26T08:25:11.000Z,pacific
33284,2022,1,,,,20220326,,,4,3,DeNA,2,0,2,0,0.00000,0,2,8,21,0,0,.246,9.00,141,-1,,0,2022-03-26T08:25:11.000Z,2022-03-26T08:25:11.000Z,pacific
33321,2022,1,,,,20220327,,,1,2,ヤクルト,3,3,0,0,1.00000,-,-,20,8,7,2,.300,1.67,140,-1,,0,2022-03-27T09:06:22.000Z,2022-03-27T09:06:22.000Z,pacific
33322,2022,1,,,,20220327,,,1,6,広島,3,3,0,0,1.00000,-,-,28,14,1,1,.357,4.00,140,-1,,0,2022-03-27T09:06:22.000Z,2022-03-27T09:06:22.000Z,pacific
33323,2022,1,,,,20220327,,,3,1,巨人,3,2,1,0,0.66666,1,1,16,14,3,1,.314,3.21,140,-1,,2,2022-03-27T09:06:22.000Z,2022-03-27T09:06:22.000Z,pacific
33324,2022,1,,,,20220327,,,4,4,中日,3,1,2,0,0.33333,1,2,14,16,3,1,.241,5.19,140,-1,,0,2022-03-27T09:06:22.000Z,2022-03-27T09:06:22.000Z,pacific
33325,2022,1,,,,20220327,,,5,5,阪神,3,0,3,0,0.00000,1,3,8,20,1,1,.216,6.67,140,-1,,2,2022-03-27T09:06:22.000Z,2022-03-27T09:06:22.000Z,pacific
33326,2022,1,,,,20220327,,,5,3,DeNA,3,0,3,0,0.00000,0,3,14,28,3,0,.252,8.33,140,-1,,2,2022-03-27T09:06:22.000Z,2022-03-27T09:06:22.000Z,pacific
33351,2022,1,,,,20220329,,,1,6,広島,4,4,0,0,1.00000,-,-,31,16,1,2,.331,3.50,139,-1,,0,2022-03-29T12:37:15.000Z,2022-03-29T12:37:15.000Z,pacific
33352,2022,1,,,,20220329,,,2,2,ヤクルト,4,3,1,0,0.75000,1,1,23,13,7,2,.292,1.75,139,-1,,2,2022-03-29T12:37:15.000Z,2022-03-29T12:37:15.000Z,pacific
33353,2022,1,,,,20220329,,,2,1,巨人,4,3,1,0,0.75000,0,1,21,17,4,1,.263,3.16,139,-1,,1,2022-03-29T12:37:15.000Z,2022-03-29T12:37:15.000Z,pacific
33354,2022,1,,,,20220329,,,4,4,中日,4,1,3,0,0.25000,2,3,14,20,3,1,.210,4.89,139,-1,,0,2022-03-29T12:37:15.000Z,2022-03-29T12:37:15.000Z,pacific
33355,2022,1,,,,20220329,,,4,3,DeNA,4,1,3,0,0.25000,0,3,18,28,4,1,.248,6.25,139,-1,,1,2022-03-29T12:37:15.000Z,2022-03-29T12:37:15.000Z,pacific
33356,2022,1,,,,20220329,,,6,5,阪神,4,0,4,0,0.00000,1,4,10,23,1,2,.225,5.86,139,-1,,2,2022-03-29T12:37:15.000Z,2022-03-29T12:37:15.000Z,pacific
33399,2022,1,,,,20220330,,,1,6,広島,5,5,0,0,1.00000,-,-,39,19,1,4,.335,3.40,138,-1,,0,2022-03-30T12:31:19.000Z,2022-03-30T12:31:19.000Z,pacific
33400,2022,1,,,,20220330,,,2,1,巨人,5,4,1,0,0.80000,1,1,24,18,6,1,.261,2.54,138,-1,,0,2022-03-30T12:31:19.000Z,2022-03-30T12:31:19.000Z,pacific
33401,2022,1,,,,20220330,,,3,2,ヤクルト,5,3,2,0,0.60000,1,2,24,16,7,3,.256,2.00,138,-1,,2,2022-03-30T12:31:19.000Z,2022-03-30T12:31:19.000Z,pacific
33402,2022,1,,,,20220330,,,4,3,DeNA,5,2,3,0,0.40000,1,3,25,34,4,3,.241,6.20,138,-1,,0,2022-03-30T12:31:19.000Z,2022-03-30T12:31:19.000Z,pacific
33403,2022,1,,,,20220330,,,5,4,中日,5,1,4,0,0.20000,1,4,20,27,4,1,.219,5.32,138,-1,,2,2022-03-30T12:31:19.000Z,2022-03-30T12:31:19.000Z,pacific
33404,2022,1,,,,20220330,,,6,5,阪神,5,0,5,0,0.00000,1,5,13,31,2,2,.218,5.82,138,-1,,0,2022-03-30T12:31:19.000Z,2022-03-30T12:31:19.000Z,pacific
33441,2022,1,,,,20220331,,,1,6,広島,6,6,0,0,1.00000,-,-,42,21,1,4,.327,3.17,137,-1,,0,2022-03-31T13:57:09.000Z,2022-03-31T13:57:09.000Z,pacific
33442,2022,1,,,,20220331,,,2,1,巨人,6,5,1,0,0.83333,1,1,30,21,6,1,.260,2.45,137,-1,,0,2022-03-31T13:57:09.000Z,2022-03-31T13:57:09.000Z,pacific
33443,2022,1,,,,20220331,,,3,2,ヤクルト,6,3,3,0,0.50000,2,3,27,22,8,3,.251,2.33,137,-1,,0,2022-03-31T13:57:09.000Z,2022-03-31T13:57:09.000Z,pacific
33444,2022,1,,,,20220331,,,3,3,DeNA,6,3,3,0,0.50000,0,3,26,34,4,4,.236,5.17,137,-1,,1,2022-03-31T13:57:09.000Z,2022-03-31T13:57:09.000Z,pacific
33445,2022,1,,,,20220331,,,5,4,中日,6,1,5,0,0.16666,2,5,20,28,4,1,.214,4.58,137,-1,,0,2022-03-31T13:57:09.000Z,2022-03-31T13:57:09.000Z,pacific
33446,2022,1,,,,20220331,,,6,5,阪神,6,0,6,0,0.00000,1,6,15,34,2,2,.228,5.44,137,-1,,0,2022-03-31T13:57:09.000Z,2022-03-31T13:57:09.000Z,pacific
33465,2022,1,,,,20220401,,,1,1,巨人,7,6,1,0,0.85714,-,-,36,26,9,1,.273,2.81,136,-1,,1,2022-04-01T12:16:54.000Z,2022-04-01T12:16:54.000Z,pacific
33466,2022,1,,,,20220401,,,1,6,広島,7,6,1,0,0.85714,-,-,44,24,1,5,.307,3.19,136,-1,,0,2022-04-01T12:16:54.000Z,2022-04-01T12:16:54.000Z,pacific
33467,2022,1,,,,20220401,,,3,3,DeNA,7,4,3,0,0.57142,2,2,32,35,6,4,.234,4.57,136,-1,,0,2022-04-01T12:16:54.000Z,2022-04-01T12:16:54.000Z,pacific
33468,2022,1,,,,20220401,,,4,2,ヤクルト,7,3,4,0,0.42857,1,3,28,28,9,3,.230,2.57,136,-1,,2,2022-04-01T12:16:54.000Z,2022-04-01T12:16:54.000Z,pacific
33469,2022,1,,,,20220401,,,5,4,中日,7,2,5,0,0.28571,1,4,23,30,5,1,.218,4.06,136,-1,,0,2022-04-01T12:16:54.000Z,2022-04-01T12:16:54.000Z,pacific
33470,2022,1,,,,20220401,,,6,5,阪神,7,0,7,0,0.00000,2,6,20,40,3,2,.231,5.31,136,-1,,0,2022-04-01T12:16:54.000Z,2022-04-01T12:16:54.000Z,pacific
33501,2022,1,,,,20220402,,,1,1,巨人,8,7,1,0,0.87500,-,-,41,30,12,1,.262,2.96,135,-1,,0,2022-04-02T09:01:19.000Z,2022-04-02T09:01:19.000Z,pacific
33502,2022,1,,,,20220402,,,2,6,広島,8,6,2,0,0.75000,1,1,47,28,2,5,.282,3.19,135,-1,,2,2022-04-02T09:01:19.000Z,2022-04-02T09:01:19.000Z,pacific
33503,2022,1,,,,20220402,,,3,2,ヤクルト,8,4,4,0,0.50000,2,3,31,30,10,4,.237,2.47,135,-1,,1,2022-04-02T09:01:19.000Z,2022-04-02T09:01:19.000Z,pacific
33504,2022,1,,,,20220402,,,3,3,DeNA,8,4,4,0,0.50000,0,3,34,38,6,6,.232,4.38,135,-1,,0,2022-04-02T09:01:19.000Z,2022-04-02T09:01:19.000Z,pacific
33505,2022,1,,,,20220402,,,5,4,中日,8,3,5,0,0.37500,1,4,27,33,6,2,.219,3.77,135,-1,,0,2022-04-02T09:01:19.000Z,2022-04-02T09:01:19.000Z,pacific
33506,2022,1,,,,20220402,,,6,5,阪神,8,0,8,0,0.00000,3,7,24,45,3,3,.240,5.35,135,-1,,0,2022-04-02T09:01:19.000Z,2022-04-02T09:01:19.000Z,pacific
33519,2022,1,,,,20220403,,,1,1,巨人,9,8,1,0,0.88888,-,-,50,35,14,3,.268,3.18,134,-1,,0,2022-04-03T07:25:47.000Z,2022-04-03T07:25:47.000Z,pacific
33520,2022,1,,,,20220403,,,2,6,広島,9,6,3,0,0.66666,2,2,47,29,2,5,.266,2.99,134,-1,,0,2022-04-03T07:25:47.000Z,2022-04-03T07:25:47.000Z,pacific
33521,2022,1,,,,20220403,,,3,2,ヤクルト,8,4,4,0,0.50000,1.5,3.5,31,30,10,4,.237,2.47,135,-1,,0,2022-04-03T07:25:47.000Z,2022-04-03T07:25:47.000Z,pacific
33522,2022,1,,,,20220403,,,3,3,DeNA,8,4,4,0,0.50000,0,3.5,34,38,6,6,.232,4.38,135,-1,,0,2022-04-03T07:25:47.000Z,2022-04-03T07:25:47.000Z,pacific
33523,2022,1,,,,20220403,,,5,4,中日,9,4,5,0,0.44444,0.5,4,28,33,6,3,.215,3.36,134,-1,,0,2022-04-03T07:25:47.000Z,2022-04-03T07:25:47.000Z,pacific
33524,2022,1,,,,20220403,,,6,5,阪神,9,0,9,0,0.00000,4,8,29,54,6,3,.239,5.85,134,-1,,0,2022-04-03T07:25:47.000Z,2022-04-03T07:25:47.000Z,pacific
33555,2022,1,,,,20220405,,,1,1,巨人,10,8,2,0,0.80000,-,-,51,38,14,3,.262,3.20,133,-1,,0,2022-04-05T12:18:41.000Z,2022-04-05T12:18:41.000Z,pacific
33556,2022,1,,,,20220405,,,2,6,広島,10,7,3,0,0.70000,1,1,50,30,2,5,.265,2.79,133,-1,,0,2022-04-05T12:18:41.000Z,2022-04-05T12:18:41.000Z,pacific
33557,2022,1,,,,20220405,,,3,4,中日,10,5,5,0,0.50000,2,3,35,39,8,3,.232,3.62,133,-1,,1,2022-04-05T12:18:41.000Z,2022-04-05T12:18:41.000Z,pacific
33558,2022,1,,,,20220405,,,4,2,ヤクルト,9,4,5,0,0.44444,0.5,3.5,37,37,13,5,.239,2.96,134,-1,,2,2022-04-05T12:18:41.000Z,2022-04-05T12:18:41.000Z,pacific
33559,2022,1,,,,20220405,,,4,3,DeNA,9,4,5,0,0.44444,0,3.5,34,42,6,6,.230,4.39,134,-1,,2,2022-04-05T12:18:41.000Z,2022-04-05T12:18:41.000Z,pacific
33560,2022,1,,,,20220405,,,6,5,阪神,10,1,9,0,0.10000,3.5,7,33,54,7,3,.237,5.23,133,-1,,0,2022-04-05T12:18:41.000Z,2022-04-05T12:18:41.000Z,pacific
33597,2022,1,,,,20220406,,,1,1,巨人,11,9,2,0,0.81818,-,-,53,39,15,3,.255,3.00,132,-1,,0,2022-04-06T13:40:43.000Z,2022-04-06T13:40:43.000Z,pacific
33598,2022,1,,,,20220406,,,2,6,広島,11,7,4,0,0.63636,2,2,51,32,2,5,.262,2.72,132,-1,,0,2022-04-06T13:40:43.000Z,2022-04-06T13:40:43.000Z,pacific
33599,2022,1,,,,20220406,,,3,2,ヤクルト,10,5,5,0,0.50000,1.5,3.5,39,38,14,6,.239,2.77,133,-1,,1,2022-04-06T13:40:43.000Z,2022-04-06T13:40:43.000Z,pacific
33600,2022,1,,,,20220406,,,3,3,DeNA,10,5,5,0,0.50000,0,3.5,40,43,6,8,.228,3.91,133,-1,,1,2022-04-06T13:40:43.000Z,2022-04-06T13:40:43.000Z,pacific
33601,2022,1,,,,20220406,,,5,4,中日,11,5,6,0,0.45454,0.5,4,36,41,8,5,.225,3.51,132,-1,,2,2022-04-06T13:40:43.000Z,2022-04-06T13:40:43.000Z,pacific
33602,2022,1,,,,20220406,,,6,5,阪神,11,1,10,0,0.09090,4,8,34,60,7,3,.234,5.14,132,-1,,0,2022-04-06T13:40:43.000Z,2022-04-06T13:40:43.000Z,pacific
33615,2022,1,,,,20220407,,,1,1,巨人,12,9,3,0,0.75000,-,-,55,48,15,3,.256,3.28,131,-1,,0,2022-04-07T12:23:41.000Z,2022-04-07T12:23:41.000Z,pacific
33616,2022,1,,,,20220407,,,2,6,広島,12,8,4,0,0.66666,1,1,60,34,3,6,.266,2.66,131,-1,,0,2022-04-07T12:23:41.000Z,2022-04-07T12:23:41.000Z,pacific
33617,2022,1,,,,20220407,,,3,4,中日,12,6,6,0,0.50000,2,3,47,44,12,6,.239,3.47,131,-1,,1,2022-04-07T12:23:41.000Z,2022-04-07T12:23:41.000Z,pacific
33618,2022,1,,,,20220407,,,4,3,DeNA,10,5,5,0,0.50000,0,3,40,43,6,8,.228,3.91,133,-1,,2,2022-04-07T12:23:41.000Z,2022-04-07T12:23:41.000Z,pacific
33619,2022,1,,,,20220407,,,5,2,ヤクルト,11,5,6,0,0.45454,0.5,3.5,42,49,15,6,.239,3.51,132,-1,,2,2022-04-07T12:23:41.000Z,2022-04-07T12:23:41.000Z,pacific
33620,2022,1,,,,20220407,,,6,5,阪神,11,1,10,0,0.09090,4,7.5,34,60,7,3,.234,5.14,132,-1,,0,2022-04-07T12:23:41.000Z,2022-04-07T12:23:41.000Z,pacific
33645,2022,1,,,,20220408,,,1,1,巨人,13,9,4,0,0.69230,-,-,57,55,16,4,.255,3.57,130,-1,,0,2022-04-08T13:58:01.000Z,2022-04-08T13:58:01.000Z,pacific
33646,2022,1,,,,20220408,,,2,6,広島,13,8,4,1,0.66666,0.5,0.5,63,37,3,6,.264,2.62,130,-1,,0,2022-04-08T13:58:01.000Z,2022-04-08T13:58:01.000Z,pacific
33647,2022,1,,,,20220408,,,3,2,ヤクルト,12,6,6,0,0.50000,2,2.5,49,51,15,6,.241,3.39,131,-1,,1,2022-04-08T13:58:01.000Z,2022-04-08T13:58:01.000Z,pacific
33648,2022,1,,,,20220408,,,3,4,中日,12,6,6,0,0.50000,0,2.5,47,44,12,6,.239,3.47,131,-1,,0,2022-04-08T13:58:01.000Z,2022-04-08T13:58:01.000Z,pacific
33649,2022,1,,,,20220408,,,5,3,DeNA,10,5,5,0,0.50000,0,2.5,40,43,6,8,.228,3.91,133,-1,,2,2022-04-08T13:58:01.000Z,2022-04-08T13:58:01.000Z,pacific
33650,2022,1,,,,20220408,,,6,5,阪神,12,1,10,1,0.09090,4.5,7,37,63,8,3,.234,4.82,131,-1,,0,2022-04-08T13:58:01.000Z,2022-04-08T13:58:01.000Z,pacific
33669,2022,1,,,,20220409,,,1,1,巨人,14,10,4,0,0.71428,-,-,60,57,18,4,.255,3.36,129,-1,,0,2022-04-09T08:28:24.000Z,2022-04-09T08:28:24.000Z,pacific
33670,2022,1,,,,20220409,,,2,6,広島,14,9,4,1,0.69230,0.5,0.5,72,38,3,6,.269,2.51,129,-1,,0,2022-04-09T08:28:24.000Z,2022-04-09T08:28:24.000Z,pacific
33671,2022,1,,,,20220409,,,3,4,中日,12,6,6,0,0.50000,2.5,3,47,44,12,6,.239,3.47,131,-1,,0,2022-04-09T08:28:24.000Z,2022-04-09T08:28:24.000Z,pacific
33672,2022,1,,,,20220409,,,4,3,DeNA,10,5,5,0,0.50000,0,3,40,43,6,8,.228,3.91,133,-1,,1,2022-04-09T08:28:24.000Z,2022-04-09T08:28:24.000Z,pacific
33673,2022,1,,,,20220409,,,5,2,ヤクルト,13,6,7,0,0.46153,0.5,3.5,51,54,16,6,.234,3.35,130,-1,,2,2022-04-09T08:28:24.000Z,2022-04-09T08:28:24.000Z,pacific
33674,2022,1,,,,20220409,,,6,5,阪神,13,1,11,1,0.08333,4.5,8,38,72,9,3,.233,5.14,130,-1,,0,2022-04-09T08:28:24.000Z,2022-04-09T08:28:24.000Z,pacific
33699,2022,1,,,,20220410,,,1,6,広島,15,10,4,1,0.71428,-,-,73,38,4,6,.261,2.34,128,-1,,1,2022-04-10T07:44:03.000Z,2022-04-10T07:44:03.000Z,pacific
33700,2022,1,,,,20220410,,,2,1,巨人,15,10,5,0,0.66666,0.5,0.5,61,59,19,4,.248,3.20,128,-1,,2,2022-04-10T07:44:03.000Z,2022-04-10T07:44:03.000Z,pacific
33701,2022,1,,,,20220410,,,3,2,ヤクルト,14,7,7,0,0.50000,2.5,3,53,55,17,6,.231,3.18,129,-1,,1,2022-04-10T07:44:03.000Z,2022-04-10T07:44:03.000Z,pacific
33702,2022,1,,,,20220410,,,4,4,中日,12,6,6,0,0.50000,0,3,47,44,12,6,.239,3.47,131,-1,,2,2022-04-10T07:44:03.000Z,2022-04-10T07:44:03.000Z,pacific
33703,2022,1,,,,20220410,,,5,3,DeNA,10,5,5,0,0.50000,0,3,40,43,6,8,.228,3.91,133,-1,,2,2022-04-10T07:44:03.000Z,2022-04-10T07:44:03.000Z,pacific
33704,2022,1,,,,20220410,,,6,5,阪神,14,1,12,1,0.07692,5.5,8.5,38,73,9,3,.230,4.84,129,-1,,0,2022-04-10T07:44:03.000Z,2022-04-10T07:44:03.000Z,pacific
33735,2022,1,,,,20220412,,,1,1,巨人,16,11,5,0,0.68750,-,-,71,63,20,4,.258,3.25,127,-1,,1,2022-04-12T12:22:41.000Z,2022-04-12T12:22:41.000Z,pacific
33736,2022,1,,,,20220412,,,2,6,広島,16,10,5,1,0.66666,0.5,0.5,74,41,4,6,.259,2.40,127,-1,,2,2022-04-12T12:22:41.000Z,2022-04-12T12:22:41.000Z,pacific
33737,2022,1,,,,20220412,,,3,4,中日,13,7,6,0,0.53846,2,2.5,49,45,12,6,.243,3.28,130,-1,,1,2022-04-12T12:22:41.000Z,2022-04-12T12:22:41.000Z,pacific
33738,2022,1,,,,20220412,,,4,2,ヤクルト,15,8,7,0,0.53333,0,2.5,56,56,17,7,.228,3.04,128,-1,,2,2022-04-12T12:22:41.000Z,2022-04-12T12:22:41.000Z,pacific
