season,ID,SeqNo,game_id,game_kind_id,game_date,date_jpn,time_jpn,week_day_jpn,stadium_id,stadium_name_jpn,round,DhF,game_state,game_result,home_score,home_team_id,home_team_short_name,home_team_name_en,home_team_name_en_short,home_team_initial,home_section,away_score,away_team_id,away_team_short_name,away_team_name_en,away_team_name_en_short,away_team_initial,away_section,stadium_name_short,last_updated,creation_date
2020,609827,1,2020021601,5,2020-02-16 13:00:00+09:00,20200216,1300,1,88,沖縄セルラースタジアム那覇,1,0,2,2,1,1,巨人,Giants,G,巨,1,4,3,ＤｅＮＡ,Bay Stars,DB,デ,1,那覇,2020-03-15 09:00:24+00:00,2020-03-15 08:59:21+00:00
2020,609828,2,2020022201,5,2020-02-22 13:00:00+09:00,20200222,1300,7,87,名護市営球場,1,0,2,2,2,8,日本ハム,Fighters,F,日,1,6,1,巨人,Giants,G,巨,1,名護,2020-03-15 09:00:24+00:00,2020-03-15 08:59:21+00:00
2020,609829,3,2020022202,5,2020-02-22 13:00:00+09:00,20200222,1300,7,139,浦添市民球場,1,0,2,2,6,2,ヤクルト,Swallows,S,ヤ,1,7,6,広島,Carp,C,広,1,浦添,2020-03-15 09:00:24+00:00,2020-03-15 08:59:21+00:00
2020,609830,4,2020022203,5,2020-02-22 13:00:00+09:00,20200222,1300,7,27,宜野湾市立野球場,1,0,2,1,9,3,ＤｅＮＡ,Bay Stars,DB,デ,1,5,376,楽天,Golden Eagles,E,楽,1,宜野湾,2020-03-15 09:00:24+00:00,2020-03-15 08:59:21+00:00
2020,609831,5,2020022204,5,2020-02-22 13:00:00+09:00,20200222,1300,7,20,北谷公園野球場,1,0,2,2,2,4,中日,Dragons,D,中,1,6,5,阪神,Tigers,T,神,1,北谷,2020-03-15 09:00:24+00:00,2020-03-15 08:59:21+00:00
2020,609832,6,2020022301,5,2020-02-23 13:00:00+09:00,20200223,1300,1,87,名護市営球場,1,0,2,2,4,8,日本ハム,Fighters,F,日,1,9,2,ヤクルト,Swallows,S,ヤ,1,名護,2020-03-15 09:00:24+00:00,2020-03-15 08:59:21+00:00
2020,609833,7,2020022302,5,2020-02-23 13:00:00+09:00,20200223,1300,1,30031,宮崎市清武総合運動公園野球場,1,0,2,2,4,11,オリックス,Buffaloes,B,オ,1,10,12,ソフトバンク,Hawks,H,ソ,1,SOKKEN,2020-03-15 09:00:24+00:00,2020-03-15 08:59:21+00:00
2020,609834,8,2020022303,5,2020-02-23 13:00:00+09:00,20200223,1300,1,98,コザしんきんスタジアム,1,0,2,1,14,6,広島,Carp,C,広,1,2,5,阪神,Tigers,T,神,1,沖縄,2020-03-15 09:00:24+00:00,2020-03-15 08:59:21+00:00
2020,609835,9,2020022304,5,2020-02-23 13:00:00+09:00,20200223,1300,1,20,北谷公園野球場,1,0,2,2,4,4,中日,Dragons,D,中,1,7,3,ＤｅＮＡ,Bay Stars,DB,デ,1,北谷,2020-03-15 09:00:24+00:00,2020-03-15 08:59:21+00:00
2020,609836,10,2020022305,5,2020-02-23 13:00:00+09:00,20200223,1300,1,88,沖縄セルラースタジアム那覇,1,0,2,1,7,1,巨人,Giants,G,巨,1,1,376,楽天,Golden Eagles,E,楽,1,那覇,2020-03-15 09:00:24+00:00,2020-03-15 08:59:21+00:00
