season,ID,SeqNo,game_id,game_kind_id,game_date,date_jpn,time_jpn,week_day_jpn,stadium_id,stadium_name_jpn,round,DhF,game_state,game_result,home_score,home_team_id,home_team_short_name,home_team_name_en,home_team_name_en_short,home_team_initial,home_section,away_score,away_team_id,away_team_short_name,away_team_name_en,away_team_name_en_short,away_team_initial,away_section,stadium_name_short,last_updated,creation_date
2023,1584042,1,2021012559,5,2023-02-23 13:00:00+09:00,20230223,1300,5,139,ANA BALL PARK浦添,1,0,2,2,6,2,ヤクルト,Swallows,S,ヤ,1,7,1,巨人,Giants,G,巨,1,浦添,2023-03-26 08:29:24+00:00,2023-03-26 08:29:20+00:00
2023,1584043,2,2021012560,5,2023-02-25 13:00:00+09:00,20230225,1300,7,87,タピックスタジアム名護,1,0,2,1,5,8,日本ハム,Fighters,F,日,1,4,376,楽天,Golden Eagles,E,楽,1,名護,2023-03-26 08:29:24+00:00,2023-03-26 08:29:20+00:00
2023,1584044,3,2021012561,5,2023-02-25 13:00:00+09:00,20230225,1300,7,88,沖縄セルラースタジアム那覇,1,0,2,1,4,1,巨人,Giants,G,巨,1,1,6,広島,Carp,C,広,1,那覇,2023-03-26 08:29:24+00:00,2023-03-26 08:29:20+00:00
2023,1584045,4,2021012562,5,2023-02-25 13:00:00+09:00,20230225,1300,7,139,ANA BALL PARK浦添,1,0,2,2,2,2,ヤクルト,Swallows,S,ヤ,1,5,5,阪神,Tigers,T,神,1,浦添,2023-03-26 08:29:24+00:00,2023-03-26 08:29:20+00:00
2023,1584046,5,2021012563,5,2023-02-25 13:00:00+09:00,20230225,1300,7,20,Agreスタジアム北谷,1,0,2,2,5,4,中日,Dragons,D,中,1,7,3,DeNA,Bay Stars,DB,デ,1,北谷,2023-03-26 08:29:24+00:00,2023-03-26 08:29:20+00:00
2023,1584047,6,2021012565,5,2023-02-26 12:30:00+09:00,20230226,1230,1,88,沖縄セルラースタジアム那覇,1,0,2,1,4,1,巨人,Giants,G,巨,1,1,3,DeNA,Bay Stars,DB,デ,1,那覇,2023-03-26 08:29:24+00:00,2023-03-26 08:29:20+00:00
2023,1584048,7,2021012564,5,2023-02-26 13:00:00+09:00,20230226,1300,1,87,タピックスタジアム名護,1,0,2,1,8,8,日本ハム,Fighters,F,日,1,6,5,阪神,Tigers,T,神,1,名護,2023-03-26 08:29:24+00:00,2023-03-26 08:29:20+00:00
2023,1584049,8,2021012566,5,2023-02-26 13:00:00+09:00,20230226,1300,1,139,ANA BALL PARK浦添,1,0,2,1,13,2,ヤクルト,Swallows,S,ヤ,1,9,376,楽天,Golden Eagles,E,楽,1,浦添,2023-03-26 08:29:24+00:00,2023-03-26 08:29:20+00:00
2023,1584050,9,2021012567,5,2023-02-26 13:00:00+09:00,20230226,1300,1,20,Agreスタジアム北谷,1,0,2,2,4,4,中日,Dragons,D,中,1,8,6,広島,Carp,C,広,1,北谷,2023-03-26 08:29:24+00:00,2023-03-26 08:29:20+00:00
2023,1584051,1,2021012569,5,2023-03-04 13:00:00+09:00,20230304,1300,7,8,ZOZOマリンスタジアム,1,0,2,3,2,9,ロッテ,Marines,M,ロ,1,2,2,ヤクルト,Swallows,S,ヤ,1,ZOZOマリン,2023-03-26 08:29:24+00:00,2023-03-26 08:29:20+00:00
