season,game_id,game_date,player_id,player_name_jap,player_jersey_number,position,team_id,batting_G,batting_GS,batting_PA,batting_AB,batting_R,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_SB,batting_CS,batting_BB,batting_SO,batting_HBP,batting_SH,batting_SF,batting_E,pitcher_order_number,pitching_G,pitching_GS,pitching_W,pitching_L,pitching_ERA,pitching_IP,pitching_IP_str,pitching_CG,pitching_SHO,pitching_SV,pitching_H,pitching_R,pitching_ER,pitching_HR,pitching_IBB,pitching_BB,pitching_SO,pitching_HBP,pitching_BK,pitching_BF,pitching_PI
2019,2019062804,2019-06-28,12101,中村　剛也,60,三,7,1.0,1,3,3,0,1,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2019,2019062804,2019-06-28,12102,栗山　巧,1,指,7,1.0,1,3,3,0,0,0,0,0,0,0,,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2019,2019062804,2019-06-28,1000108,後藤　駿太,8,中,11,1.0,1,5,4,2,3,1,0,1,3,0,,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2019,2019062804,2019-06-28,1000150,秋山　翔吾,55,中,7,1.0,1,4,2,0,0,0,0,0,0,0,,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2019,2019062804,2019-06-28,1100105,安達　了一,3,三,11,1.0,1,2,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2019,2019062804,2019-06-28,1100111,小島　脩平,38,左,11,1.0,1,4,4,0,0,0,0,0,0,0,,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2019,2019062804,2019-06-28,1200083,金子　侑司,8,左,7,1.0,1,3,3,0,1,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2019,2019062804,2019-06-28,1300100,森　友哉,10,捕,7,1.0,1,4,4,0,0,0,0,0,0,0,,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2019,2019062804,2019-06-28,1300101,山川　穂高,33,一,7,1.0,1,4,4,0,1,0,0,0,0,0,,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2019,2019062804,2019-06-28,1300109,若月　健矢,37,捕,11,1.0,1,4,3,1,1,0,0,0,0,0,,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
2019,2019062804,2019-06-28,1400018,ヒース,68,,7,,,,,,,,,,,,,,,,,,,2,1.0,0.0,0,2,5.30,1.0,1.0,,,2,2,3,3,1,,2,2,0,,7,24
2019,2019062804,2019-06-28,1400184,外崎　修汰,5,二,7,1.0,1,4,4,0,0,0,0,0,0,0,,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2019,2019062804,2019-06-28,1400202,小田　裕也,50,右,11,1.0,1,4,4,0,0,0,0,0,0,0,,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2019,2019062804,2019-06-28,1500102,愛斗,53,右,7,1.0,1,3,3,0,1,0,0,0,0,0,,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2019,2019062804,2019-06-28,1500126,吉田　正尚,34,打,11,1.0,0,1,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2019,2019062804,2019-06-28,1500128,大城　滉二,10,遊,11,1.0,1,5,2,0,1,1,0,0,1,0,,1,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,
2019,2019062804,2019-06-28,1500132,鈴木　昂平,40,走三,11,1.0,0,1,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
2019,2019062804,2019-06-28,1600127,今井　達也,11,,7,,,,,,,,,,,,,,,,,,,1,1.0,,5,6,4.02,8.0,8.0,,,0,6,1,1,0,,4,7,0,,33,123
2019,2019062804,2019-06-28,1600129,源田　壮亮,6,遊,7,1.0,1,4,3,0,1,0,0,0,0,0,,0,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
2019,2019062804,2019-06-28,1600153,山本　由伸,43,,11,,,,,,,,,,,,,,,,,,,1,1.0,,4,3,1.66,9.0,9.0,,,0,5,0,0,0,,2,11,0,,32,124
