season,game_id,game_date,player_id,player_name_jap,player_jersey_number,position,team_id,batting_G,batting_GS,batting_PA,batting_AB,batting_R,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_SB,batting_CS,batting_BB,batting_SO,batting_HBP,batting_SH,batting_SF,batting_E,pitcher_order_number,pitching_G,pitching_GS,pitching_W,pitching_L,pitching_ERA,pitching_IP,pitching_IP_str,pitching_CG,pitching_SHO,pitching_SV,pitching_H,pitching_R,pitching_ER,pitching_HR,pitching_IBB,pitching_BB,pitching_SO,pitching_HBP,pitching_BK,pitching_BF,pitching_PI
2020,2020091904,2020-09-19,700087,角中　勝也,3,左,9,1.0,1,4,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020,2020091904,2020-09-19,800052,宮西　尚生,25,,8,,,,,,,,,,,,,,,,,,,2,1.0,0.0,1,1,2.83,1.0,1.0,,,3,1,1,1,0,,1,2,0,,5,20
2020,2020091904,2020-09-19,800054,中田　翔,6,指,8,1.0,1,4,3,1,1,0,0,0,1,0,,0,2,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
2020,2020091904,2020-09-19,900011,大田　泰示,5,打,8,1.0,0,1,1,0,1,0,0,0,1,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020,2020091904,2020-09-19,900069,中島　卓也,9,走遊,8,1.0,0,1,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020,2020091904,2020-09-19,900070,杉谷　拳士,2,打一,8,1.0,0,2,1,0,0,0,0,0,0,0,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
2020,2020091904,2020-09-19,1000016,清田　育宏,1,打,9,1.0,0,1,1,0,1,1,0,0,1,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020,2020091904,2020-09-19,1000083,澤村　拓一,57,,9,,,,,,,,,,,,,,,,,,,4,1.0,0.0,0,0,0.00,1.0,1.0,,,0,0,0,0,0,,0,1,0,,3,11
2020,2020091904,2020-09-19,1000100,西川　遥輝,7,中,8,1.0,1,4,1,1,1,0,0,0,0,2,,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020,2020091904,2020-09-19,1100016,チェン・グァンユウ,49,,9,,,,,,,,,,,,,,,,,,,2,1.0,0.0,1,0,4.76,2.3333333333333335,2.1,,,0,3,2,1,0,,1,1,0,,11,41
2020,2020091904,2020-09-19,1100095,松本　剛,12,右左,8,1.0,1,4,3,0,0,0,0,0,0,0,,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
2020,2020091904,2020-09-19,1100097,近藤　健介,8,左,8,1.0,1,4,3,0,0,0,0,0,0,1,,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020,2020091904,2020-09-19,1200097,加藤　翔平,10,中,9,1.0,1,4,3,0,0,0,0,0,0,0,,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
2020,2020091904,2020-09-19,1300042,渡邉　諒,23,二,8,1.0,1,4,3,1,1,0,0,0,0,0,,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020,2020091904,2020-09-19,1300044,岡　大海,25,走,9,1.0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020,2020091904,2020-09-19,1300054,井上　晴哉,44,指,9,1.0,1,4,4,0,1,0,0,0,0,0,,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020,2020091904,2020-09-19,1400117,有原　航平,16,,8,,,,,,,,,,,,,,,,,,,1,1.0,,5,7,3.93,8.0,8.0,,,0,5,0,0,0,,2,5,1,,31,121
2020,2020091904,2020-09-19,1400119,淺間　大基,26,右,8,1.0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020,2020091904,2020-09-19,1400169,石崎　剛,30,,9,,,,,,,,,,,,,,,,,,,1,1.0,,0,1,9.00,3.0,3.0,,,0,0,1,1,0,,5,5,0,,14,82
2020,2020091904,2020-09-19,1400188,中村　奨吾,8,二,9,1.0,1,4,4,0,0,0,0,0,0,0,,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020,2020091904,2020-09-19,1500049,宇佐見　真吾,30,捕,8,1.0,1,4,4,0,0,0,0,0,0,0,,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020,2020091904,2020-09-19,1500112,平沼　翔太,45,三,8,1.0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020,2020091904,2020-09-19,1500120,東條　大樹,20,,9,,,,,,,,,,,,,,,,,,,3,1.0,0.0,1,1,3.93,0.6666666666666666,0.2,,,0,1,0,0,0,,1,2,0,,4,18
2020,2020091904,2020-09-19,1600134,石井　一成,38,遊,8,1.0,1,2,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020,2020091904,2020-09-19,1700025,清宮　幸太郎,21,一,8,1.0,1,2,2,0,0,0,0,0,0,0,,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020,2020091904,2020-09-19,1700092,安田　尚憲,5,三,9,1.0,1,4,3,0,2,0,0,0,0,0,,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020,2020091904,2020-09-19,1700093,藤岡　裕大,4,遊,9,1.0,1,4,4,0,1,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020,2020091904,2020-09-19,1700094,山本　大貴,27,,9,,,,,,,,,,,,,,,,,,,5,1.0,0.0,0,0,0.00,1.0,1.0,,,0,0,0,0,0,,1,0,0,,4,31
2020,2020091904,2020-09-19,1700095,菅野　剛士,31,一,9,1.0,1,3,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020,2020091904,2020-09-19,1800021,ビヤヌエバ,44,三,8,1.0,1,4,3,0,0,0,0,0,0,0,,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020,2020091904,2020-09-19,1900014,マーティン,79,右,9,1.0,1,4,3,0,0,0,0,0,0,0,,0,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020,2020091904,2020-09-19,1900081,佐藤　都志也,32,捕,9,1.0,1,4,2,1,1,0,0,0,0,0,,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
