season,game_id,game_date,player_id,player_name_jap,player_jersey_number,position,team_id,batting_G,batting_GS,batting_PA,batting_AB,batting_R,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_SB,batting_CS,batting_BB,batting_SO,batting_HBP,batting_SH,batting_SF,batting_E,pitcher_order_number,pitching_G,pitching_GS,pitching_W,pitching_L,pitching_ERA,pitching_IP,pitching_IP_str,pitching_CG,pitching_SHO,pitching_SV,pitching_H,pitching_R,pitching_ER,pitching_HR,pitching_IBB,pitching_BB,pitching_SO,pitching_HBP,pitching_BK,pitching_BF,pitching_PI
2024,2021020979,2024-11-03,800081,中村　晃,7,打,12,1,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2024,2021020979,2024-11-03,1000002,筒香　嘉智,25,左,3,1,1,5,5,2,2,1,0,1,4,0,,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2024,2021020979,2024-11-03,1000035,今宮　健太,6,遊,12,1,1,4,4,1,3,1,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2024,2021020979,2024-11-03,1000128,柳田　悠岐,9,右,12,1,1,4,4,1,1,0,0,1,2,0,,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2024,2021020979,2024-11-03,1000175,牧原　大成,8,二,12,1,1,3,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2024,2021020979,2024-11-03,1000176,甲斐　拓也,19,捕,12,1,1,3,3,0,0,0,0,0,0,0,,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2024,2021020979,2024-11-03,1100061,桑原　将志,1,中,3,1,1,5,4,1,3,0,0,0,3,0,,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2024,2021020979,2024-11-03,1100097,近藤　健介,3,左,12,1,1,3,3,0,2,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2024,2021020979,2024-11-03,1200053,宮崎　敏郎,51,三,3,1,1,5,4,0,1,1,0,0,1,0,,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2024,2021020979,2024-11-03,1300101,山川　穂高,25,一,12,1,1,3,3,0,0,0,0,0,0,0,,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2024,2021020979,2024-11-03,1400117,有原　航平,17,投,12,1,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,1.0,,1,1,3.60,3.0,3.0,,,0,6,4,4,1,,2,4,1,,18,61
2024,2021020979,2024-11-03,1400127,栗原　陵矢,24,三,12,1,1,3,3,0,0,0,0,0,0,0,,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2024,2021020979,2024-11-03,1500064,戸柱　恭孝,10,捕,3,1,1,5,4,2,2,0,0,0,0,0,,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2024,2021020979,2024-11-03,1600081,濱口　遥大,26,投,3,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1.0,0.0,0,0,3.00,1.0,1.0,,,0,0,0,0,0,,0,1,0,,3,10
2024,2021020979,2024-11-03,1600089,佐野　恵太,7,打一,3,1,0,2,2,1,1,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2024,2021020979,2024-11-03,1600096,森原　康平,45,投,3,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,1.0,0.0,0,0,0.00,1.0,1.0,,,1,0,0,0,0,,0,1,0,,3,10
2024,2021020979,2024-11-03,1700134,尾形　崇斗,39,投,12,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1.0,0.0,0,0,12.00,1.0,1.0,,,0,2,0,0,0,,0,3,0,,5,17
2024,2021020979,2024-11-03,1700135,周東　佑京,23,中,12,1,1,4,4,0,0,0,0,0,0,0,,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2024,2021020979,2024-11-03,1800045,大貫　晋一,16,投,3,1,1,2,2,0,0,0,0,0,0,0,,0,2,0,0,0,0,1,1.0,,0,1,8.53,4.0,4.0,,,0,5,2,2,1,,0,3,0,,15,56
2024,2021020979,2024-11-03,1800107,杉山　一樹,40,投,12,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,1.0,0.0,0,0,2.25,1.0,1.0,,,0,0,0,0,0,,0,0,0,,3,14
2024,2021020979,2024-11-03,1900010,スチュワート・ジュニア,2,投,12,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1.0,0.0,0,0,12.46,0.3333333333333333,0.1,,,0,3,5,5,0,,2,0,0,,6,30
2024,2021020979,2024-11-03,1900030,森　敬斗,6,遊,3,1,1,4,2,2,1,1,0,0,1,0,,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2024,2021020979,2024-11-03,1900031,坂本　裕哉,20,投,3,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1.0,0.0,1,0,0.00,2.0,2.0,,,0,1,0,0,0,,0,2,0,,6,28
2024,2021020979,2024-11-03,1900032,伊勢　大夢,13,投,3,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,1.0,0.0,0,0,0.00,1.0,1.0,,,0,0,0,0,0,,0,0,0,,3,13
2024,2021020979,2024-11-03,1900102,津森　宥紀,11,投,12,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,1.0,0.0,0,0,10.13,1.0,1.0,,,0,0,0,0,0,,0,0,0,,3,13
2024,2021020979,2024-11-03,1900126,オースティン,3,一,3,1,1,4,3,1,0,0,0,0,1,0,,0,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2024,2021020979,2024-11-03,1960392,フォード,99,打,3,1,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2024,2021020979,2024-11-03,1961052,ヘルナンデス,63,投,12,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,1.0,0.0,0,0,0.00,1.0,1.0,,,0,0,0,0,0,,0,1,0,,3,16
2024,2021020979,2024-11-03,2000035,牧　秀悟,2,二,3,1,1,5,5,1,2,0,0,0,0,0,,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2024,2021020979,2024-11-03,2101257,ダウンズ,4,打,12,1,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2024,2021020979,2024-11-03,2103703,梶原　昂希,58,右,3,1,1,5,5,1,1,0,0,0,1,0,,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2024,2021020979,2024-11-03,2108558,岩井　俊介,27,投,12,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,1.0,0.0,0,0,9.00,0.6666666666666666,0.2,,,0,2,2,2,0,,0,0,1,,5,14
