season,game_id,game_date,player_id,player_name_jap,player_jersey_number,position,team_id,batting_G,batting_GS,batting_PA,batting_AB,batting_R,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_SB,batting_CS,batting_BB,batting_SO,batting_HBP,batting_SH,batting_SF,batting_E,pitcher_order_number,pitching_G,pitching_GS,pitching_W,pitching_L,pitching_ERA,pitching_IP,pitching_IP_str,pitching_CG,pitching_SHO,pitching_SV,pitching_H,pitching_R,pitching_ER,pitching_HR,pitching_IBB,pitching_BB,pitching_SO,pitching_HBP,pitching_BK,pitching_BF,pitching_PI
2025,2021029377,2025-06-06,800081,中村　晃,7,一,12,1.0,1,5,4,0,1,0,0,0,0,0,,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029377,2025-06-06,900044,中村　悠平,27,捕,2,1.0,1,4,3,1,0,0,0,0,0,0,,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029377,2025-06-06,1000035,今宮　健太,6,遊,12,1.0,1,4,3,0,1,0,0,0,0,0,,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029377,2025-06-06,1000132,山田　哲人,1,打二,2,1.0,0,1,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029377,2025-06-06,1100097,近藤　健介,3,右,12,1.0,1,5,5,0,2,1,0,0,1,0,,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029377,2025-06-06,1200075,石山　泰稚,12,投,2,1.0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,1.0,0.0,1,1,0.98,1.0,1.0,,,11,0,0,0,0,,0,0,0,,3,13
2025,2021029377,2025-06-06,1300029,田口　麗斗,34,投,2,1.0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1.0,0.0,1,1,5.28,0.6666666666666666,0.2,,,0,0,0,0,0,,0,0,0,,1,4
2025,2021029377,2025-06-06,1300101,山川　穂高,5,打,12,1.0,0,1,1,0,1,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029377,2025-06-06,1400126,松本　裕樹,66,投,12,1.0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1.0,0.0,0,1,1.04,0.3333333333333333,0.1,,,0,1,1,1,1,,0,1,0,,2,6
2025,2021029377,2025-06-06,1400127,栗原　陵矢,24,三,12,1.0,1,4,4,0,1,0,0,0,0,0,,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029377,2025-06-06,1560184,オスナ,54,投,12,1.0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1.0,0.0,3,1,4.09,1.0,1.0,,,8,1,2,2,1,,1,0,0,,5,17
2025,2021029377,2025-06-06,1700011,モイネロ,35,投,12,1.0,1,3,3,0,1,0,0,0,0,0,,0,2,0,0,0,0,1,1.0,,5,0,1.30,8.0,8.0,,,0,3,0,0,0,,2,18,0,,28,117
2025,2021029377,2025-06-06,1700045,北村　拓己,38,三,2,1.0,1,4,4,0,0,0,0,0,0,0,,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029377,2025-06-06,1700088,金久保　優斗,48,投,2,1.0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,1.0,0.0,0,1,6.97,1.0,1.0,,,0,1,0,0,0,,0,3,0,,4,19
2025,2021029377,2025-06-06,1700089,宮本　丈,10,打,2,1.0,0,1,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029377,2025-06-06,1700131,増田　珠,63,打右,2,1.0,0,2,2,0,0,0,0,0,0,0,,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029377,2025-06-06,1700135,周東　佑京,23,打中,12,1.0,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029377,2025-06-06,1750800,澤井　廉,42,右,2,1.0,1,2,2,0,0,0,0,0,0,0,,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029377,2025-06-06,1900027,大西　広樹,44,投,2,1.0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1.0,0.0,1,0,0.90,1.3333333333333333,1.1,,,0,3,1,1,0,,1,2,0,,8,31
2025,2021029377,2025-06-06,1900029,武岡　龍世,60,二遊,2,1.0,1,4,3,1,2,0,0,1,1,0,,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029377,2025-06-06,1900100,佐藤　直樹,30,中右,12,1.0,1,5,5,2,2,0,0,0,0,1,,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029377,2025-06-06,1900101,海野　隆司,62,捕,12,1.0,1,4,4,0,0,0,0,0,0,0,,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029377,2025-06-06,1900104,柳町　達,32,左,12,1.0,1,4,4,0,2,0,0,0,0,0,,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029377,2025-06-06,2000025,山野　太一,26,投,2,1.0,1,1,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,1,1.0,,1,2,4.07,6.0,6.0,,,0,7,1,1,0,,2,6,0,,25,103
2025,2021029377,2025-06-06,2000026,内山　壮真,33,打,2,1.0,0,1,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029377,2025-06-06,2000031,赤羽　由紘,0,中,2,1.0,1,4,3,0,0,0,0,0,0,0,,0,3,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029377,2025-06-06,2000117,緒方　理貢,57,走左,12,1.0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029377,2025-06-06,2000133,オスナ,13,一,2,1.0,1,4,3,1,2,1,0,1,2,0,,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029377,2025-06-06,2000135,サンタナ,25,左,2,1.0,1,4,4,0,1,0,0,0,0,0,,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029377,2025-06-06,2103917,岩田　幸宏,64,打,2,1.0,0,1,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029377,2025-06-06,2104035,野村　勇,99,二,12,1.0,1,5,4,0,0,0,0,0,0,0,,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029377,2025-06-06,2112175,伊藤　琉偉,67,遊,2,1.0,1,2,2,0,0,0,0,0,0,0,,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029387,2025-06-07,900430,堂林　翔太,7,一,6,1.0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029387,2025-06-07,1100082,菊池　涼介,33,二,6,1.0,1,4,4,0,0,0,0,0,0,0,,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029387,2025-06-07,1400173,野間　峻祥,37,中,6,1.0,1,4,4,0,1,0,1,0,1,0,,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029387,2025-06-07,1400184,外崎　修汰,5,三,7,1.0,1,4,3,0,0,0,0,0,1,0,,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,
2025,2021029387,2025-06-07,1600123,床田　寛樹,19,投,6,1.0,1,3,3,0,0,0,0,0,0,0,,0,2,0,0,0,0,1,1.0,,6,4,1.60,9.0,9.0,,,0,8,2,2,0,,0,5,0,,33,114
2025,2021029387,2025-06-07,1600124,坂倉　将吾,31,捕,6,1.0,1,4,4,1,1,0,0,1,1,0,,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029387,2025-06-07,1600127,今井　達也,48,投,7,1.0,1,2,2,0,0,0,0,0,0,0,,0,1,0,0,0,0,1,1.0,,5,2,1.30,7.0,7.0,,,0,8,5,5,1,,0,9,1,,31,134
2025,2021029387,2025-06-07,1600129,源田　壮亮,6,遊,7,1.0,1,4,4,1,3,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029387,2025-06-07,1600132,田村　伊知郎,20,投,7,1.0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1.0,0.0,0,0,3.46,1.0,1.0,,,0,0,0,0,0,,0,0,0,,3,12
2025,2021029387,2025-06-07,1700068,中村　奨成,96,左,6,1.0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029387,2025-06-07,1700122,西川　愛也,51,中,7,1.0,1,4,4,0,0,0,0,0,0,0,,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029387,2025-06-07,1750472,古賀　悠斗,22,捕,7,1.0,1,4,4,0,1,1,0,0,0,0,,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029387,2025-06-07,1800072,小園　海斗,5,三,6,1.0,1,4,3,1,1,0,0,0,1,1,,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029387,2025-06-07,1800079,大盛　穂,59,走中,6,1.0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029387,2025-06-07,1850820,蛭間　拓哉,9,左,7,1.0,1,3,3,0,2,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029387,2025-06-07,1961927,モンテロ,95,一,6,1.0,1,4,3,0,1,1,0,0,2,0,,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029387,2025-06-07,2000065,矢野　雅哉,4,遊,6,1.0,1,3,3,1,1,0,0,0,0,1,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029387,2025-06-07,2000075,長谷川　信哉,63,右,7,1.0,1,4,4,1,1,1,0,0,1,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029387,2025-06-07,2101047,ネビン,26,一,7,1.0,1,4,4,0,1,0,0,0,0,0,,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029387,2025-06-07,2103618,滝澤　夏央,62,打二,7,1.0,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029387,2025-06-07,2103768,末包　昇大,52,右,6,1.0,1,4,4,0,1,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029387,2025-06-07,2105684,児玉　亮涼,0,二,7,1.0,1,2,2,0,0,0,0,0,0,0,,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029387,2025-06-07,2108913,セデーニョ,40,打,7,1.0,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029387,2025-06-07,2114882,ファビアン,61,左,6,1.0,1,4,4,1,2,0,0,0,0,1,,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029388,2025-06-08,800043,丸　佳浩,8,左右,1,1.0,1,4,3,1,2,1,0,0,0,0,,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029388,2025-06-08,900056,浅村　栄斗,3,一,376,1.0,1,4,1,0,1,0,0,0,0,0,,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029388,2025-06-08,1400107,田中　貴也,44,捕,376,1.0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029388,2025-06-08,1460250,フランコ,23,三,376,1.0,1,4,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029388,2025-06-08,1500052,中川　皓太,41,投,1,1.0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1.0,0.0,1,0,1.61,1.0,1.0,,,0,1,0,0,0,,0,1,0,,3,10
2025,2021029388,2025-06-08,1500054,増田　大輝,0,右,1,1.0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,2021029388,2025-06-08,1500078,阿部　寿樹,4,打,376,1.0,0,1,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
