season,game_id,game_date,player_id,player_name_jap,player_jersey_number,position,team_id,batting_G,batting_GS,batting_PA,batting_AB,batting_R,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_SB,batting_CS,batting_BB,batting_SO,batting_HBP,batting_SH,batting_SF,batting_E,pitcher_order_number,pitching_G,pitching_GS,pitching_W,pitching_L,pitching_ERA,pitching_IP,pitching_IP_str,pitching_CG,pitching_SHO,pitching_SV,pitching_H,pitching_R,pitching_ER,pitching_HR,pitching_IBB,pitching_BB,pitching_SO,pitching_HBP,pitching_BK,pitching_BF,pitching_PI
2022,2021006299,2022-10-25,900044,中村　悠平,27,捕,2,1.0,1,5,5,1,1,0,0,0,0,0,,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2022,2021006299,2022-10-25,1000010,比嘉　幹貴,35,,11,,,,,,,,,,,,,,,,,,,2,1.0,0.0,0,0,0.00,0.6666666666666666,0.2,,,0,0,0,0,0,,1,1,0,,3,16
2022,2021006299,2022-10-25,1000132,山田　哲人,1,二,2,1.0,1,5,4,1,2,0,0,1,3,0,,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2022,2021006299,2022-10-25,1100105,安達　了一,3,二,11,1.0,1,3,2,0,0,0,0,0,0,0,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
2022,2021006299,2022-10-25,1200075,石山　泰稚,12,,2,,,,,,,,,,,,,,,,,,,2,1.0,0.0,0,0,0.00,1.0,1.0,,,0,2,0,0,0,,0,3,0,,5,20
2022,2021006299,2022-10-25,1200100,伏見　寅威,23,捕,11,1.0,1,3,3,0,1,0,0,0,0,0,,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2022,2021006299,2022-10-25,1400196,宗　佑磨,6,三,11,1.0,1,4,4,0,1,1,0,0,0,0,,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2022,2021006299,2022-10-25,1400201,西野　真弘,5,打,11,1.0,0,1,1,0,1,0,0,0,1,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2022,2021006299,2022-10-25,1500042,高橋　奎二,47,,2,,,,,,,,,,,,,,,,,,,1,1.0,,1,0,0.00,6.0,6.0,,,0,3,0,0,0,,2,7,0,,23,90
2022,2021006299,2022-10-25,1500044,山崎　晃大朗,31,左,2,1.0,0,1,1,1,1,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2022,2021006299,2022-10-25,1500088,竹安　大知,21,,11,,,,,,,,,,,,,,,,,,,3,1.0,0.0,0,0,9.00,1.0,1.0,,,0,1,1,1,0,,2,1,1,,7,26
2022,2021006299,2022-10-25,1500126,吉田　正尚,7,左,11,1.0,1,4,4,0,1,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2022,2021006299,2022-10-25,1500127,近藤　大亮,20,,11,,,,,,,,,,,,,,,,,,,4,1.0,0.0,0,0,0.00,1.0,1.0,,,0,1,0,0,0,,0,2,0,,4,12
2022,2021006299,2022-10-25,1500135,杉本　裕太郎,99,指,11,1.0,1,4,3,0,1,0,0,0,0,0,,1,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2022,2021006299,2022-10-25,1500139,小澤　怜史,70,,2,,,,,,,,,,,,,,,,,,,5,1.0,0.0,0,0,13.50,0.6666666666666666,0.2,,,0,3,1,1,0,,0,0,0,,5,13
2022,2021006299,2022-10-25,1560716,キブレハン,2,左,2,1.0,1,2,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2022,2021006299,2022-10-25,1650522,丸山　和郁,4,左右,2,1.0,0,2,2,1,2,0,0,0,0,1,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2022,2021006299,2022-10-25,1700084,村上　宗隆,55,三,2,1.0,1,5,4,1,2,2,0,0,3,0,,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2022,2021006299,2022-10-25,1700087,塩見　泰隆,9,中,2,1.0,1,5,3,1,0,0,0,0,0,0,,0,2,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2022,2021006299,2022-10-25,1700089,宮本　丈,39,右,2,1.0,1,4,4,0,0,0,0,0,0,0,,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2022,2021006299,2022-10-25,1700111,福田　周平,1,中,11,1.0,1,5,4,0,0,0,0,0,0,0,,1,3,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
2022,2021006299,2022-10-25,1700112,本田　仁海,46,,11,,,,,,,,,,,,,,,,,,,5,1.0,0.0,0,0,6.00,1.0,1.0,,,0,3,3,2,0,,0,0,1,,6,22
2022,2021006299,2022-10-25,1800033,清水　昇,17,,2,,,,,,,,,,,,,,,,,,,3,1.0,0.0,0,0,3.00,1.0,1.0,,,0,0,0,0,0,,0,0,0,,3,13
2022,2021006299,2022-10-25,1800039,久保　拓眞,61,,2,,,,,,,,,,,,,,,,,,,4,1.0,0.0,0,0,0.00,0.3333333333333333,0.1,,,0,0,0,0,0,,0,0,0,,1,4
2022,2021006299,2022-10-25,1800098,太田　椋,31,打二,11,1.0,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2022,2021006299,2022-10-25,1800099,頓宮　裕真,44,一,11,1.0,1,4,4,0,0,0,0,0,0,0,,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2022,2021006299,2022-10-25,1800104,中川　圭太,67,右,11,1.0,1,4,4,1,2,0,0,0,0,0,,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2022,2021006299,2022-10-25,1900028,長岡　秀樹,58,遊,2,1.0,1,4,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2022,2021006299,2022-10-25,1900087,宮城　大弥,13,,11,,,,,,,,,,,,,,,,,,,1,1.0,,0,1,5.06,5.333333333333333,5.1,,,0,6,3,3,1,,0,5,0,,22,89
2022,2021006299,2022-10-25,1900088,紅林　弘太郎,24,遊,11,1.0,1,4,4,0,1,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2022,2021006299,2022-10-25,2000133,オスナ,13,一,2,1.0,1,5,4,0,2,1,0,0,1,0,,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2022,2021006299,2022-10-25,2000135,サンタナ,25,指,2,1.0,1,4,4,1,1,0,0,0,0,0,,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2022,2021006298,2022-10-23,400021,青木　宣親,23,打,2,1.0,0,1,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2022,2021006298,2022-10-23,600011,川端　慎吾,5,打,2,1.0,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2022,2021006298,2022-10-23,600024,T-岡田,55,一,11,1.0,1,4,4,0,0,0,0,0,0,0,,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2022,2021006298,2022-10-23,900044,中村　悠平,27,捕,2,1.0,1,6,6,0,1,0,0,0,0,0,,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2022,2021006298,2022-10-23,1000010,比嘉　幹貴,35,投,11,1.0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,1.0,0.0,0,0,0.00,1.0,1.0,,,0,1,0,0,0,,0,2,0,,4,10
2022,2021006298,2022-10-23,1000132,山田　哲人,1,二,2,1.0,1,6,5,0,0,0,0,0,0,0,,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2022,2021006298,2022-10-23,1100105,安達　了一,3,二,11,1.0,1,6,4,1,2,1,0,0,0,0,,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
2022,2021006298,2022-10-23,1200075,石山　泰稚,12,投,2,1.0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1.0,0.0,0,0,0.00,1.0,1.0,,,0,1,0,0,0,,0,2,0,,4,16
2022,2021006298,2022-10-23,1200100,伏見　寅威,23,捕,11,1.0,1,6,6,0,1,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2022,2021006298,2022-10-23,1300029,田口　麗斗,34,投,2,1.0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,1.0,0.0,0,0,0.00,0.6666666666666666,0.2,,,0,0,0,0,0,,0,1,0,,2,12
