person_id,player_name,player_name_kanji,team_id,team_name,player_jersey_number,position_type_id,roster_name,staff_kind_id,staff_title,announce_date,movement_id,movement_name,order_id,season,player_name_romaji
1561778,バルドナード,バルドナード,1,読売ジャイアンツ,49,1.0,投手,4,,,,,,2025,Barudo Nerd
1800026,横川 凱,ヨコガワカイ,1,読売ジャイアンツ,62,1.0,投手,4,,,,,,2025,Yokokawa Gai
1800109,板東 湧梧,バンドウユウゴ,1,読売ジャイアンツ,50,1.0,投手,4,,,,,,2025,Bandou Yuu Aogiri
1850809,松井 颯,マツイハヤテ,1,読売ジャイアンツ,21,1.0,投手,4,,,,,,2025,Matsui Sa
1950832,石田 隼都,イシタハヤト,1,読売ジャイアンツ,77,1.0,投手,4,,,,,,2025,Ishida Shun To
1950836,冨重 英二郎,トミシゲエイジロウ,1,読売ジャイアンツ,11,1.0,投手,4,,,,,,2025,Tomishige Eijirou
2000005,平内 龍太,ヘイナイリュウタ,1,読売ジャイアンツ,66,1.0,投手,4,,,,,,2025,Heinai Ryuuta
2000006,山﨑 伊織,ヤマサキイオリ,1,読売ジャイアンツ,19,1.0,投手,4,,,,,,2025,Yamazaki Iori
2000015,木下 幹也,キノシタモトヤ,1,読売ジャイアンツ,18,1.0,投手,4,,,,,,2025,Kinoshita Mikiya
2050261,松浦 慶斗,マツウラケイト,1,読売ジャイアンツ,54,1.0,投手,4,,,,,,2025,Matsuura Kei To
2050382,花田 侑樹,ハナダユウキ,1,読売ジャイアンツ,63,1.0,投手,4,,,,,,2025,Hanada Yuuki
2050423,代木 大和,シロキヤマト,1,読売ジャイアンツ,68,1.0,投手,4,,,,,,2025,Daimoku Yamato
2100478,京本 眞,キョウモトマコト,1,読売ジャイアンツ,99,1.0,投手,4,,,,,,2025,Kyoumoto Shin
2101917,河野 優作,コウノユウサク,1,読売ジャイアンツ,47,1.0,投手,4,,,,,,2025,Kouno Yuusaku
2102924,吉村 優聖歩,ヨシムラユウセフ,1,読売ジャイアンツ,26,1.0,投手,4,,,,,,2025,Yoshimura Yuu Seifu
2103725,富田 龍,トミダリュウ,1,読売ジャイアンツ,28,1.0,投手,4,,,,,,2025,Tomita Ryuu
2106455,森本 哲星,モリモトテッセイ,1,読売ジャイアンツ,34,1.0,投手,4,,,,,,2025,Morimoto Akirasei
2107867,田村 朋輝,タムラトモキ,1,読売ジャイアンツ,23,1.0,投手,4,,,,,,2025,Tamura Tomoo Akira
2111182,堀江 正太郎,ホリエショウタロウ,1,読売ジャイアンツ,14,1.0,投手,4,,,,,,2025,Horie Shoutarou
2112123,千葉 隆広,チバタカヒロ,1,読売ジャイアンツ,16,1.0,投手,4,,,,,,2025,Chiba Takahiro
2112163,園田 純規,ソノダアツキ,1,読売ジャイアンツ,19,1.0,投手,4,,,,,,2025,Sonoda Junki
2114860,黄 錦豪,ファンジンハオ,1,読売ジャイアンツ,41,1.0,投手,4,,,,,,2025,Kou Nishiki Gou
2117689,石田 充冴,イシダジュウザ,1,読売ジャイアンツ,90,1.0,投手,4,,,,,,2025,Ishida Mitsuru Sae
2117692,西川 歩,ニシカワアユム,1,読売ジャイアンツ,29,1.0,投手,4,,,,,,2025,Nishikawa Ayumi
2117711,吹田 志道,フキタシドウ,1,読売ジャイアンツ,30,1.0,投手,4,,,,,,2025,Suita Shiji
2117727,鈴木 圭晋,スズキケイシン,1,読売ジャイアンツ,15,1.0,投手,4,,,,,,2025,Suzuki Kei Susumu
2120156,グズマン,グズマン,1,読売ジャイアンツ,42,1.0,投手,4,,,,,,2025,Guzu Man
2121490,林 燦,ハヤシキラ,1,読売ジャイアンツ,12,1.0,投手,4,,,,,,2025,Hayashi San
1450689,船迫 大雅,フナバサマヒロマサ,1,読売ジャイアンツ,58,1.0,投手,4,,20260326.0,101.0,出場選手登録,0.0,2025,Fune Sako Taiga
1600100,高梨 雄平,タカナシユウヘイ,1,読売ジャイアンツ,53,1.0,投手,4,,20260501.0,101.0,出場選手登録,0.0,2025,Takanashi Yuuhei
1700010,マルティネス,マルティネス,1,読売ジャイアンツ,92,1.0,投手,4,,20260403.0,101.0,出場選手登録,0.0,2025,Marutinesu
1700027,田中 瑛斗,タナカエイト,1,読売ジャイアンツ,45,1.0,投手,4,,20260326.0,101.0,出場選手登録,0.0,2025,Tanaka Akira To
1750087,山田 龍聖,ヤマダリュウセイ,1,読売ジャイアンツ,64,1.0,投手,4,,20260630.0,101.0,出場選手登録,0.0,2025,Yamada Ryuu Kiyoshi
